,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
22,0.21,0.035929,0.049449,0.17043,0.095523,0.074903,0.04,350.0,0.735,0.02857,0.041277,0.13929,0.079345,0.059945,0.065,350.0,0.735,0.019797,0.031335,0.10171,0.05968,0.042026,0.133,350.0,0.735
23,0.22,0.035532,0.048983,0.1687,0.094609,0.074094,0.04,350.0,0.735,0.028207,0.040824,0.13765,0.078453,0.059197,0.065,350.0,0.735,0.019485,0.030889,0.10017,0.058801,0.04137,0.133,350.0,0.735
24,0.23,0.035136,0.048521,0.16699,0.093698,0.073288,0.04,350.0,0.735,0.027846,0.040374,0.13602,0.077569,0.058454,0.065,350.0,0.735,0.019179,0.03045,0.098666,0.057941,0.040725,0.133,350.0,0.735
25,0.24,0.034742,0.04806,0.16528,0.092792,0.072485,0.04,350.0,0.735,0.027488,0.039928,0.13441,0.076693,0.057718,0.065,350.0,0.735,0.018876,0.030017,0.097187,0.057097,0.04009,0.133,350.0,0.735
26,0.25,0.03435,0.047603,0.16358,0.091892,0.071687,0.04,350.0,0.735,0.027132,0.039485,0.13281,0.075826,0.056987,0.065,350.0,0.735,0.018577,0.02959,0.095731,0.056267,0.039464,0.133,350.0,0.735
27,0.26,0.03396,0.047148,0.16189,0.090997,0.070892,0.04,350.0,0.735,0.026779,0.039046,0.13123,0.074967,0.056262,0.065,350.0,0.735,0.018282,0.029169,0.094297,0.05545,0.038847,0.133,350.0,0.735
28,0.27,0.033572,0.046695,0.16021,0.090106,0.070102,0.04,350.0,0.735,0.026428,0.038611,0.12966,0.074115,0.055542,0.065,350.0,0.735,0.017991,0.028753,0.092882,0.054645,0.038237,0.133,350.0,0.735
29,0.28,0.033185,0.046245,0.15854,0.089221,0.069315,0.04,350.0,0.735,0.026079,0.038179,0.1281,0.07327,0.054827,0.065,350.0,0.735,0.017702,0.028342,0.091487,0.053852,0.037635,0.133,350.0,0.735
30,0.29,0.032801,0.045797,0.15687,0.088341,0.068532,0.04,350.0,0.735,0.025733,0.03775,0.12655,0.072432,0.054117,0.065,350.0,0.735,0.017417,0.027937,0.090109,0.05307,0.037039,0.133,350.0,0.735
31,0.3,0.032418,0.045352,0.15522,0.087466,0.067753,0.04,350.0,0.735,0.025389,0.037324,0.12501,0.071601,0.053412,0.065,350.0,0.735,0.017136,0.027536,0.088749,0.052298,0.036451,0.133,350.0,0.735
32,0.31,0.032037,0.044909,0.15357,0.086595,0.066977,0.04,350.0,0.735,0.025048,0.036902,0.12349,0.070776,0.052711,0.065,350.0,0.735,0.016857,0.02714,0.087406,0.051536,0.03587,0.133,350.0,0.735
33,0.32,0.031657,0.044468,0.15193,0.08573,0.066205,0.04,350.0,0.735,0.024708,0.036483,0.12197,0.069958,0.052016,0.065,350.0,0.735,0.016582,0.026749,0.086079,0.050784,0.035295,0.133,350.0,0.735
34,0.33,0.031279,0.04403,0.1503,0.084868,0.065436,0.04,350.0,0.735,0.024371,0.036066,0.12047,0.069146,0.051324,0.065,350.0,0.735,0.016309,0.026363,0.084768,0.050041,0.034727,0.133,350.0,0.735
35,0.34,0.030903,0.043594,0.14868,0.084012,0.064671,0.04,350.0,0.735,0.024035,0.035653,0.11898,0.06834,0.050637,0.065,350.0,0.735,0.016039,0.025981,0.083472,0.049307,0.034165,0.133,350.0,0.735
36,0.35000000000000003,0.030528,0.04316,0.14707,0.083159,0.063909,0.04,350.0,0.735,0.023702,0.035243,0.11749,0.067539,0.049954,0.065,350.0,0.735,0.015772,0.025604,0.082191,0.048582,0.033609,0.133,350.0,0.735
37,0.36,0.030155,0.042728,0.14546,0.082311,0.06315,0.04,350.0,0.735,0.023371,0.034836,0.11602,0.066745,0.049276,0.065,350.0,0.735,0.015508,0.025232,0.080925,0.047866,0.033059,0.133,350.0,0.735
38,0.37,0.029783,0.042298,0.14386,0.081467,0.062395,0.04,350.0,0.735,0.023041,0.034432,0.11456,0.065956,0.048602,0.065,350.0,0.735,0.015247,0.024864,0.079673,0.047159,0.032514,0.133,350.0,0.735
39,0.38,0.029413,0.041871,0.14227,0.080628,0.061643,0.04,350.0,0.735,0.022714,0.03403,0.11311,0.065173,0.047932,0.065,350.0,0.735,0.014988,0.0245,0.078435,0.04646,0.031976,0.133,350.0,0.735
40,0.39,0.029044,0.041446,0.14069,0.079793,0.060894,0.04,350.0,0.735,0.022388,0.033632,0.11166,0.064396,0.047266,0.065,350.0,0.735,0.014732,0.02414,0.077211,0.045769,0.031443,0.133,350.0,0.735
41,0.4,0.028677,0.041023,0.13911,0.078961,0.060147,0.04,350.0,0.735,0.022065,0.033236,0.11023,0.063624,0.046603,0.065,350.0,0.735,0.014478,0.023785,0.076001,0.045086,0.030915,0.133,350.0,0.735
42,0.41000000000000003,0.028312,0.040602,0.13754,0.078134,0.059405,0.04,350.0,0.735,0.021743,0.032843,0.1088,0.062857,0.045945,0.065,350.0,0.735,0.014227,0.023433,0.074804,0.044411,0.030393,0.133,350.0,0.735
43,0.42,0.027947,0.040183,0.13598,0.077311,0.058665,0.04,350.0,0.735,0.021423,0.032453,0.10739,0.062095,0.045291,0.065,350.0,0.735,0.013978,0.023086,0.073619,0.043743,0.029876,0.133,350.0,0.735
44,0.43,0.027585,0.039766,0.13442,0.076492,0.057928,0.04,350.0,0.735,0.021105,0.032065,0.10598,0.061339,0.04464,0.065,350.0,0.735,0.013732,0.022743,0.072448,0.043083,0.029365,0.133,350.0,0.735
45,0.44,0.027223,0.039352,0.13287,0.075677,0.057194,0.04,350.0,0.735,0.020788,0.031681,0.10458,0.060588,0.043993,0.065,350.0,0.735,0.013488,0.022403,0.071289,0.042431,0.028858,0.133,350.0,0.735
46,0.45,0.026863,0.038939,0.13133,0.074865,0.056463,0.04,350.0,0.735,0.020473,0.031298,0.10319,0.059842,0.04335,0.065,350.0,0.735,0.013247,0.022068,0.070143,0.041786,0.028356,0.133,350.0,0.735
