T1-NIR-Channel(X)	T1-NIR-Channel(Y)
0	24179
1	24424
2	24442
3	24292
4	24388
5	24143
6	24220
7	24354
8	24211
9	24717
10	24460
11	24171
12	24017
13	23798
14	23846
15	24249
16	24519
17	24252
18	24315
19	24451
20	23971
21	24311
22	24015
23	24313
24	24160
25	24268
26	24425
27	24388
28	24380
29	24204
30	24240
31	24260
32	24089
33	24097
34	24254
35	24115
36	24149
37	24446
38	24341
39	24015
40	24320
41	24196
42	24589
43	24049
44	24397
45	24110
46	23969
47	24249
48	23962
49	24316
50	24299
51	24208
52	24415
53	24063
54	23999
55	24017
56	24588
57	24201
58	24407
59	23600
60	24058
61	24019
62	24238
63	24010
64	24238
65	24177
66	23940
67	24567
68	24235
69	24110
70	23850
71	24223
72	23917
73	23830
74	24317
75	23996
76	24278
77	23717
78	24326
79	23991
80	24403
81	24396
82	24365
83	24199
84	24354
85	24210
86	24132
87	24192
88	24282
89	24342
90	24067
91	24142
92	23892
93	23949
94	24024
95	24178
96	23949
97	24314
98	24172
99	24214
100	24409
101	24174
102	24304
103	24232
104	23926
105	24148
106	24162
107	24031
108	24272
109	23986
110	24516
111	24256
112	24046
113	23680
114	23496
115	23763
116	23691
117	23788
118	24087
119	23712
120	23929
121	24126
122	23532
123	23965
124	24034
125	23878
126	23942
127	23909
128	23534
129	23652
130	23739
131	23792
132	23783
133	23881
134	23794
135	23966
136	24014
137	23582
138	23863
139	23712
140	24272
141	23401
142	23799
143	24082
144	24007
145	23683
146	23945
147	24101
148	23934
149	23560
150	24357
151	23794
152	23889
153	23905
154	27825
155	27790
156	27780
157	27782
158	27559
159	27324
160	27323
161	28001
162	27529
163	27836
164	27473
165	28128
166	27516
167	27684
168	27642
169	27482
170	27244
171	27497
172	27430
173	27518
174	27935
175	27653
176	27335
177	27677
178	27665
179	27347
180	27956
181	27398
182	27511
183	27788
184	27411
185	27338
186	27366
187	27438
188	27632
189	27654
190	27560
191	27283
192	27602
193	27566
194	27393
195	27443
196	27544
197	27465
198	27296
199	27617
200	27659
201	27809
202	27759
203	27480
204	27516
205	27406
206	27803
207	27209
208	27459
209	27381
210	27565
211	27291
212	27828
213	27531
214	27755
215	27346
