depth,r,g,b
0.0,2.066803,1.9379492,1.911311
20.0,1.7785877,1.419618,1.3467757
40.0,0.47820738,0.33792478,0.31644383
60.0,0.39498624,0.25354117,0.22061582
80.0,0.05307812,-0.026855558,-0.047255326
100.0,-0.010698739,-0.06434759,-0.07307637
120.0,0.13719083,0.0750208,0.080220625
140.0,0.14938755,0.09678941,0.109752
160.0,0.051266737,0.03440188,0.039135065
180.0,0.035891593,0.011734485,0.025456738
200.0,0.10003064,0.011391988,0.06292929
