,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
18,0.17,0.046294,0.061418,0.21521,0.11914,0.096071,0.06,2550.0,9.4605,5.0199,0.040091,0.054271,0.18848,0.10505,0.083428,0.0775,2550.0,9.4605,5.3536,0.030457,0.043703,0.14797,0.084085,0.063882,0.145,2550.0,9.4605,6.3162,0.99
19,0.18,0.043354,0.058354,0.20319,0.11304,0.090148,0.06,2550.0,9.4605,5.2419,0.037348,0.051386,0.17721,0.09932,0.077892,0.0775,2550.0,9.4605,5.5995,0.027931,0.040971,0.13744,0.078674,0.058763,0.145,2550.0,9.4605,6.6335,0.99
20,0.19,0.040429,0.055312,0.1912,0.10698,0.084228,0.06,2550.0,9.4605,5.5,0.034621,0.048527,0.16598,0.093624,0.07236,0.0775,2550.0,9.4605,5.8891,0.025429,0.038278,0.12698,0.073324,0.053652,0.145,2550.0,9.4605,7.02,0.99
21,0.2,0.037628,0.052393,0.17955,0.10111,0.078434,0.06,480.0,1.7808,1.1884,0.032009,0.045785,0.15504,0.088111,0.066925,0.0775,480.0,1.7808,1.298,0.023036,0.035699,0.1167,0.068129,0.048576,0.145,480.0,1.7808,1.6442,0.99
22,0.21,0.037117,0.051775,0.17722,0.099849,0.077376,0.06,480.0,1.7808,1.1887,0.031539,0.045196,0.15284,0.086894,0.065943,0.0775,480.0,1.7808,1.2944,0.022624,0.035119,0.11461,0.066917,0.047694,0.145,480.0,1.7808,1.633,0.99
23,0.22,0.036612,0.051164,0.17494,0.09861,0.076331,0.06,480.0,1.7808,1.1878,0.031076,0.044614,0.1507,0.085722,0.064982,0.0775,480.0,1.7808,1.2947,0.022221,0.034551,0.11261,0.065769,0.046841,0.145,480.0,1.7808,1.6283,0.99
24,0.23,0.036111,0.050559,0.1727,0.097401,0.075303,0.06,480.0,1.7808,1.191,0.030618,0.04404,0.14861,0.084575,0.064035,0.0775,480.0,1.7808,1.2965,0.021825,0.033993,0.11067,0.064657,0.046008,0.145,480.0,1.7808,1.6272,0.99
25,0.24,0.035615,0.04996,0.17049,0.09621,0.074284,0.06,480.0,1.7808,1.1944,0.030164,0.043472,0.14655,0.083448,0.063099,0.0775,480.0,1.7808,1.3,0.021435,0.033444,0.10876,0.063573,0.045191,0.145,480.0,1.7808,1.6281,0.99
26,0.25,0.035122,0.049366,0.16831,0.095034,0.073275,0.06,480.0,1.7808,1.1983,0.029715,0.04291,0.14451,0.082337,0.062175,0.0775,480.0,1.7808,1.3032,0.021051,0.032904,0.1069,0.062512,0.044388,0.145,480.0,1.7808,1.6294,0.99
27,0.26,0.034634,0.048777,0.16615,0.093871,0.072275,0.06,480.0,1.7808,1.2024,0.02927,0.042354,0.1425,0.081241,0.061259,0.0775,480.0,1.7808,1.3069,0.020673,0.032372,0.10507,0.061472,0.043599,0.145,480.0,1.7808,1.6317,0.99
28,0.27,0.034148,0.048193,0.164,0.092719,0.071283,0.06,480.0,1.7808,1.2069,0.028828,0.041803,0.14051,0.080158,0.060353,0.0775,480.0,1.7808,1.3112,0.0203,0.031848,0.10327,0.060451,0.042821,0.145,480.0,1.7808,1.6345,0.99
29,0.28,0.033667,0.047614,0.16188,0.091579,0.070299,0.06,480.0,1.7808,1.2118,0.028391,0.041258,0.13854,0.079087,0.059455,0.0775,480.0,1.7808,1.3158,0.019932,0.031332,0.1015,0.059448,0.042055,0.145,480.0,1.7808,1.6369,0.99
