,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
21,0.2,0.048266,0.069648,0.23913,0.13613,0.103,0.085,350.0,0.742,0.035158,0.055034,0.18234,0.1066,0.07574,0.169,350.0,0.742,0.025687,0.043526,0.13932,0.083555,0.055764,0.29569,350.0,0.742
22,0.21,0.047637,0.068817,0.23604,0.13439,0.10165,0.085,350.0,0.742,0.034618,0.054188,0.17937,0.10483,0.07454,0.169,350.0,0.742,0.025247,0.042679,0.13652,0.081775,0.054742,0.29569,350.0,0.742
23,0.22,0.047018,0.068,0.23306,0.13273,0.10034,0.085,350.0,0.742,0.034092,0.053362,0.17655,0.10316,0.073389,0.169,350.0,0.742,0.024827,0.041859,0.13391,0.080129,0.053783,0.29569,350.0,0.742
24,0.23,0.046408,0.067193,0.23015,0.1311,0.099044,0.085,350.0,0.742,0.033577,0.052551,0.17381,0.10155,0.072268,0.169,350.0,0.742,0.024422,0.041062,0.13142,0.078558,0.052864,0.29569,350.0,0.742
25,0.24,0.045805,0.066395,0.22727,0.12951,0.097768,0.085,350.0,0.742,0.033073,0.051756,0.17115,0.099975,0.071173,0.169,350.0,0.742,0.02403,0.040285,0.12902,0.077044,0.051977,0.29569,350.0,0.742
26,0.25,0.045208,0.065607,0.22444,0.12794,0.096508,0.085,350.0,0.742,0.032578,0.050974,0.16854,0.09844,0.0701,0.169,350.0,0.742,0.02365,0.039527,0.1267,0.075578,0.051121,0.29569,350.0,0.742
27,0.26,0.044618,0.064827,0.22165,0.12639,0.095263,0.085,350.0,0.742,0.032092,0.050205,0.16598,0.096937,0.069047,0.169,350.0,0.742,0.023282,0.038787,0.12445,0.074156,0.050291,0.29569,350.0,0.742
28,0.27,0.044033,0.064055,0.21889,0.12486,0.09403,0.085,350.0,0.742,0.031614,0.049449,0.16348,0.095463,0.068014,0.169,350.0,0.742,0.022924,0.038065,0.12226,0.072774,0.049487,0.29569,350.0,0.742
29,0.28,0.043454,0.063291,0.21616,0.12335,0.092811,0.085,350.0,0.742,0.031144,0.048705,0.16102,0.094017,0.066998,0.169,350.0,0.742,0.022577,0.03736,0.12014,0.071429,0.048707,0.29569,350.0,0.742
30,0.29,0.042881,0.062536,0.21345,0.12185,0.091603,0.085,350.0,0.742,0.030683,0.047973,0.1586,0.092596,0.066001,0.169,350.0,0.742,0.022241,0.036671,0.11807,0.070119,0.04795,0.29569,350.0,0.742
31,0.3,0.042313,0.061787,0.21078,0.12037,0.090408,0.085,350.0,0.742,0.030228,0.047253,0.15622,0.0912,0.065021,0.169,350.0,0.742,0.021914,0.035998,0.11606,0.068843,0.047217,0.29569,350.0,0.742
32,0.31,0.04175,0.061046,0.20813,0.11891,0.089223,0.085,350.0,0.742,0.029782,0.046545,0.15388,0.089827,0.064057,0.169,350.0,0.742,0.021597,0.035341,0.11411,0.067599,0.046506,0.29569,350.0,0.742
33,0.32,0.041192,0.060313,0.20551,0.11746,0.08805,0.085,350.0,0.742,0.029342,0.045847,0.15159,0.088478,0.063109,0.169,350.0,0.742,0.02129,0.0347,0.1122,0.066387,0.045818,0.29569,350.0,0.742
34,0.33,0.040639,0.059586,0.20292,0.11603,0.086888,0.085,350.0,0.742,0.02891,0.045161,0.14933,0.087151,0.062177,0.169,350.0,0.742,0.020992,0.034073,0.11036,0.065205,0.045152,0.29569,350.0,0.742
35,0.34,0.04009,0.058867,0.20035,0.11462,0.085736,0.085,350.0,0.742,0.028485,0.044485,0.14711,0.085846,0.061261,0.169,350.0,0.742,0.020704,0.033461,0.10856,0.064054,0.04451,0.29569,350.0,0.742
36,0.35000000000000003,0.039547,0.058154,0.19781,0.11321,0.084594,0.085,350.0,0.742,0.028066,0.04382,0.14492,0.084562,0.06036,0.169,350.0,0.742,0.020425,0.032864,0.10682,0.062933,0.04389,0.29569,350.0,0.742
37,0.36,0.039008,0.057449,0.19529,0.11182,0.083463,0.085,350.0,0.742,0.027654,0.043165,0.14277,0.083299,0.059475,0.169,350.0,0.742,0.020156,0.032282,0.10514,0.061841,0.043296,0.29569,350.0,0.742
38,0.37,0.038474,0.05675,0.19279,0.11045,0.082342,0.085,350.0,0.742,0.02725,0.042521,0.14066,0.082057,0.058605,0.169,350.0,0.742,0.019897,0.031714,0.10351,0.06078,0.042729,0.29569,350.0,0.742
39,0.38,0.037945,0.056058,0.19031,0.10908,0.081231,0.085,350.0,0.742,0.026851,0.041887,0.13859,0.080835,0.057752,0.169,350.0,0.742,0.019648,0.031161,0.10194,0.059751,0.042193,0.29569,350.0,0.742
40,0.39,0.03742,0.055372,0.18786,0.10773,0.08013,0.085,350.0,0.742,0.02646,0.041263,0.13655,0.079634,0.056916,0.169,350.0,0.742,0.019409,0.030623,0.10046,0.058757,0.041699,0.29569,350.0,0.742
41,0.4,0.036895,0.054688,0.18542,0.10639,0.079032,0.095,400.0,0.848,0.026072,0.040646,0.13455,0.078452,0.056099,0.16967,400.0,0.848,0.019179,0.030105,0.099106,0.057826,0.04128,0.15086,400.0,0.848
42,0.41000000000000003,0.036304,0.053922,0.18267,0.10488,0.077792,0.095,400.0,0.848,0.025627,0.039974,0.13232,0.07717,0.055151,0.16967,400.0,0.848,0.01885,0.029628,0.097628,0.057016,0.040612,0.15086,400.0,0.848
43,0.42,0.035718,0.053164,0.17995,0.10339,0.076564,0.095,400.0,0.848,0.025187,0.039312,0.13011,0.075897,0.054212,0.16967,400.0,0.848,0.01852,0.029151,0.096073,0.056148,0.039925,0.15086,400.0,0.848
44,0.43,0.035137,0.052414,0.17726,0.10191,0.075347,0.095,400.0,0.848,0.024753,0.038659,0.12793,0.074639,0.053287,0.16967,400.0,0.848,0.018191,0.028679,0.094502,0.055266,0.039236,0.15086,400.0,0.848
45,0.44,0.034561,0.051671,0.17459,0.10045,0.07414,0.095,400.0,0.848,0.024326,0.038017,0.12577,0.073399,0.052374,0.16967,400.0,0.848,0.017864,0.028211,0.092931,0.054382,0.038549,0.15086,400.0,0.848
46,0.45,0.033991,0.050936,0.17194,0.098999,0.072945,0.095,400.0,0.848,0.023905,0.037384,0.12365,0.072177,0.051475,0.16967,400.0,0.848,0.01754,0.027748,0.091367,0.053501,0.037866,0.15086,400.0,0.848
47,0.46,0.033425,0.050208,0.16933,0.097566,0.07176,0.095,400.0,0.848,0.02349,0.036762,0.12156,0.070973,0.050589,0.16967,400.0,0.848,0.017219,0.02729,0.089815,0.052626,0.03719,0.15086,400.0,0.848
48,0.47000000000000003,0.032864,0.049488,0.16673,0.096146,0.070586,0.095,400.0,0.848,0.023082,0.036149,0.1195,0.069787,0.049716,0.16967,400.0,0.848,0.016902,0.026839,0.088277,0.051758,0.036519,0.15086,400.0,0.848
49,0.48,0.032309,0.048775,0.16416,0.094741,0.069422,0.095,400.0,0.848,0.022679,0.035545,0.11748,0.068619,0.048857,0.16967,400.0,0.848,0.016588,0.026393,0.086754,0.050898,0.035856,0.15086,400.0,0.848
50,0.49,0.031757,0.048069,0.16162,0.09335,0.068269,0.095,400.0,0.848,0.022283,0.034951,0.11548,0.067469,0.04801,0.16967,400.0,0.848,0.016277,0.025953,0.085247,0.050047,0.035199,0.15086,400.0,0.848
51,0.5,0.031211,0.04737,0.1591,0.091972,0.067126,0.095,400.0,0.848,0.021892,0.034366,0.11351,0.066337,0.047177,0.16967,400.0,0.848,0.01597,0.025518,0.083757,0.049206,0.03455,0.15086,400.0,0.848
52,0.51,0.030669,0.046679,0.1566,0.090608,0.065992,0.095,400.0,0.848,0.021507,0.033791,0.11158,0.065223,0.046356,0.16967,400.0,0.848,0.015667,0.02509,0.082284,0.048375,0.033908,0.15086,400.0,0.848
53,0.52,0.030132,0.045994,0.15413,0.089258,0.064868,0.095,400.0,0.848,0.021128,0.033224,0.10967,0.064126,0.045548,0.16967,400.0,0.848,0.015367,0.024667,0.080829,0.047555,0.033274,0.15086,400.0,0.848
54,0.53,0.029599,0.045316,0.15167,0.08792,0.063754,0.095,400.0,0.848,0.020755,0.032666,0.1078,0.063046,0.044753,0.16967,400.0,0.848,0.01507,0.024249,0.079391,0.046744,0.032647,0.15086,400.0,0.848
55,0.54,0.02907,0.044644,0.14924,0.086596,0.062649,0.095,400.0,0.848,0.020387,0.032117,0.10595,0.061983,0.043971,0.16967,400.0,0.848,0.014777,0.023838,0.077971,0.045943,0.032028,0.15086,400.0,0.848
56,0.55,0.028546,0.04398,0.14684,0.085284,0.061553,0.095,400.0,0.848,0.020025,0.031577,0.10414,0.060937,0.043201,0.16967,400.0,0.848,0.014488,0.023431,0.076569,0.045153,0.031416,0.15086,400.0,0.848
57,0.56,0.028026,0.043321,0.14445,0.083985,0.060467,0.095,400.0,0.848,0.019669,0.031046,0.10235,0.059908,0.042445,0.16967,400.0,0.848,0.014201,0.023031,0.075185,0.044373,0.030811,0.15086,400.0,0.848
58,0.5700000000000001,0.02751,0.042669,0.14209,0.082698,0.059389,0.095,400.0,0.848,0.019318,0.030523,0.1006,0.058896,0.041703,0.16967,400.0,0.848,0.013918,0.022636,0.073818,0.043604,0.030214,0.15086,400.0,0.848
59,0.58,0.026998,0.042024,0.13974,0.081424,0.05832,0.095,400.0,0.848,0.018973,0.030008,0.098878,0.057902,0.040976,0.16967,400.0,0.848,0.013639,0.022246,0.072469,0.042844,0.029625,0.15086,400.0,0.848
60,0.59,0.02649,0.041384,0.13742,0.080161,0.05726,0.095,400.0,0.848,0.018634,0.029503,0.097193,0.056926,0.040267,0.16967,400.0,0.848,0.013362,0.021861,0.071138,0.042095,0.029043,0.15086,400.0,0.848
61,0.6,0.025987,0.040751,0.13512,0.07891,0.056208,0.095,400.0,0.848,0.018301,0.029007,0.095562,0.055973,0.039588,0.16967,400.0,0.848,0.01309,0.021482,0.069828,0.041357,0.028471,0.15086,400.0,0.848
62,0.61,0.025486,0.040124,0.13284,0.077671,0.055164,0.095,400.0,0.848,0.017952,0.028547,0.093977,0.055108,0.038869,0.11367,400.0,0.848,0.012816,0.021112,0.068537,0.040639,0.027898,0.13914,400.0,0.848
63,0.62,0.02499,0.039502,0.13057,0.076443,0.054129,0.095,400.0,0.848,0.017603,0.028092,0.092373,0.054232,0.038141,0.11367,400.0,0.848,0.012546,0.020747,0.067256,0.039927,0.027329,0.13914,400.0,0.848
64,0.63,0.024497,0.038887,0.12833,0.075227,0.053101,0.095,400.0,0.848,0.017255,0.027641,0.090774,0.053356,0.037417,0.11367,400.0,0.848,0.012277,0.020386,0.065988,0.039223,0.026765,0.13914,400.0,0.848
65,0.64,0.024008,0.038277,0.1261,0.074021,0.052081,0.095,400.0,0.848,0.016911,0.027194,0.089183,0.052486,0.036697,0.11367,400.0,0.848,0.012012,0.020029,0.064732,0.038526,0.026206,0.13914,400.0,0.848
66,0.65,0.023523,0.037673,0.1239,0.072827,0.051069,0.095,400.0,0.848,0.016569,0.026752,0.087603,0.051621,0.035982,0.11367,400.0,0.848,0.011748,0.019677,0.06349,0.037836,0.025653,0.13914,400.0,0.848
67,0.66,0.02304,0.037074,0.12171,0.071643,0.050064,0.095,400.0,0.848,0.016229,0.026314,0.086036,0.050763,0.035272,0.11367,400.0,0.848,0.011488,0.019329,0.062261,0.037155,0.025106,0.13914,400.0,0.848
68,0.67,0.022562,0.036481,0.11954,0.07047,0.049067,0.095,400.0,0.848,0.015892,0.02588,0.084481,0.049913,0.034568,0.11367,400.0,0.848,0.011229,0.018985,0.061045,0.036481,0.024563,0.13914,400.0,0.848
69,0.68,0.022086,0.035893,0.11738,0.069307,0.048076,0.095,400.0,0.848,0.015558,0.02545,0.08294,0.04907,0.033869,0.11367,400.0,0.848,0.010973,0.018645,0.059841,0.035815,0.024026,0.13914,400.0,0.848
70,0.6900000000000001,0.021614,0.03531,0.11525,0.068154,0.047093,0.095,400.0,0.848,0.015227,0.025025,0.081411,0.048235,0.033176,0.11367,400.0,0.848,0.01072,0.018309,0.058651,0.035157,0.023494,0.13914,400.0,0.848
71,0.7000000000000001,0.021145,0.034732,0.11313,0.067011,0.046116,0.095,400.0,0.848,0.014897,0.024605,0.079896,0.047408,0.032488,0.11367,400.0,0.848,0.010469,0.017977,0.057473,0.034506,0.022967,0.13914,400.0,0.848
72,0.71,0.020679,0.03416,0.11102,0.065878,0.045145,0.095,400.0,0.848,0.014571,0.024188,0.078394,0.046589,0.031805,0.11367,400.0,0.848,0.01022,0.017649,0.056307,0.033863,0.022445,0.13914,400.0,0.848
73,0.72,0.020216,0.033593,0.10894,0.064754,0.044182,0.095,400.0,0.848,0.014247,0.023776,0.076904,0.045777,0.031127,0.11367,400.0,0.848,0.0099731,0.017325,0.055154,0.033227,0.021927,0.13914,400.0,0.848
74,0.73,0.019756,0.03303,0.10686,0.063639,0.043224,0.095,400.0,0.848,0.013925,0.023368,0.075427,0.044973,0.030455,0.11367,400.0,0.848,0.0097285,0.017004,0.054012,0.032597,0.021415,0.13914,400.0,0.848
75,0.74,0.019299,0.032472,0.10481,0.062534,0.042271,0.095,400.0,0.848,0.013606,0.022963,0.073962,0.044176,0.029786,0.11367,400.0,0.848,0.009486,0.016687,0.052882,0.031975,0.020907,0.13914,400.0,0.848
76,0.75,0.018844,0.031919,0.10276,0.061438,0.041324,0.095,400.0,0.848,0.013289,0.022563,0.072509,0.043386,0.029123,0.11367,400.0,0.848,0.0092455,0.016374,0.051763,0.03136,0.020403,0.13914,400.0,0.848
