,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.10013,0.11663,0.41036,480.0,480.0,480.0,0.089763,0.10758,0.37369,540.0,540.0,540.0,0.078357,0.098604,0.33526,600.0,600.0,600.0
1,0.0,0.20012,0.21654,0.87156,0.043,2018.2,8.5571,0.1793,0.19704,0.78512,0.066613,2018.2,8.5571,0.15636,0.17654,0.69121,0.11822,2018.2,8.5571
2,0.01,0.19367,0.20974,0.81563,0.043,2018.2,8.5571,0.17285,0.1901,0.73354,0.066613,2018.2,8.5571,0.14973,0.16914,0.64397,0.11822,2018.2,8.5571
3,0.02,0.18847,0.20419,0.79514,0.043,2018.2,8.5571,0.16732,0.18409,0.7115,0.066613,2018.2,8.5571,0.14362,0.16229,0.61915,0.11822,2018.2,8.5571
4,0.03,0.18315,0.19854,0.77312,0.043,2018.2,8.5571,0.16172,0.17802,0.68807,0.066613,2018.2,8.5571,0.13751,0.15546,0.59317,0.11822,2018.2,8.5571
5,0.04,0.17791,0.19297,0.75126,0.043,2018.2,8.5571,0.15623,0.17209,0.66498,0.066613,2018.2,8.5571,0.13159,0.14886,0.56786,0.11822,2018.2,8.5571
6,0.05,0.17277,0.18752,0.72981,0.043,2018.2,8.5571,0.15089,0.16632,0.64246,0.066613,2018.2,8.5571,0.12589,0.14251,0.54346,0.11822,2018.2,8.5571
7,0.06,0.16774,0.18218,0.7088,0.043,2018.2,8.5571,0.14569,0.1607,0.62056,0.066613,2018.2,8.5571,0.1204,0.13639,0.51997,0.11822,2018.2,8.5571
8,0.07,0.1628,0.17695,0.68822,0.043,2018.2,8.5571,0.14063,0.15524,0.59924,0.066613,2018.2,8.5571,0.11512,0.13051,0.49736,0.11822,2018.2,8.5571
9,0.08,0.15797,0.17183,0.66806,0.043,2018.2,8.5571,0.1357,0.14992,0.5785,0.066613,2018.2,8.5571,0.11003,0.12485,0.47559,0.11822,2018.2,8.5571
10,0.09,0.15324,0.16682,0.64831,0.043,2018.2,8.5571,0.13091,0.14475,0.5583,0.066613,2018.2,8.5571,0.10513,0.1194,0.45464,0.11822,2018.2,8.5571
11,0.1,0.1486,0.16191,0.62896,0.043,2018.2,8.5571,0.12623,0.13971,0.53864,0.066613,2018.2,8.5571,0.1004,0.11416,0.43445,0.11822,2018.2,8.5571
12,0.11,0.14405,0.15709,0.60999,0.043,2018.2,8.5571,0.12168,0.13481,0.51949,0.066613,2018.2,8.5571,0.095849,0.1091,0.41499,0.11822,2018.2,8.5571
13,0.12,0.13958,0.15237,0.59139,0.043,2018.2,8.5571,0.11725,0.13003,0.50083,0.066613,2018.2,8.5571,0.091458,0.10423,0.39624,0.11822,2018.2,8.5571
14,0.13,0.13521,0.14775,0.57316,0.043,2018.2,8.5571,0.11292,0.12538,0.48265,0.066613,2018.2,8.5571,0.087222,0.099542,0.37817,0.11822,2018.2,8.5571
15,0.14,0.13091,0.14322,0.55528,0.043,2018.2,8.5571,0.1087,0.12085,0.46493,0.066613,2018.2,8.5571,0.083133,0.095019,0.36073,0.11822,2018.2,8.5571
16,0.15,0.1267,0.13877,0.53773,0.043,2018.2,8.5571,0.10459,0.11644,0.44766,0.066613,2018.2,8.5571,0.079186,0.090658,0.3439,0.11822,2018.2,8.5571
17,0.16,0.12256,0.13441,0.52052,0.043,2018.2,8.5571,0.10057,0.11213,0.43081,0.066613,2018.2,8.5571,0.075372,0.086449,0.32766,0.11822,2018.2,8.5571
18,0.17,0.1185,0.13013,0.50362,0.043,2018.2,8.5571,0.096655,0.10793,0.41437,0.066613,2018.2,8.5571,0.071687,0.082387,0.31198,0.11822,2018.2,8.5571
19,0.18,0.11451,0.12593,0.48703,0.043,2018.2,8.5571,0.092828,0.10384,0.39832,0.066613,2018.2,8.5571,0.068122,0.078465,0.29682,0.11822,2018.2,8.5571
20,0.19,0.11059,0.1218,0.47073,0.043,2018.2,8.5571,0.08909,0.099842,0.38265,0.066613,2018.2,8.5571,0.064673,0.074676,0.28216,0.11822,2018.2,8.5571
21,0.2,0.10678,0.1178,0.4549,0.043,1513.6,6.4178,0.08548,0.095983,0.36751,0.066613,1513.6,6.4178,0.061374,0.071052,0.26811,0.11822,1513.6,6.4178
22,0.21,0.10396,0.11479,0.44309,0.043,1513.6,6.4178,0.082829,0.093092,0.35627,0.066613,1513.6,6.4178,0.058983,0.068351,0.25778,0.11822,1513.6,6.4178
23,0.22,0.10119,0.11184,0.43149,0.043,1513.6,6.4178,0.080239,0.090269,0.3453,0.066613,1513.6,6.4178,0.05667,0.06574,0.24781,0.11822,1513.6,6.4178
24,0.23,0.098472,0.10893,0.4201,0.043,1513.6,6.4178,0.077706,0.087511,0.33459,0.066613,1513.6,6.4178,0.054429,0.063213,0.23816,0.11822,1513.6,6.4178
25,0.24,0.095796,0.10608,0.4089,0.043,1513.6,6.4178,0.07523,0.084816,0.32412,0.066613,1513.6,6.4178,0.052258,0.060767,0.22881,0.11822,1513.6,6.4178
26,0.25,0.093163,0.10328,0.39788,0.043,1513.6,6.4178,0.072807,0.082182,0.31388,0.066613,1513.6,6.4178,0.050153,0.058398,0.21975,0.11822,1513.6,6.4178
27,0.26,0.090573,0.10052,0.38705,0.043,1513.6,6.4178,0.070437,0.079607,0.30386,0.066613,1513.6,6.4178,0.048112,0.056104,0.21098,0.11822,1513.6,6.4178
28,0.27,0.088024,0.097809,0.3764,0.043,1513.6,6.4178,0.068116,0.077089,0.29406,0.066613,1513.6,6.4178,0.046133,0.053881,0.20247,0.11822,1513.6,6.4178
29,0.28,0.085516,0.095143,0.36592,0.043,1513.6,6.4178,0.065845,0.074626,0.28447,0.066613,1513.6,6.4178,0.044212,0.051726,0.19422,0.11822,1513.6,6.4178
30,0.29,0.083048,0.092521,0.35561,0.043,1513.6,6.4178,0.063621,0.072216,0.27509,0.066613,1513.6,6.4178,0.042348,0.049638,0.18622,0.11822,1513.6,6.4178
31,0.3,0.080617,0.089941,0.34546,0.043,1513.6,6.4178,0.061442,0.069858,0.2659,0.066613,1513.6,6.4178,0.040537,0.047613,0.17845,0.11822,1513.6,6.4178
32,0.31,0.078224,0.087403,0.33547,0.043,1513.6,6.4178,0.059308,0.06755,0.25691,0.066613,1513.6,6.4178,0.038778,0.045648,0.17092,0.11822,1513.6,6.4178
33,0.32,0.075866,0.084905,0.32564,0.043,1513.6,6.4178,0.057216,0.065291,0.24809,0.066613,1513.6,6.4178,0.037069,0.043742,0.1636,0.11822,1513.6,6.4178
34,0.33,0.073544,0.082446,0.31595,0.043,1513.6,6.4178,0.055165,0.063078,0.23946,0.066613,1513.6,6.4178,0.035407,0.041891,0.15648,0.11822,1513.6,6.4178
35,0.34,0.071255,0.080025,0.30641,0.043,1513.6,6.4178,0.053153,0.06091,0.23099,0.066613,1513.6,6.4178,0.03379,0.040094,0.14957,0.11822,1513.6,6.4178
36,0.35000000000000003,0.068999,0.07764,0.29701,0.043,1513.6,6.4178,0.05118,0.058787,0.2227,0.066613,1513.6,6.4178,0.032216,0.038347,0.14285,0.11822,1513.6,6.4178
37,0.36,0.066774,0.075291,0.28775,0.043,1513.6,6.4178,0.049243,0.056705,0.21456,0.066613,1513.6,6.4178,0.030683,0.03665,0.13631,0.11822,1513.6,6.4178
