,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
28,0.27,0.062541,0.069921,0.26831,0.043,1816.4,7.7014,0.047419,0.05383,0.20506,0.066613,1816.4,7.7014,0.03084,0.035943,0.13522,0.11822,1816.4,7.7014
29,0.28,0.060255,0.067523,0.25882,0.043,1816.4,7.7014,0.045456,0.051734,0.19684,0.066613,1816.4,7.7014,0.029309,0.034256,0.1287,0.11822,1816.4,7.7014
30,0.29,0.058003,0.065162,0.24948,0.043,1816.4,7.7014,0.043532,0.049682,0.18879,0.066613,1816.4,7.7014,0.027822,0.032621,0.12238,0.11822,1816.4,7.7014
31,0.3,0.055782,0.062837,0.24027,0.043,1816.4,7.7014,0.041646,0.047673,0.1809,0.066613,1816.4,7.7014,0.026378,0.031037,0.11625,0.11822,1816.4,7.7014
32,0.31,0.053592,0.060547,0.2312,0.043,1816.4,7.7014,0.039795,0.045705,0.17316,0.066613,1816.4,7.7014,0.024974,0.029499,0.11029,0.11822,1816.4,7.7014
33,0.32,0.051432,0.05829,0.22225,0.043,1816.4,7.7014,0.037978,0.043776,0.16558,0.066613,1816.4,7.7014,0.023608,0.028007,0.1045,0.11822,1816.4,7.7014
34,0.33,0.0493,0.056066,0.21343,0.043,1816.4,7.7014,0.036194,0.041885,0.15813,0.066613,1816.4,7.7014,0.022278,0.026558,0.098877,0.11822,1816.4,7.7014
35,0.34,0.047196,0.053872,0.20472,0.043,1816.4,7.7014,0.034441,0.040029,0.15082,0.066613,1816.4,7.7014,0.020982,0.025148,0.0934,0.11822,1816.4,7.7014
36,0.35000000000000003,0.045117,0.051708,0.19613,0.043,1816.4,7.7014,0.032717,0.038208,0.14364,0.066613,1816.4,7.7014,0.019718,0.023778,0.088066,0.11822,1816.4,7.7014
37,0.36,0.043063,0.049572,0.18764,0.043,1816.4,7.7014,0.031022,0.03642,0.13659,0.066613,1816.4,7.7014,0.018484,0.022444,0.082866,0.11822,1816.4,7.7014
38,0.37,0.041033,0.047464,0.17926,0.043,1816.4,7.7014,0.029353,0.034663,0.12965,0.066613,1816.4,7.7014,0.017278,0.021143,0.077793,0.11822,1816.4,7.7014
39,0.38,0.039025,0.045382,0.17097,0.043,1816.4,7.7014,0.027709,0.032935,0.12282,0.066613,1816.4,7.7014,0.016099,0.019875,0.072837,0.11822,1816.4,7.7014
40,0.39,0.037038,0.043324,0.16278,0.043,1816.4,7.7014,0.026089,0.031236,0.11609,0.066613,1816.4,7.7014,0.014944,0.018637,0.067987,0.11822,1816.4,7.7014
41,0.4,0.035134,0.041351,0.15488,0.043,605.45,2.5671,0.024541,0.029611,0.10963,0.066613,605.45,2.5671,0.013845,0.01746,0.063336,0.11822,605.45,2.5671
42,0.41000000000000003,0.034504,0.040655,0.15218,0.043,605.45,2.5671,0.024036,0.029034,0.10742,0.066613,605.45,2.5671,0.013495,0.017036,0.061749,0.11822,605.45,2.5671
43,0.42,0.033882,0.039968,0.14952,0.043,605.45,2.5671,0.023539,0.028466,0.10525,0.066613,605.45,2.5671,0.013154,0.016623,0.060216,0.11822,605.45,2.5671
44,0.43,0.033267,0.039289,0.1469,0.043,605.45,2.5671,0.02305,0.027908,0.10313,0.066613,605.45,2.5671,0.01282,0.016219,0.05872,0.11822,605.45,2.5671
45,0.44,0.032658,0.038618,0.14431,0.043,605.45,2.5671,0.022568,0.027358,0.10104,0.066613,605.45,2.5671,0.012493,0.015823,0.057258,0.11822,605.45,2.5671
46,0.45,0.032055,0.037954,0.14174,0.043,605.45,2.5671,0.022092,0.026816,0.098979,0.066613,605.45,2.5671,0.012173,0.015436,0.055826,0.11822,605.45,2.5671
47,0.46,0.031458,0.037297,0.1392,0.043,605.45,2.5671,0.021623,0.026282,0.096948,0.066613,605.45,2.5671,0.011859,0.015057,0.054424,0.11822,605.45,2.5671
48,0.47000000000000003,0.030868,0.036647,0.13669,0.043,605.45,2.5671,0.02116,0.025755,0.094944,0.066613,605.45,2.5671,0.011551,0.014685,0.05305,0.11822,605.45,2.5671
49,0.48,0.030283,0.036004,0.1342,0.043,605.45,2.5671,0.020703,0.025235,0.092968,0.066613,605.45,2.5671,0.011249,0.014321,0.051703,0.11822,605.45,2.5671
50,0.49,0.029703,0.035368,0.13174,0.043,605.45,2.5671,0.020252,0.024723,0.09102,0.066613,605.45,2.5671,0.010953,0.013965,0.050383,0.11822,605.45,2.5671
51,0.5,0.029129,0.034738,0.1293,0.043,605.45,2.5671,0.019807,0.024219,0.089097,0.066613,605.45,2.5671,0.010662,0.013616,0.049089,0.11822,605.45,2.5671
52,0.51,0.028561,0.034114,0.12689,0.043,605.45,2.5671,0.019368,0.023721,0.087201,0.066613,605.45,2.5671,0.010377,0.013273,0.04782,0.11822,605.45,2.5671
53,0.52,0.027997,0.033497,0.1245,0.043,605.45,2.5671,0.018934,0.02323,0.085329,0.066613,605.45,2.5671,0.010097,0.012938,0.046576,0.11822,605.45,2.5671
54,0.53,0.027439,0.032886,0.12213,0.043,605.45,2.5671,0.018506,0.022745,0.083482,0.066613,605.45,2.5671,0.0098223,0.012609,0.045355,0.11822,605.45,2.5671
55,0.54,0.026886,0.032281,0.11979,0.043,605.45,2.5671,0.018083,0.022267,0.081659,0.066613,605.45,2.5671,0.0095527,0.012286,0.044158,0.11822,605.45,2.5671
56,0.55,0.026338,0.031683,0.11747,0.043,605.45,2.5671,0.017665,0.021796,0.079859,0.066613,605.45,2.5671,0.0092879,0.01197,0.042983,0.11822,605.45,2.5671
57,0.56,0.025795,0.03109,0.11517,0.043,605.45,2.5671,0.017252,0.021331,0.078082,0.066613,605.45,2.5671,0.0090279,0.01166,0.04183,0.11822,605.45,2.5671
58,0.5700000000000001,0.025257,0.030502,0.11289,0.043,605.45,2.5671,0.016844,0.020872,0.076327,0.066613,605.45,2.5671,0.0087725,0.011356,0.040699,0.11822,605.45,2.5671
59,0.58,0.024723,0.029921,0.11063,0.043,605.45,2.5671,0.016441,0.020419,0.074594,0.066613,605.45,2.5671,0.0085216,0.011058,0.039587,0.11822,605.45,2.5671
60,0.59,0.024194,0.029345,0.10839,0.043,605.45,2.5671,0.016043,0.019971,0.072881,0.066613,605.45,2.5671,0.0082748,0.010765,0.038495,0.11822,605.45,2.5671
