,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
168,1.67,0.00012746,0.0047625,0.007095,0.0067212,0.00037379,1.1,7.5,0.04815,0.00040333,0.0089396,0.014301,0.013177,0.0011236,0.75,7.5,0.04815,0.00020411,0.0057794,0.0089327,0.0083494,0.00058329,0.9,7.5,0.04815
169,1.68,0.00012553,0.0046832,0.0069737,0.0066061,0.00036759,1.1,7.5,0.04815,0.00039935,0.008829,0.014119,0.013008,0.0011106,0.75,7.5,0.04815,0.00020164,0.0056971,0.008802,0.0082267,0.00057526,0.9,7.5,0.04815
170,1.69,0.00012365,0.0046052,0.0068546,0.0064931,0.00036152,1.1,7.5,0.04815,0.00039544,0.0087199,0.01394,0.012842,0.0010978,0.75,7.5,0.04815,0.00019922,0.0056161,0.0086733,0.008106,0.00056738,0.9,7.5,0.04815
171,1.7,0.0001218,0.0045286,0.0067377,0.0063822,0.00035557,1.1,7.5,0.04815,0.00039161,0.0086122,0.013763,0.012678,0.0010852,0.75,7.5,0.04815,0.00019685,0.0055362,0.0085468,0.0079871,0.00055964,0.9,7.5,0.04815
172,1.71,0.00011999,0.0044534,0.0066229,0.0062732,0.00034974,1.1,7.5,0.04815,0.00038785,0.0085059,0.013589,0.012516,0.0010728,0.75,7.5,0.04815,0.00019452,0.0054575,0.0084222,0.0078701,0.00055205,0.9,7.5,0.04815
173,1.72,0.00011823,0.0043794,0.0065102,0.0061662,0.00034403,1.1,7.5,0.04815,0.00038415,0.0084009,0.013417,0.012357,0.0010607,0.75,7.5,0.04815,0.00019225,0.00538,0.0082996,0.007755,0.0005446,0.9,7.5,0.04815
174,1.73,0.0001165,0.0043066,0.0063995,0.0060611,0.00033844,1.1,7.5,0.04815,0.00038053,0.0082973,0.013248,0.012199,0.0010487,0.75,7.5,0.04815,0.00019001,0.0053037,0.0081789,0.0076416,0.00053728,0.9,7.5,0.04815
175,1.74,0.00011481,0.0042352,0.0062909,0.0059579,0.00033295,1.1,7.5,0.04815,0.00037698,0.0081951,0.013081,0.012044,0.001037,0.75,7.5,0.04815,0.00018783,0.0052284,0.0080601,0.00753,0.0005301,0.9,7.5,0.04815
176,1.75,0.00011315,0.0041649,0.0061841,0.0058566,0.00032759,1.1,7.5,0.04815,0.00037349,0.0080941,0.012916,0.011891,0.0010254,0.75,7.5,0.04815,0.00018568,0.0051543,0.0079431,0.0074201,0.00052306,0.9,7.5,0.04815
177,1.76,0.00011154,0.0040958,0.0060793,0.005757,0.00032233,1.1,7.5,0.04815,0.00037008,0.0079945,0.012754,0.01174,0.0010141,0.75,7.5,0.04815,0.00018358,0.0050812,0.0078281,0.0073119,0.00051614,0.9,7.5,0.04815
178,1.77,0.00010995,0.004028,0.0059764,0.0056592,0.00031718,1.1,7.5,0.04815,0.00036672,0.0078961,0.012594,0.011591,0.0010029,0.75,7.5,0.04815,0.00018153,0.0050092,0.0077148,0.0072054,0.00050935,0.9,7.5,0.04815
179,1.78,0.0001084,0.0039612,0.0058753,0.0055632,0.00031213,1.1,7.5,0.04815,0.00036344,0.0077989,0.012436,0.011444,0.00099194,0.75,7.5,0.04815,0.00017951,0.0049383,0.0076032,0.0071006,0.00050269,0.9,7.5,0.04815
180,1.79,0.00010689,0.0038956,0.0057761,0.0054689,0.00030719,1.1,7.5,0.04815,0.00036021,0.007703,0.01228,0.011299,0.00098115,0.75,7.5,0.04815,0.00017754,0.0048684,0.0074935,0.0069973,0.00049615,0.9,7.5,0.04815
181,1.8,0.00010541,0.0038312,0.0056786,0.0053762,0.00030235,1.1,7.5,0.04815,0.00035705,0.0076084,0.012127,0.011156,0.00097056,0.75,7.5,0.04815,0.00017561,0.0047996,0.0073854,0.0068956,0.00048973,0.9,7.5,0.04815
