depth,r,g,b
0.0,2.0726345,1.9452854,1.9179258
20.0,1.78411,1.4252574,1.351399
40.0,0.4788108,0.3386834,0.31712857
60.0,0.39500865,0.25362894,0.22068468
80.0,0.05178135,-0.028282614,-0.04861647
100.0,-0.010799893,-0.064533375,-0.07323583
120.0,0.1369532,0.07476822,0.08003009
140.0,0.14975712,0.09726114,0.11030493
160.0,0.051497974,0.03470581,0.03946039
180.0,0.035592746,0.011275034,0.024940114
200.0,0.09918094,0.009943459,0.061180454
