,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
22,0.21,0.034937,0.048557,0.16664,0.093709,0.072935,0.043,350.0,0.735,0.028853,0.041506,0.14031,0.079814,0.060496,0.065,350.0,0.735,0.019881,0.031401,0.10201,0.059817,0.04219,0.133,350.0,0.735
23,0.22,0.034537,0.048086,0.16491,0.092785,0.072121,0.043,350.0,0.735,0.028492,0.041054,0.13868,0.078924,0.059752,0.065,350.0,0.735,0.019571,0.030956,0.10047,0.058939,0.041535,0.133,350.0,0.735
24,0.23,0.03414,0.047618,0.16317,0.091864,0.07131,0.043,350.0,0.735,0.028133,0.040605,0.13706,0.078043,0.059013,0.065,350.0,0.735,0.019265,0.030518,0.098971,0.058079,0.040892,0.133,350.0,0.735
25,0.24,0.033744,0.047153,0.16145,0.090949,0.070504,0.043,350.0,0.735,0.027777,0.04016,0.13545,0.077171,0.058281,0.065,350.0,0.735,0.018963,0.030085,0.097495,0.057236,0.040258,0.133,350.0,0.735
26,0.25,0.033351,0.046691,0.15974,0.09004,0.069701,0.043,350.0,0.735,0.027423,0.039719,0.13386,0.076307,0.057554,0.065,350.0,0.735,0.018665,0.029659,0.096041,0.056407,0.039634,0.133,350.0,0.735
27,0.26,0.032959,0.046231,0.15804,0.089136,0.068903,0.043,350.0,0.735,0.027072,0.039282,0.13228,0.07545,0.056833,0.065,350.0,0.735,0.018371,0.029238,0.094609,0.055591,0.039018,0.133,350.0,0.735
28,0.27,0.03257,0.045774,0.15635,0.088237,0.068109,0.043,350.0,0.735,0.026723,0.038848,0.13072,0.074601,0.056117,0.065,350.0,0.735,0.01808,0.028822,0.093197,0.054788,0.038409,0.133,350.0,0.735
29,0.28,0.032182,0.045319,0.15466,0.087344,0.06732,0.043,350.0,0.735,0.026377,0.038417,0.12917,0.07376,0.055407,0.065,350.0,0.735,0.017792,0.028412,0.091804,0.053995,0.037809,0.133,350.0,0.735
30,0.29,0.031796,0.044867,0.15299,0.086456,0.066534,0.043,350.0,0.735,0.026033,0.03799,0.12763,0.072925,0.054701,0.065,350.0,0.735,0.017508,0.028007,0.090429,0.053214,0.037215,0.133,350.0,0.735
31,0.3,0.031412,0.044418,0.15132,0.085573,0.065751,0.043,350.0,0.735,0.025692,0.037566,0.1261,0.072097,0.054,0.065,350.0,0.735,0.017228,0.027606,0.089072,0.052443,0.036629,0.133,350.0,0.735
32,0.31,0.03103,0.043971,0.14967,0.084696,0.064973,0.043,350.0,0.735,0.025352,0.037145,0.12458,0.071276,0.053304,0.065,350.0,0.735,0.01695,0.027211,0.087731,0.051682,0.036049,0.133,350.0,0.735
33,0.32,0.030649,0.043526,0.14802,0.083823,0.064198,0.043,350.0,0.735,0.025015,0.036727,0.12307,0.070461,0.052613,0.065,350.0,0.735,0.016675,0.026821,0.086407,0.050931,0.035477,0.133,350.0,0.735
34,0.33,0.03027,0.043084,0.14638,0.082955,0.063427,0.043,350.0,0.735,0.02468,0.036313,0.12158,0.069652,0.051926,0.065,350.0,0.735,0.016404,0.026435,0.085099,0.050189,0.03491,0.133,350.0,0.735
35,0.34,0.029893,0.042644,0.14475,0.082092,0.062659,0.043,350.0,0.735,0.024347,0.035901,0.12009,0.06885,0.051243,0.065,350.0,0.735,0.016135,0.026054,0.083806,0.049457,0.03435,0.133,350.0,0.735
36,0.35000000000000003,0.029518,0.042207,0.14313,0.081233,0.061896,0.043,350.0,0.735,0.024016,0.035493,0.11862,0.068053,0.050565,0.065,350.0,0.735,0.015869,0.025678,0.082528,0.048733,0.033795,0.133,350.0,0.735
37,0.36,0.029144,0.041772,0.14151,0.080379,0.061135,0.043,350.0,0.735,0.023687,0.035088,0.11715,0.067262,0.049892,0.065,350.0,0.735,0.015606,0.025305,0.081265,0.048018,0.033247,0.133,350.0,0.735
38,0.37,0.028772,0.041339,0.13991,0.079529,0.060378,0.043,350.0,0.735,0.02336,0.034685,0.1157,0.066477,0.049222,0.065,350.0,0.735,0.015345,0.024938,0.080017,0.047312,0.032705,0.133,350.0,0.735
39,0.38,0.028401,0.040909,0.13831,0.078684,0.059624,0.043,350.0,0.735,0.023035,0.034285,0.11425,0.065697,0.048557,0.065,350.0,0.735,0.015088,0.024574,0.078782,0.046614,0.032168,0.133,350.0,0.735
40,0.39,0.028032,0.04048,0.13672,0.077843,0.058873,0.043,350.0,0.735,0.022712,0.033889,0.11282,0.064923,0.047895,0.065,350.0,0.735,0.014832,0.024215,0.077561,0.045924,0.031637,0.133,350.0,0.735
41,0.4,0.027664,0.040054,0.13513,0.077007,0.058126,0.043,350.0,0.735,0.022391,0.033495,0.11139,0.064155,0.047238,0.065,350.0,0.735,0.01458,0.023861,0.076354,0.045242,0.031112,0.133,350.0,0.735
42,0.41000000000000003,0.027298,0.039631,0.13356,0.076175,0.057382,0.043,350.0,0.735,0.022072,0.033103,0.10998,0.063392,0.046585,0.065,350.0,0.735,0.01433,0.02351,0.07516,0.044569,0.030592,0.133,350.0,0.735
43,0.42,0.026934,0.039209,0.13199,0.075347,0.056641,0.043,350.0,0.735,0.021754,0.032715,0.10857,0.062634,0.045936,0.065,350.0,0.735,0.014082,0.023163,0.07398,0.043903,0.030077,0.133,350.0,0.735
44,0.43,0.026571,0.03879,0.13043,0.074523,0.055903,0.043,350.0,0.735,0.021439,0.032329,0.10717,0.061882,0.04529,0.065,350.0,0.735,0.013837,0.02282,0.072812,0.043244,0.029567,0.133,350.0,0.735
45,0.44,0.026209,0.038372,0.12887,0.073704,0.055168,0.043,350.0,0.735,0.021125,0.031947,0.10578,0.061135,0.044648,0.065,350.0,0.735,0.013594,0.022482,0.071656,0.042594,0.029063,0.133,350.0,0.735
46,0.45,0.025849,0.037957,0.12732,0.072888,0.054437,0.043,350.0,0.735,0.020813,0.031566,0.1044,0.060393,0.04401,0.065,350.0,0.735,0.013354,0.022147,0.070514,0.04195,0.028563,0.133,350.0,0.735
47,0.46,0.02549,0.037544,0.12578,0.072076,0.053708,0.043,350.0,0.735,0.020503,0.031188,0.10303,0.059656,0.043376,0.065,350.0,0.735,0.013116,0.021816,0.069383,0.041314,0.028069,0.133,350.0,0.735
48,0.47000000000000003,0.025133,0.037133,0.12425,0.071268,0.052982,0.043,350.0,0.735,0.020194,0.030813,0.10167,0.058924,0.042745,0.065,350.0,0.735,0.01288,0.021488,0.068264,0.040685,0.027579,0.133,350.0,0.735
49,0.48,0.024777,0.036724,0.12272,0.070465,0.052259,0.043,350.0,0.735,0.019887,0.030441,0.10031,0.058197,0.042118,0.065,350.0,0.735,0.012647,0.021165,0.067157,0.040063,0.027094,0.133,350.0,0.735
