,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
19,0.18,0.0063348,0.01574,0.043855,0.029095,0.01476,0.145,190.0,2.0729,4.9569,0.0053044,0.013918,0.038147,0.025642,0.012505,0.17,190.0,2.0729,5.175,0.0041351,0.011694,0.031366,0.021451,0.0099143,0.2,190.0,2.0729,5.4587,0.95
20,0.19,0.0056169,0.014961,0.040761,0.027534,0.013227,0.145,190.0,2.0729,5.2428,0.0046471,0.013199,0.035293,0.0242,0.011093,0.17,190.0,2.0729,5.4928,0.0035576,0.011056,0.028836,0.020173,0.0086621,0.2,190.0,2.0729,5.815,0.95
21,0.2,0.0049049,0.014191,0.037479,0.025945,0.011534,0.14,70.0,0.7637,0.71676,0.0039937,0.012487,0.032242,0.022727,0.0095153,0.17,70.0,0.7637,0.7964,0.0029812,0.010423,0.026096,0.018857,0.007239,0.22,70.0,0.7637,0.9166,0.99
22,0.21,0.0048583,0.014092,0.037141,0.02572,0.011421,0.14,70.0,0.147,0.69463,0.003952,0.01239,0.031915,0.022504,0.0094111,0.17,70.0,0.147,0.76848,0.0029457,0.010331,0.025785,0.018639,0.0071465,0.22,70.0,0.147,0.88612,0.99
23,0.22,0.0048127,0.013995,0.036825,0.025511,0.011313,0.14,70.0,0.147,0.69487,0.0039113,0.012296,0.031613,0.022299,0.0093133,0.17,70.0,0.147,0.76341,0.0029113,0.01024,0.025502,0.018441,0.0070609,0.22,70.0,0.147,0.87717,0.99
24,0.23,0.0047677,0.013898,0.036518,0.025309,0.011209,0.14,70.0,0.147,0.69117,0.0038713,0.012202,0.03132,0.022102,0.0092181,0.17,70.0,0.147,0.76204,0.0028777,0.01015,0.025229,0.018251,0.0069782,0.22,70.0,0.147,0.8758,0.99
25,0.24,0.0047232,0.013803,0.036218,0.025112,0.011106,0.14,70.0,0.147,0.68467,0.0038318,0.01211,0.031035,0.02191,0.009125,0.17,70.0,0.147,0.76013,0.0028445,0.010062,0.024964,0.018067,0.0068976,0.22,70.0,0.147,0.87239,0.99
26,0.25,0.0046792,0.013709,0.035923,0.024918,0.011005,0.14,70.0,0.147,0.68683,0.0037928,0.012018,0.030756,0.021723,0.0090337,0.17,70.0,0.147,0.75811,0.0028119,0.0099748,0.024707,0.017888,0.006819,0.22,70.0,0.147,0.87235,0.99
27,0.26,0.0046356,0.013615,0.035634,0.024729,0.010905,0.14,70.0,0.147,0.68623,0.0037542,0.011927,0.030483,0.021539,0.0089439,0.17,70.0,0.147,0.75471,0.0027797,0.0098885,0.024455,0.017713,0.0067419,0.22,70.0,0.147,0.86638,0.99
28,0.27,0.0045923,0.013522,0.035349,0.024543,0.010807,0.14,70.0,0.147,0.68492,0.003716,0.011838,0.030215,0.021359,0.0088553,0.17,70.0,0.147,0.75382,0.0027479,0.0098032,0.024208,0.017542,0.0066661,0.22,70.0,0.147,0.86501,0.99
29,0.28,0.0045495,0.01343,0.035069,0.024359,0.010709,0.14,70.0,0.147,0.68301,0.0036782,0.011749,0.02995,0.021182,0.008768,0.17,70.0,0.147,0.75614,0.0027165,0.0097188,0.023966,0.017374,0.0065917,0.22,70.0,0.147,0.86197,0.99
30,0.29,0.0045069,0.013338,0.034791,0.024178,0.010613,0.14,70.0,0.147,0.68164,0.0036407,0.011661,0.02969,0.021008,0.0086818,0.17,70.0,0.147,0.75525,0.0026855,0.0096353,0.023728,0.017209,0.0065183,0.22,70.0,0.147,0.86346,0.99
31,0.3,0.0044647,0.013248,0.034518,0.024,0.010518,0.14,70.0,0.147,0.68319,0.0036036,0.011573,0.029433,0.020836,0.0085965,0.17,70.0,0.147,0.75167,0.0026548,0.0095527,0.023494,0.017048,0.006446,0.22,70.0,0.147,0.86006,0.99
32,0.31,0.0044228,0.013158,0.034247,0.023823,0.010424,0.14,70.0,0.147,0.68122,0.0035668,0.011486,0.029179,0.020667,0.0085122,0.17,70.0,0.147,0.75077,0.0026244,0.0094708,0.023263,0.016888,0.0063747,0.22,70.0,0.147,0.85815,0.99
33,0.32,0.0043812,0.013068,0.033979,0.023649,0.01033,0.14,70.0,0.147,0.682,0.0035303,0.011401,0.028929,0.0205,0.0084288,0.17,70.0,0.147,0.74904,0.0025943,0.0093898,0.023036,0.016731,0.0063042,0.22,70.0,0.147,0.85755,0.99
34,0.33,0.0043399,0.01298,0.033714,0.023477,0.010237,0.14,70.0,0.147,0.6811,0.003494,0.011315,0.028681,0.020335,0.0083462,0.17,70.0,0.147,0.74815,0.0025645,0.0093096,0.022812,0.016577,0.0062347,0.22,70.0,0.147,0.8569,0.99
35,0.34,0.0042989,0.012891,0.033451,0.023306,0.010145,0.14,70.0,0.147,0.68254,0.0034581,0.011231,0.028436,0.020172,0.0082644,0.17,70.0,0.147,0.74952,0.002535,0.0092301,0.02259,0.016424,0.0061659,0.22,70.0,0.147,0.85791,0.99
36,0.35,0.0042581,0.012804,0.033191,0.023137,0.010054,0.14,70.0,0.147,0.68021,0.0034224,0.011147,0.028194,0.020011,0.0081833,0.17,70.0,0.147,0.74863,0.0025057,0.0091514,0.022372,0.016274,0.0060979,0.22,70.0,0.147,0.85898,0.99
37,0.36,0.0042175,0.012717,0.032934,0.02297,0.0099634,0.14,70.0,0.147,0.68027,0.0033869,0.011064,0.027954,0.019851,0.008103,0.17,70.0,0.147,0.74845,0.0024767,0.0090734,0.022156,0.016126,0.0060306,0.22,70.0,0.147,0.85385,0.99
38,0.37,0.0041772,0.012631,0.032678,0.022805,0.0098736,0.14,70.0,0.147,0.68182,0.0033517,0.010981,0.027717,0.019694,0.0080233,0.17,70.0,0.147,0.74618,0.0024479,0.0089962,0.021943,0.015979,0.005964,0.22,70.0,0.147,0.85391,0.99
39,0.38,0.0041372,0.012545,0.032425,0.022641,0.0097843,0.14,70.0,0.147,0.67997,0.0033168,0.0109,0.027482,0.019538,0.0079442,0.17,70.0,0.147,0.74898,0.0024194,0.0089196,0.021732,0.015834,0.0058981,0.22,70.0,0.147,0.85356,0.99
40,0.39,0.0040974,0.01246,0.032174,0.022478,0.0096956,0.14,70.0,0.147,0.68015,0.0032821,0.010818,0.027249,0.019384,0.0078658,0.17,70.0,0.147,0.74755,0.0023911,0.0088438,0.021524,0.015691,0.0058328,0.22,70.0,0.147,0.85487,0.99
41,0.4,0.0040578,0.012376,0.031925,0.022317,0.0096076,0.14,70.0,0.147,0.67961,0.0032476,0.010738,0.027019,0.019231,0.0077881,0.17,70.0,0.147,0.74976,0.0023631,0.0087686,0.021318,0.01555,0.0057681,0.22,70.0,0.147,0.85368,0.99
42,0.41,0.0040184,0.012292,0.031678,0.022158,0.00952,0.14,70.0,0.147,0.68087,0.0032133,0.010658,0.02679,0.019079,0.0077108,0.17,70.0,0.147,0.74719,0.0023352,0.0086941,0.021114,0.01541,0.005704,0.22,70.0,0.147,0.85576,0.99
43,0.42,0.0039792,0.012209,0.031433,0.022,0.0094332,0.14,70.0,0.147,0.68236,0.0031793,0.010578,0.026564,0.01893,0.0076342,0.17,70.0,0.147,0.75077,0.0023076,0.0086202,0.020912,0.015272,0.0056405,0.22,70.0,0.147,0.8529,0.99
44,0.43,0.0039403,0.012126,0.03119,0.021843,0.0093467,0.14,70.0,0.147,0.67937,0.0031454,0.010499,0.026339,0.018781,0.0075581,0.17,70.0,0.147,0.74725,0.0022802,0.008547,0.020713,0.015135,0.0055775,0.22,70.0,0.147,0.85278,0.99
45,0.44,0.0039015,0.012044,0.030948,0.021687,0.0092608,0.14,70.0,0.147,0.68128,0.0031118,0.010421,0.026116,0.018634,0.0074825,0.17,70.0,0.147,0.75053,0.002253,0.0084744,0.020515,0.015,0.0055151,0.22,70.0,0.147,0.85272,0.99
46,0.45,0.003863,0.011962,0.030708,0.021533,0.0091754,0.14,70.0,0.147,0.68063,0.0030783,0.010344,0.025896,0.018488,0.0074074,0.17,70.0,0.147,0.74713,0.0022259,0.0084025,0.020319,0.014866,0.0054532,0.22,70.0,0.147,0.8532,0.99
47,0.46,0.0038246,0.011881,0.03047,0.02138,0.0090905,0.14,70.0,0.147,0.68075,0.0030451,0.010266,0.025677,0.018344,0.0073328,0.17,70.0,0.147,0.74672,0.0021991,0.0083311,0.020125,0.014734,0.0053917,0.22,70.0,0.147,0.85177,0.99
48,0.47,0.0037864,0.0118,0.030234,0.021228,0.0090061,0.14,70.0,0.147,0.68051,0.003012,0.01019,0.025459,0.0182,0.0072587,0.17,70.0,0.147,0.74964,0.0021724,0.0082604,0.019933,0.014603,0.0053308,0.22,70.0,0.147,0.8535,0.99
49,0.48,0.0037485,0.01172,0.029999,0.021077,0.0089221,0.14,70.0,0.147,0.68063,0.0029791,0.010114,0.025244,0.018058,0.007185,0.17,70.0,0.147,0.74863,0.002146,0.0081903,0.019743,0.014473,0.0052703,0.22,70.0,0.147,0.85368,0.99
50,0.49,0.0037106,0.01164,0.029766,0.020927,0.0088385,0.14,70.0,0.147,0.68146,0.0029464,0.010038,0.02503,0.017918,0.0071119,0.17,70.0,0.147,0.75036,0.0021197,0.0081208,0.019555,0.014344,0.0052102,0.22,70.0,0.147,0.85201,0.99
51,0.5,0.003673,0.011561,0.029534,0.020778,0.0087554,0.14,70.0,0.147,0.68313,0.0029139,0.0099636,0.024817,0.017778,0.0070391,0.17,70.0,0.147,0.74881,0.0020935,0.0080519,0.019368,0.014217,0.0051506,0.22,70.0,0.147,0.85284,0.99
52,0.51,0.0036355,0.011482,0.029304,0.020631,0.0086727,0.14,70.0,0.147,0.68099,0.0028815,0.0098892,0.024606,0.01764,0.0069667,0.17,70.0,0.147,0.75012,0.0020676,0.0079835,0.019183,0.014091,0.0050914,0.22,70.0,0.147,0.85362,0.99
53,0.52,0.0035983,0.011404,0.029075,0.020485,0.0085904,0.14,70.0,0.147,0.68367,0.0028493,0.0098154,0.024397,0.017502,0.0068948,0.17,70.0,0.147,0.75119,0.0020418,0.0079157,0.018999,0.013966,0.0050326,0.22,70.0,0.147,0.85445,0.99
54,0.53,0.0035611,0.011327,0.028848,0.020339,0.0085085,0.14,70.0,0.147,0.68319,0.0028173,0.009742,0.024189,0.017366,0.0068233,0.17,70.0,0.147,0.74845,0.0020161,0.0078485,0.018817,0.013843,0.0049742,0.22,70.0,0.147,0.85487,0.99
55,0.54,0.0035241,0.011249,0.028622,0.020195,0.008427,0.14,70.0,0.147,0.68558,0.0027854,0.0096692,0.023983,0.017231,0.0067521,0.17,70.0,0.147,0.75071,0.0019906,0.0077818,0.018637,0.01372,0.0049162,0.22,70.0,0.147,0.85368,0.99
56,0.55,0.0034873,0.011173,0.028397,0.020051,0.0083458,0.14,70.0,0.147,0.68558,0.0027537,0.0095969,0.023778,0.017097,0.0066813,0.17,70.0,0.147,0.74725,0.0019653,0.0077156,0.018458,0.013599,0.0048586,0.22,70.0,0.147,0.8532,0.99
57,0.56,0.0034507,0.011096,0.028174,0.019909,0.0082651,0.14,70.0,0.147,0.68546,0.0027222,0.0095251,0.023575,0.016964,0.0066109,0.17,70.0,0.147,0.74994,0.0019401,0.00765,0.01828,0.013479,0.0048013,0.22,70.0,0.147,0.85535,0.99
58,0.57,0.0034142,0.011021,0.027952,0.019767,0.0081846,0.14,70.0,0.147,0.68558,0.0026908,0.0094538,0.023372,0.016832,0.0065408,0.17,70.0,0.147,0.75167,0.0019151,0.007585,0.018104,0.01336,0.0047444,0.22,70.0,0.147,0.85374,0.99
59,0.58,0.0033778,0.010945,0.027732,0.019627,0.0081045,0.14,70.0,0.147,0.68731,0.0026595,0.009383,0.023172,0.016701,0.0064711,0.17,70.0,0.147,0.75417,0.0018901,0.0075204,0.01793,0.013242,0.0046878,0.22,70.0,0.147,0.85475,0.99
60,0.59,0.0033416,0.01087,0.027512,0.019487,0.0080247,0.14,70.0,0.147,0.68773,0.0026284,0.0093127,0.022972,0.01657,0.0064017,0.17,70.0,0.147,0.75292,0.0018654,0.0074564,0.017756,0.013125,0.0046315,0.22,70.0,0.147,0.8557,0.99
61,0.6,0.0033056,0.010796,0.027294,0.019349,0.0079453,0.14,70.0,0.147,0.68707,0.0025974,0.0092428,0.022774,0.016441,0.0063326,0.17,70.0,0.147,0.75155,0.0018407,0.0073929,0.017584,0.013009,0.0045756,0.22,70.0,0.147,0.85505,0.99
62,0.61,0.0032696,0.010722,0.027077,0.019211,0.0078661,0.14,70.0,0.147,0.68898,0.0025665,0.0091734,0.022577,0.016313,0.0062639,0.17,70.0,0.147,0.75209,0.0018162,0.0073299,0.017414,0.012894,0.0045199,0.22,70.0,0.147,0.85248,0.99
63,0.62,0.0032338,0.010649,0.026861,0.019074,0.0077873,0.14,70.0,0.147,0.69118,0.0025358,0.0091044,0.022381,0.016186,0.0061954,0.17,70.0,0.147,0.75346,0.0017919,0.0072674,0.017245,0.01278,0.0044646,0.22,70.0,0.147,0.85403,0.99
64,0.63,0.0031982,0.010575,0.026647,0.018938,0.0077087,0.14,70.0,0.147,0.68892,0.0025052,0.009036,0.022187,0.01606,0.0061272,0.17,70.0,0.147,0.75537,0.0017676,0.0072054,0.017076,0.012667,0.0044095,0.22,70.0,0.147,0.85529,0.99
65,0.64,0.0031626,0.010503,0.026433,0.018803,0.0076304,0.14,70.0,0.147,0.6913,0.0024748,0.008968,0.021993,0.015934,0.0060593,0.17,70.0,0.147,0.75734,0.0017435,0.0071439,0.01691,0.012555,0.0043547,0.22,70.0,0.147,0.85779,0.99
66,0.65,0.0031272,0.01043,0.026221,0.018668,0.0075524,0.14,70.0,0.147,0.6885,0.0024444,0.0089004,0.021801,0.01581,0.0059916,0.17,70.0,0.147,0.75942,0.0017195,0.0070828,0.016744,0.012444,0.0043001,0.22,70.0,0.147,0.85737,0.99
