,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,g
246,2.45,0.00027481,0.0032962,0.0062765,0.0054876,0.00078889,0.06,0.35,0.008036,0.12984,0.9
247,2.46,0.00027438,0.003292,0.0062661,0.0054786,0.00078745,0.06,0.35,0.008036,0.12978,0.9
248,2.47,0.00027394,0.0032878,0.0062557,0.0054697,0.00078601,0.06,0.35,0.008036,0.12918,0.9
249,2.48,0.00027351,0.0032836,0.0062454,0.0054608,0.00078458,0.06,0.35,0.008036,0.12775,0.9
250,2.49,0.00027308,0.0032794,0.0062351,0.0054519,0.00078316,0.06,0.35,0.008036,0.12715,0.9
251,2.5,0.00027265,0.0032753,0.0062248,0.0054431,0.00078175,0.06,0.35,0.008036,0.12578,0.9
252,2.51,0.00027222,0.0032711,0.0062146,0.0054343,0.00078034,0.06,0.35,0.008036,0.12894,0.9
253,2.52,0.00027179,0.0032669,0.0062045,0.0054255,0.00077894,0.06,0.35,0.008036,0.12787,0.9
254,2.53,0.00027136,0.0032628,0.0061944,0.0054168,0.00077754,0.06,0.35,0.008036,0.12727,0.9
255,2.54,0.00027094,0.0032586,0.0061843,0.0054081,0.00077615,0.06,0.35,0.008036,0.12858,0.9
256,2.55,0.00027052,0.0032545,0.0061743,0.0053995,0.00077477,0.06,0.35,0.008036,0.12662,0.9
257,2.56,0.00027009,0.0032504,0.0061643,0.0053909,0.00077339,0.06,0.35,0.008036,0.12739,0.9
258,2.57,0.00026967,0.0032463,0.0061543,0.0053823,0.00077202,0.06,0.35,0.008036,0.12835,0.9
259,2.58,0.00026925,0.0032421,0.0061444,0.0053737,0.00077066,0.06,0.35,0.008036,0.12912,0.9
260,2.59,0.00026884,0.003238,0.0061345,0.0053652,0.0007693,0.06,0.35,0.008036,0.12662,0.9
261,2.6,0.00026842,0.0032339,0.0061246,0.0053567,0.00076795,0.06,0.35,0.008036,0.12548,0.9
262,2.61,0.000268,0.0032299,0.0061148,0.0053482,0.0007666,0.06,0.35,0.008036,0.12626,0.9
263,2.62,0.00026759,0.0032258,0.006105,0.0053398,0.00076526,0.06,0.35,0.008036,0.12876,0.9
264,2.63,0.00026717,0.0032217,0.0060953,0.0053314,0.00076392,0.06,0.35,0.008036,0.12548,0.9
265,2.64,0.00026676,0.0032176,0.0060856,0.005323,0.00076259,0.06,0.35,0.008036,0.12721,0.9
266,2.65,0.00026635,0.0032136,0.0060759,0.0053147,0.00076126,0.06,0.35,0.008036,0.12674,0.9
267,2.66,0.00026594,0.0032095,0.0060663,0.0053063,0.00075994,0.06,0.35,0.008036,0.12638,0.9
268,2.67,0.00026553,0.0032055,0.0060567,0.005298,0.00075863,0.06,0.35,0.008036,0.12703,0.9
269,2.68,0.00026513,0.0032014,0.0060471,0.0052898,0.00075732,0.06,0.35,0.008036,0.1256,0.9
270,2.69,0.00026472,0.0031974,0.0060375,0.0052815,0.00075601,0.06,0.35,0.008036,0.1268,0.9
271,2.7,0.00026432,0.0031933,0.006028,0.0052733,0.00075471,0.06,0.35,0.008036,0.12763,0.9
272,2.71,0.00026391,0.0031893,0.0060186,0.0052651,0.00075342,0.06,0.35,0.008036,0.12698,0.9
273,2.72,0.00026351,0.0031853,0.0060091,0.005257,0.00075213,0.06,0.35,0.008036,0.12799,0.9
274,2.73,0.00026311,0.0031813,0.0059997,0.0052489,0.00075084,0.06,0.35,0.008036,0.12709,0.9
275,2.74,0.00026271,0.0031773,0.0059903,0.0052408,0.00074956,0.06,0.35,0.008036,0.12543,0.9
276,2.75,0.00026231,0.0031733,0.005981,0.0052327,0.00074828,0.06,0.35,0.008036,0.12638,0.9
277,2.76,0.00026191,0.0031693,0.0059716,0.0052246,0.00074701,0.06,0.35,0.008036,0.12525,0.9
278,2.77,0.00026152,0.0031653,0.0059623,0.0052166,0.00074575,0.06,0.35,0.008036,0.12447,0.9
279,2.78,0.00026112,0.0031614,0.0059531,0.0052086,0.00074448,0.06,0.35,0.008036,0.1259,0.9
280,2.79,0.00026072,0.0031574,0.0059438,0.0052006,0.00074323,0.06,0.35,0.008036,0.12632,0.9
281,2.8,0.00026033,0.0031534,0.0059346,0.0051926,0.00074197,0.06,0.35,0.008036,0.12608,0.9
282,2.81,0.00025994,0.0031495,0.0059254,0.0051847,0.00074072,0.06,0.35,0.008036,0.12554,0.9
283,2.82,0.00025955,0.0031455,0.0059163,0.0051768,0.00073948,0.06,0.35,0.008036,0.12638,0.9
284,2.83,0.00025916,0.0031416,0.0059072,0.0051689,0.00073824,0.06,0.35,0.008036,0.12548,0.9
285,2.84,0.00025877,0.0031377,0.0058981,0.005161,0.000737,0.06,0.35,0.008036,0.12692,0.9
286,2.85,0.00025838,0.0031337,0.005889,0.0051532,0.00073577,0.06,0.35,0.008036,0.1256,0.9
287,2.86,0.00025799,0.0031298,0.0058799,0.0051454,0.00073455,0.06,0.35,0.008036,0.1268,0.9
288,2.87,0.00025761,0.0031259,0.0058709,0.0051376,0.00073333,0.06,0.35,0.008036,0.12602,0.9
289,2.88,0.00025722,0.003122,0.0058619,0.0051298,0.00073211,0.06,0.35,0.008036,0.12626,0.9
290,2.89,0.00025684,0.0031181,0.005853,0.0051221,0.00073089,0.06,0.35,0.008036,0.12429,0.9
291,2.9,0.00025645,0.0031142,0.005844,0.0051144,0.00072968,0.06,0.35,0.008036,0.12554,0.9
292,2.91,0.00025607,0.0031103,0.0058351,0.0051067,0.00072847,0.06,0.35,0.008036,0.12686,0.9
293,2.92,0.00025569,0.0031064,0.0058262,0.005099,0.00072727,0.06,0.35,0.008036,0.12322,0.9
294,2.93,0.00025531,0.0031025,0.0058174,0.0050913,0.00072607,0.06,0.35,0.008036,0.12554,0.9
295,2.94,0.00025493,0.0030987,0.0058086,0.0050837,0.00072488,0.06,0.35,0.008036,0.1259,0.9
296,2.95,0.00025455,0.0030948,0.0057997,0.0050761,0.00072369,0.06,0.35,0.008036,0.12483,0.9
297,2.96,0.00025417,0.0030909,0.005791,0.0050685,0.0007225,0.06,0.35,0.008036,0.12507,0.9
298,2.97,0.0002538,0.0030871,0.0057822,0.0050609,0.00072132,0.06,0.35,0.008036,0.12757,0.9
299,2.98,0.00025342,0.0030832,0.0057735,0.0050533,0.00072014,0.06,0.35,0.008036,0.12441,0.9
300,2.99,0.00025305,0.0030794,0.0057648,0.0050458,0.00071897,0.06,0.35,0.008036,0.12727,0.9
301,3.0,0.00025267,0.0030756,0.0057561,0.0050383,0.0007178,0.06,0.35,0.008036,0.1268,0.9
