,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,g
51,0.5,0.0036579,0.011514,0.029412,0.020693,0.0087194,0.14,70.0,0.147,0.682,0.99
52,0.51,0.0036206,0.011435,0.029183,0.020546,0.008637,0.14,70.0,0.147,0.68182,0.99
53,0.52,0.0035834,0.011357,0.028955,0.0204,0.008555,0.14,70.0,0.147,0.68271,0.99
54,0.53,0.0035465,0.01128,0.028729,0.020255,0.0084735,0.14,70.0,0.147,0.68403,0.99
55,0.54,0.0035096,0.011203,0.028504,0.020112,0.0083923,0.14,70.0,0.147,0.68307,0.99
56,0.55,0.003473,0.011127,0.02828,0.019969,0.0083115,0.14,70.0,0.147,0.68492,0.99
57,0.56,0.0034365,0.011051,0.028058,0.019827,0.008231,0.14,70.0,0.147,0.68391,0.99
58,0.57,0.0034001,0.010975,0.027837,0.019686,0.0081509,0.14,70.0,0.147,0.6854,0.99
59,0.58,0.0033639,0.0109,0.027617,0.019546,0.0080711,0.14,70.0,0.147,0.68802,0.99
60,0.59,0.0033279,0.010826,0.027399,0.019407,0.0079917,0.14,70.0,0.147,0.68737,0.99
61,0.6,0.003292,0.010752,0.027182,0.019269,0.0079126,0.14,70.0,0.147,0.68838,0.99
62,0.61,0.0032562,0.010678,0.026966,0.019132,0.0078337,0.14,70.0,0.147,0.68755,0.99
63,0.62,0.0032205,0.010605,0.026751,0.018996,0.0077552,0.14,70.0,0.147,0.68737,0.99
64,0.63,0.003185,0.010532,0.026537,0.01886,0.0076769,0.14,70.0,0.147,0.68999,0.99
65,0.64,0.0031496,0.010459,0.026324,0.018725,0.007599,0.14,70.0,0.147,0.68975,0.99
66,0.65,0.0031144,0.010388,0.026113,0.018592,0.0075212,0.14,70.0,0.147,0.68808,0.99
67,0.66,0.0030792,0.010316,0.025902,0.018459,0.0074438,0.14,70.0,0.147,0.69226,0.99
68,0.67,0.0030442,0.010245,0.025693,0.018327,0.0073665,0.14,70.0,0.147,0.69148,0.99
69,0.68,0.0030093,0.010174,0.025485,0.018195,0.0072895,0.14,70.0,0.147,0.69017,0.99
70,0.69,0.0029745,0.010104,0.025277,0.018065,0.0072127,0.14,70.0,0.147,0.69655,0.99
71,0.7,0.0029398,0.010034,0.025071,0.017935,0.0071361,0.14,70.0,0.147,0.69452,0.99
72,0.71,0.0029053,0.0099644,0.024865,0.017806,0.0070597,0.14,70.0,0.147,0.69673,0.99
73,0.72,0.0028708,0.0098952,0.024661,0.017677,0.0069835,0.14,70.0,0.147,0.69512,0.99
74,0.73,0.0028364,0.0098265,0.024457,0.01755,0.0069074,0.14,70.0,0.147,0.69637,0.99
75,0.74,0.0028022,0.0097581,0.024254,0.017423,0.0068315,0.14,70.0,0.147,0.69918,0.99
76,0.75,0.002768,0.0096901,0.024052,0.017297,0.0067557,0.14,70.0,0.147,0.69965,0.99
77,0.76,0.0027339,0.0096225,0.023851,0.017171,0.00668,0.14,70.0,0.147,0.70222,0.99
78,0.77,0.0026999,0.0095553,0.023651,0.017046,0.0066044,0.14,70.0,0.147,0.70055,0.99
79,0.78,0.002666,0.0094884,0.023451,0.016922,0.0065289,0.14,70.0,0.147,0.70246,0.99
80,0.79,0.0026321,0.0094218,0.023252,0.016798,0.0064534,0.14,70.0,0.147,0.70455,0.99
81,0.8,0.0025984,0.0093557,0.023053,0.016675,0.006378,0.14,70.0,0.147,0.70562,0.99
82,0.81,0.0025647,0.0092898,0.022856,0.016553,0.0063025,0.14,70.0,0.147,0.70622,0.99
83,0.82,0.002531,0.0092244,0.022658,0.016431,0.0062271,0.14,70.0,0.147,0.70991,0.99
84,0.83,0.0024975,0.0091592,0.022462,0.01631,0.0061516,0.14,70.0,0.147,0.70896,0.99
85,0.84,0.002464,0.0090944,0.022266,0.01619,0.006076,0.14,70.0,0.147,0.71248,0.99
86,0.85,0.0024305,0.0090299,0.02207,0.016069,0.0060003,0.14,70.0,0.147,0.71129,0.99
87,0.86,0.0023971,0.0089657,0.021874,0.01595,0.0059244,0.14,70.0,0.147,0.71648,0.99
88,0.87,0.0023637,0.0089018,0.021679,0.015831,0.0058483,0.14,70.0,0.147,0.71743,0.99
89,0.88,0.0023303,0.0088382,0.021484,0.015712,0.005772,0.14,70.0,0.147,0.71671,0.99
