,Angle [deg],PF [1/sr]
0,0.0,14094.273724152546
1,0.018001800180018002,13914.999160415786
2,0.036003600360036005,13390.236746509407
3,0.05400540054005401,12557.741605649668
4,0.07200720072007201,11475.872320843986
5,0.09000900090009001,10217.395113937419
6,0.10801080108010802,8862.01179224749
7,0.126012601260126,7488.584791017972
8,0.14401440144014402,6168.028872342878
9,0.16201620162016203,4957.693335501247
10,0.18001800180018002,3897.800207002587
11,0.19801980198019803,3010.1793788315795
12,0.21602160216021604,2299.2061578910525
13,0.23402340234023403,1754.5537580164298
14,0.252025202520252,1355.1657871011796
15,0.27002700270027,1073.7571032897517
16,0.28802880288028804,881.1702031837079
17,0.30603060306030605,750.0333427888052
18,0.32403240324032406,657.3551395631941
19,0.342034203420342,585.9090982524643
20,0.36003600360036003,524.4702160483934
21,0.37803780378037805,467.1309637183516
22,0.39603960396039606,412.0238250551749
23,0.41404140414041407,359.80500108944614
24,0.4320432043204321,312.2156811269633
25,0.45004500450045004,270.95124476252846
26,0.46804680468046805,236.9588233394129
27,0.48604860486048607,210.1744686757155
28,0.504050405040504,189.62324982612222
29,0.5220522052205221,173.75186702627101
30,0.54005400540054,160.84780009646695
31,0.5580558055805581,149.4171869908427
32,0.5760576057605761,138.4350146581691
33,0.594059405940594,127.43231604238919
34,0.6120612061206121,116.43281633335864
35,0.6300630063006301,105.7859125084657
36,0.6480648064806481,95.95884011572431
37,0.6660666066606661,87.34833553712471
38,0.684068406840684,80.15525491244372
39,0.7020702070207021,74.34124869417735
40,0.7200720072007201,69.66206124119658
41,0.7380738073807381,65.75341299928989
42,0.7560756075607561,62.23630990353144
43,0.774077407740774,58.80963606890779
44,0.7920792079207921,55.30702009681344
45,0.8100810081008101,51.70851070311808
46,0.8280828082808281,48.11132867334401
47,0.8460846084608461,44.67428395221196
48,0.8640864086408642,41.55520845066583
49,0.8820882088208821,38.85958173642468
50,0.9000900090009001,36.61264942234008
51,0.9180918091809182,34.759034558756895
52,0.9360936093609361,33.18570509196926
53,0.9540954095409542,31.7583508985598
54,0.9720972097209721,30.358975952747645
55,0.9900990099009901,28.913929154483185
56,1.008100810081008,27.405782754068767
57,1.0261026102610262,25.86789491490689
58,1.0441044104410442,24.365504682916747
59,1.0621062106210621,22.970478263425132
60,1.08010801080108,21.73767945791716
61,1.098109810981098,20.68944983626436
62,1.1161116111611162,19.81156729820018
63,1.1341134113411342,19.06037879634287
64,1.1521152115211521,18.37767007241463
65,1.17011701170117,17.70805505915563
66,1.188118811881188,17.0135781799824
67,1.2061206120612062,16.281649234131233
68,1.2241224122412242,15.524793121005462
69,1.2421242124212422,14.773218930338265
70,1.2601260126012601,14.063161488809012
71,1.278127812781278,13.424833996770962
72,1.2961296129612963,12.873518536005564
73,1.3141314131413142,12.40603187095961
74,1.3321332133213322,12.003011066096105
75,1.3501350135013501,11.635733848096368
76,1.368136813681368,11.275011484632268
77,1.3861386138613863,10.89934763173804
78,1.4041404140414042,10.500058316522994
79,1.4221422142214222,10.082165293098644
80,1.4401440144014401,9.66122328347001
81,1.458145814581458,9.25740870023491
82,1.4761476147614763,8.888863771174467
83,1.4941494149414942,8.566311591544506
84,1.5121512151215122,8.290390711444118
85,1.5301530153015301,8.052223511803668
86,1.548154815481548,7.8367374512525
87,1.5661566156615663,7.627497788592803
88,1.5841584158415842,7.411484464272455
89,1.6021602160216022,7.182409461959357
90,1.6201620162016201,6.941731462218895
91,1.638163816381638,6.6972817495710455
92,1.6561656165616563,6.460129326258415
93,1.6741674167416742,6.240778039315533
94,1.6921692169216922,6.045889334809677
95,1.7101710171017102,5.876462964222867
96,1.7281728172817283,5.727892860717388
97,1.7461746174617463,5.591720349181585
98,1.7641764176417642,5.458414757470609
99,1.7821782178217822,5.320259732013888
100,1.8001800180018002,5.173467209302483
101,1.8181818181818183,5.018943222517047
102,1.8361836183618363,4.861579976755298
103,1.8541854185418543,4.708401122294755
104,1.8721872187218722,4.566206767997974
105,1.8901890189018902,4.439466263576178
106,1.9081908190819084,4.329076282264592
107,1.9261926192619263,4.232295550645622
108,1.9441944194419443,4.143790234739926
109,1.9621962196219622,4.05739366400566
110,1.9801980198019802,3.967996399201885
111,1.9981998199819984,3.8729838659244162
112,2.016201620162016,3.7728154137964456
113,2.0342034203420343,3.670625705124227
114,2.0522052205220525,3.5710331512692326
115,2.07020702070207,3.47856832978766
116,2.0882088208820884,3.3962243174108293
117,2.106210621062106,3.324562904544348
118,2.1242124212421243,3.261616121536829
119,2.1422142214221425,3.203567782205339
120,2.16021602160216,3.145965055137369
121,2.1782178217821784,3.085064628268466
122,2.196219621962196,3.0189000648877506
123,2.2142214221422143,2.9477641961324825
124,2.2322232223222325,2.873993263924667
125,2.25022502250225,2.801155197077784
126,2.2682268226822684,2.732916982896765
127,2.286228622862286,2.6719464853677115
128,2.3042304230423043,2.619173599003174
129,2.3222322232223225,2.5736098572142705
130,2.34023402340234,2.532747624962524
131,2.3582358235823584,2.4933859599404506
132,2.376237623762376,2.4526118452083643
133,2.3942394239423943,2.4086348936288418
134,2.4122412241224125,2.3612348737743423
135,2.43024302430243,2.3117109515603924
136,2.4482448244824484,2.262376814779942
137,2.466246624662466,2.215779056757224
138,2.4842484248424843,2.173888868262168
139,2.5022502250225025,2.137511002101247
140,2.5202520252025202,2.106075430193441
141,2.5382538253825384,2.0778536437247217
142,2.556255625562556,2.050512504783743
143,2.5742574257425743,2.021822708683881
144,2.5922592259225925,1.990302923138534
145,2.6102610261026102,1.9556118430414295
146,2.6282628262826284,1.9185856260588097
147,2.646264626462646,1.8809290018345792
148,2.6642664266426643,1.844670344295967
149,2.6822682268226825,1.8115543568914065
150,2.7002700270027002,1.78255418015695
151,2.7182718271827184,1.7576385330408002
152,2.736273627362736,1.7358459243667366
153,2.7542754275427543,1.715624121866163
154,2.7722772277227725,1.6953174811615364
155,2.7902790279027903,1.6736487797229993
156,2.8082808280828084,1.6500541038346237
157,2.826282628262826,1.6247825267206522
158,2.8442844284428443,1.5987482757842122
159,2.8622862286228625,1.5731976310383093
160,2.8802880288028803,1.5493036791056114
161,2.8982898289828984,1.527815533092022
162,2.916291629162916,1.508863113598341
163,2.9342934293429344,1.4919643389207309
164,2.9522952295229525,1.4762169052790108
165,2.9702970297029703,1.4606020663611978
166,2.9882988298829884,1.4442989721795567
167,3.006300630063006,1.426912316271583
168,3.0243024302430244,1.408549834408519
169,3.0423042304230425,1.3897372903666476
170,3.0603060306030603,1.3712100903400868
171,3.0783078307830785,1.3536565835741587
172,3.096309630963096,1.3374981971962823
173,3.1143114311431144,1.322774196437972
174,3.1323132313231326,1.3091610859310387
175,3.1503150315031503,1.296111510917309
176,3.1683168316831685,1.2830596552329527
177,3.186318631863186,1.269621216671018
178,3.2043204320432044,1.2557211934917392
179,3.2223222322232226,1.241609227116516
180,3.2403240324032403,1.2277607617151503
181,3.2583258325832585,1.2147000202338598
182,3.276327632763276,1.2028057029008803
183,3.2943294329432944,1.1921648221316243
184,3.3123312331233126,1.1825233395131693
185,3.3303330333033303,1.1733501617244257
186,3.3483348334833485,1.1639941663362188
187,3.366336633663366,1.153884077765041
188,3.3843384338433844,1.1427075069222938
189,3.4023402340234026,1.130512270267259
190,3.4203420342034203,1.1176977392052867
191,3.4383438343834385,1.1048984534076645
192,3.4563456345634567,1.0927956764741806
193,3.4743474347434744,1.0819146302319687
194,3.4923492349234926,1.0724691816252585
195,3.5103510351035103,1.064300811655506
196,3.5283528352835285,1.0569296444569225
197,3.5463546354635467,1.049701244887246
198,3.5643564356435644,1.0419842385424256
199,3.5823582358235826,1.033359143347946
200,3.6003600360036003,1.0237422858911016
201,3.6183618361836185,1.0134089007331812
202,3.6363636363636367,1.0029100651892187
203,3.6543654365436544,0.9929096464014733
204,3.6723672367236726,0.9839905130682415
205,3.6903690369036903,0.9764872358231323
206,3.7083708370837085,0.9703933895859184
207,3.7263726372637267,0.965368532692674
208,3.7443744374437444,0.9608401670535754
209,3.7623762376237626,0.9561684550942207
210,3.7803780378037803,0.9508242154189892
211,3.7983798379837985,0.9445284811142162
212,3.8163816381638167,0.9373148396878661
213,3.8343834383438344,0.9294995677840211
214,3.8523852385238526,0.921571874952892
215,3.8703870387038704,0.9140392683592659
216,3.8883888388838885,0.9072746925954707
217,3.9063906390639067,0.901409725699043
218,3.9243924392439244,0.8963029847226672
219,3.9423942394239426,0.8915899473830972
220,3.9603960396039604,0.8867966355718685
221,3.9783978397839785,0.8814819617639486
222,3.9963996399639967,0.8753668391604388
223,4.014401440144015,0.8684138138591132
224,4.032403240324032,0.8608367431709275
225,4.05040504050405,0.8530408489853933
226,4.0684068406840685,0.8455130580722274
227,4.086408640864087,0.8386953444827546
228,4.104410441044105,0.832876542981071
229,4.122412241224122,0.8281306484778712
230,4.14041404140414,0.824314767259427
231,4.158415841584159,0.8211224152750948
232,4.176417641764177,0.8181729742208375
233,4.194419441944195,0.8151098977610083
234,4.212421242124212,0.8116805353379852
235,4.23042304230423,0.8077784043253473
236,4.248424842484249,0.8034413879239574
237,4.266426642664267,0.7988125256175097
238,4.284428442844285,0.7940798506461705
239,4.302430243024302,0.7894155433126199
240,4.32043204320432,0.7849319841125045
241,4.338433843384339,0.7806646210893576
242,4.356435643564357,0.7765818292319357
243,4.374437443744375,0.7726134284439274
244,4.392439243924392,0.7686848343975369
245,4.41044104410441,0.7647440631389922
246,4.428442844284429,0.7607733914433895
247,4.446444644464447,0.7567843874615565
248,4.464446444644465,0.7528016304862506
249,4.482448244824482,0.7488443875698623
250,4.5004500450045,0.7449155371494753
251,4.518451845184519,0.7410033170943118
252,4.536453645364537,0.7370955573909336
253,4.554455445544555,0.7332002320683849
254,4.572457245724572,0.729362671657198
255,4.59045904590459,0.7256700147101484
256,4.608460846084609,0.7222375096869699
257,4.626462646264627,0.7191778047077911
258,4.644464446444645,0.7165611442017832
259,4.662466246624662,0.7143790055239634
260,4.68046804680468,0.7125243705632464
261,4.698469846984699,0.7107980139375529
262,4.716471647164717,0.7089428560171926
263,4.734473447344735,0.7066997463635089
264,4.752475247524752,0.7038707320000829
265,4.77047704770477,0.7003723381298986
266,4.788478847884789,0.6962629715425964
267,4.806480648064807,0.6917350327207834
268,4.824482448244825,0.687071953999209
269,4.842484248424842,0.6825804031123188
270,4.86048604860486,0.678515332133795
271,4.878487848784879,0.6750181301852166
272,4.896489648964897,0.6720849657107045
273,4.914491449144915,0.6695742740968376
274,4.932493249324932,0.6672515224696473
275,4.9504950495049505,0.6648589464768047
276,4.968496849684969,0.6621909028039344
277,4.986498649864987,0.6591538553961586
278,5.004500450045005,0.655794295988724
279,5.022502250225022,0.6522868777092137
280,5.0405040504050405,0.648886160755235
281,5.058505850585059,0.6458554801512586
282,5.076507650765077,0.6433927074405011
283,5.094509450945095,0.641573371526929
284,5.112511251125112,0.6403266056240271
285,5.1305130513051305,0.6394501804383023
286,5.148514851485149,0.6386601076535499
287,5.166516651665167,0.6376609774360008
288,5.184518451845185,0.6362178769859691
289,5.202520252025202,0.6342107899032131
290,5.2205220522052205,0.6316576316568056
291,5.238523852385239,0.6287009294747994
292,5.256525652565257,0.6255630584103947
293,5.274527452745275,0.6224831548284454
294,5.292529252925292,0.6196531740225204
295,5.3105310531053105,0.617170023239093
296,5.328532853285329,0.6150156518568753
297,5.346534653465347,0.613069000037091
298,5.364536453645365,0.6111450966431211
299,5.382538253825382,0.6090497024489889
300,5.4005400540054005,0.6066344589234665
301,5.418541854185419,0.6038382255752067
302,5.436543654365437,0.6007047019713841
303,5.454545454545455,0.5973731076820539
304,5.472547254725472,0.5940457098249672
305,5.4905490549054905,0.5909414842241126
306,5.508550855085509,0.5882478788906887
307,5.526552655265527,0.5860820906757377
308,5.544554455445545,0.5844699401109501
309,5.562556255625562,0.5833454869606729
310,5.5805580558055805,0.5825694122461397
311,5.598559855985599,0.5819602078394905
312,5.616561656165617,0.5813301932280498
313,5.634563456345635,0.5805185138263953
314,5.652565256525652,0.5794151627731898
315,5.6705670567056705,0.577972916618992
316,5.688568856885689,0.5762069956911698
317,5.706570657065707,0.5741845400140646
318,5.724572457245725,0.5720072692914304
319,5.742574257425742,0.5697909895148154
320,5.7605760576057605,0.5676452182095849
321,5.778577857785779,0.5656555247718406
322,5.796579657965797,0.5638705393094589
323,5.814581458145815,0.562295091366672
324,5.832583258325832,0.5608905060436149
325,5.8505850585058505,0.5595824942146668
326,5.868586858685869,0.5582761363084926
327,5.886588658865887,0.55687615356962
328,5.904590459045905,0.5553092062736952
329,5.922592259225922,0.5535437841874619
330,5.9405940594059405,0.5516028660190642
331,5.958595859585959,0.5495653107005547
332,5.976597659765977,0.5475539939858509
333,5.994599459945995,0.5457117079115152
334,6.012601260126012,0.5441691126258248
