,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.87681,1.0951,3.7805,2.0082,1.7723,480.0,480.0,480.0,0.85589,1.069,3.6344,1.9139,1.7205,540.0,540.0,540.0,0.82728,1.034,3.4755,1.8189,1.6566,600.0,600.0,600.0
1,0.0,0.87681,1.0951,3.7805,2.0082,1.7723,0.3,250.0,9.0575,0.85589,1.069,3.6344,1.9139,1.7205,0.3,250.0,9.0575,0.82728,1.034,3.4755,1.8189,1.6566,0.3,250.0,9.0575
2,0.01,0.81336,1.0199,3.7629,2.0705,1.6924,0.3,250.0,9.0575,0.79694,0.99854,3.6903,2.0313,1.6589,0.3,250.0,9.0575,0.77217,0.96772,3.5794,1.9714,1.608,0.3,250.0,9.0575
3,0.02,0.74246,0.93831,3.3865,1.8511,1.5354,0.3,250.0,9.0575,0.72685,0.91798,3.3157,1.8125,1.5032,0.3,250.0,9.0575,0.70357,0.88898,3.2115,1.7561,1.4554,0.3,250.0,9.0575
4,0.03,0.6865,0.87262,3.1206,1.7034,1.4171,0.3,250.0,9.0575,0.67198,0.85358,3.0538,1.6667,1.3871,0.3,250.0,9.0575,0.65016,0.82634,2.9559,1.6137,1.3422,0.3,250.0,9.0575
5,0.04,0.63666,0.81375,2.8973,1.583,1.3143,0.3,250.0,9.0575,0.62329,0.79605,2.8353,1.5488,1.2866,0.3,250.0,9.0575,0.60286,0.77049,2.7435,1.499,1.2446,0.3,250.0,9.0575
6,0.05,0.59005,0.75875,2.6927,1.4738,1.2189,0.3,250.0,9.0575,0.57781,0.74237,2.6356,1.4422,1.1935,0.3,250.0,9.0575,0.55871,0.7184,2.5497,1.3955,1.1542,0.3,250.0,9.0575
7,0.06,0.54577,0.7067,2.5,1.3714,1.1286,0.3,250.0,9.0575,0.53464,0.69158,2.4476,1.3422,1.1054,0.3,250.0,9.0575,0.51679,0.66911,2.3671,1.2985,1.0686,0.3,250.0,9.0575
8,0.07,0.50348,0.65718,2.3166,1.2742,1.0424,0.3,250.0,9.0575,0.49341,0.64328,2.2688,1.2474,1.0213,0.3,250.0,9.0575,0.47676,0.62224,2.1936,1.2065,0.98704,0.3,250.0,9.0575
9,0.08,0.46297,0.60999,2.1415,1.1817,0.95989,0.3,250.0,9.0575,0.45393,0.59725,2.0981,1.1571,0.94094,0.3,250.0,9.0575,0.43842,0.57757,2.0278,1.1189,0.90896,0.3,250.0,9.0575
10,0.09,0.42409,0.56493,1.974,1.0932,0.88077,0.3,250.0,9.0575,0.41604,0.55331,1.9347,1.0709,0.86384,0.3,250.0,9.0575,0.40161,0.53492,1.8692,1.0352,0.83407,0.3,250.0,9.0575
11,0.1,0.38669,0.52185,1.8133,1.0086,0.80474,0.3,250.0,9.0575,0.37961,0.51131,1.7782,0.98843,0.78977,0.3,250.0,9.0575,0.36621,0.49414,1.7172,0.95507,0.7621,0.3,250.0,9.0575
12,0.11,0.35064,0.48059,1.659,0.92754,0.73151,0.3,250.0,9.0575,0.34451,0.4711,1.6279,0.90941,0.71846,0.3,250.0,9.0575,0.33209,0.45509,1.5711,0.87833,0.6928,0.3,250.0,9.0575
13,0.12,0.31581,0.44101,1.5105,0.8497,0.66085,0.3,250.0,9.0575,0.3106,0.43253,1.4832,0.83357,0.64966,0.3,250.0,9.0575,0.29913,0.41763,1.4306,0.80466,0.62592,0.3,250.0,9.0575
14,0.13,0.28209,0.40297,1.3673,0.77483,0.59249,0.3,250.0,9.0575,0.27779,0.39548,1.3438,0.76065,0.58312,0.3,250.0,9.0575,0.26722,0.38163,1.295,0.7338,0.56122,0.3,250.0,9.0575
15,0.14,0.24935,0.36635,1.2289,0.70267,0.5262,0.3,250.0,9.0575,0.24594,0.3598,1.209,0.69038,0.51863,0.3,250.0,9.0575,0.23623,0.34696,1.164,0.6655,0.49849,0.3,250.0,9.0575
16,0.15,0.21749,0.331,1.0947,0.63297,0.46175,0.3,250.0,9.0575,0.21495,0.32538,1.0785,0.62252,0.45594,0.3,250.0,9.0575,0.20608,0.3135,1.037,0.59953,0.43749,0.3,250.0,9.0575
17,0.16,0.18638,0.2968,0.96437,0.56547,0.3989,0.3,250.0,9.0575,0.18472,0.2921,0.95167,0.55683,0.39484,0.3,250.0,9.0575,0.17664,0.28114,0.91367,0.53565,0.37802,0.3,250.0,9.0575
18,0.17,0.15592,0.26364,0.83733,0.49993,0.3374,0.3,250.0,9.0575,0.15512,0.25984,0.82815,0.49307,0.33508,0.3,250.0,9.0575,0.14781,0.24975,0.79345,0.47362,0.31982,0.3,250.0,9.0575
19,0.18,0.12597,0.23137,0.713,0.43606,0.27694,0.3,250.0,9.0575,0.12604,0.22845,0.70731,0.43096,0.27635,0.3,250.0,9.0575,0.11948,0.21921,0.67579,0.41318,0.26261,0.3,250.0,9.0575
20,0.19,0.096362,0.1998,0.59021,0.37341,0.21681,0.3,250.0,9.0575,0.097294,0.19777,0.58806,0.37008,0.21799,0.3,250.0,9.0575,0.09146,0.18934,0.5596,0.35389,0.2057,0.3,250.0,9.0575
21,0.2,0.063966,0.16563,0.4503,0.30434,0.14596,1.4,650.0,23.55,0.065885,0.1646,0.45252,0.30308,0.14944,1.3,650.0,23.55,0.060805,0.15701,0.42718,0.28853,0.13866,1.4,650.0,23.55
22,0.21,0.059809,0.1554,0.41891,0.283,0.13591,1.4,650.0,1.365,0.061817,0.15485,0.42246,0.28279,0.13967,1.3,650.0,1.365,0.056879,0.14732,0.39747,0.26831,0.12916,1.4,650.0,1.365
23,0.22,0.056101,0.14602,0.39216,0.26487,0.12729,1.4,650.0,1.365,0.058171,0.14588,0.39668,0.26544,0.13124,1.3,650.0,1.365,0.053379,0.13843,0.37216,0.25115,0.12101,1.4,650.0,1.365
24,0.23,0.052682,0.13728,0.36785,0.24842,0.11943,1.4,650.0,1.365,0.054799,0.13751,0.37317,0.24965,0.12352,1.3,650.0,1.365,0.050154,0.13016,0.34916,0.23558,0.11359,1.4,650.0,1.365
25,0.24,0.049504,0.12912,0.34543,0.23327,0.11216,1.4,650.0,1.365,0.051657,0.12966,0.35142,0.23506,0.11636,1.3,650.0,1.365,0.047158,0.12243,0.32796,0.22123,0.10673,1.4,650.0,1.365
26,0.25,0.046537,0.12146,0.3246,0.2192,0.1054,1.4,650.0,1.365,0.048717,0.12229,0.33116,0.22147,0.10969,1.3,650.0,1.365,0.044363,0.11518,0.30827,0.20791,0.10035,1.4,650.0,1.365
27,0.26,0.04376,0.11428,0.30516,0.20607,0.099091,1.4,650.0,1.365,0.045959,0.11535,0.3122,0.20876,0.10344,1.3,650.0,1.365,0.041748,0.10838,0.28989,0.19549,0.094402,1.4,650.0,1.365
28,0.27,0.041155,0.10753,0.28698,0.1938,0.09318,1.4,650.0,1.365,0.043368,0.10882,0.29442,0.19684,0.097583,1.3,650.0,1.365,0.039298,0.10199,0.27271,0.18388,0.088834,1.4,650.0,1.365
29,0.28,0.03871,0.10119,0.26993,0.18229,0.087637,1.4,650.0,1.365,0.040933,0.10266,0.27773,0.18565,0.092078,1.3,650.0,1.365,0.037001,0.095992,0.25661,0.17299,0.083617,1.4,650.0,1.365
30,0.29,0.036412,0.095222,0.25393,0.1715,0.082433,1.4,650.0,1.365,0.03864,0.096863,0.26202,0.17512,0.086901,1.3,650.0,1.365,0.034844,0.090349,0.24151,0.16278,0.078723,1.4,650.0,1.365
31,0.3,0.034252,0.089613,0.2389,0.16136,0.077543,1.4,650.0,1.365,0.036482,0.091396,0.24724,0.16521,0.082029,1.3,650.0,1.365,0.032819,0.085044,0.22733,0.1532,0.07413,1.4,650.0,1.365
32,0.31,0.03222,0.084336,0.22478,0.15183,0.072945,1.4,650.0,1.365,0.03445,0.086241,0.23332,0.15588,0.077442,1.3,650.0,1.365,0.030917,0.080053,0.21401,0.14419,0.069816,1.4,650.0,1.365
33,0.32,0.030308,0.079371,0.2115,0.14287,0.068621,1.4,650.0,1.365,0.032536,0.081381,0.22021,0.14708,0.073123,1.3,650.0,1.365,0.02913,0.075358,0.20149,0.13573,0.065764,1.4,650.0,1.365
34,0.33,0.028508,0.074698,0.199,0.13445,0.064552,1.4,650.0,1.365,0.030734,0.076797,0.20785,0.13879,0.069055,1.3,650.0,1.365,0.027451,0.070942,0.18973,0.12777,0.061958,1.4,650.0,1.365
35,0.34,0.026813,0.070301,0.18725,0.12652,0.060722,1.4,650.0,1.365,0.029036,0.072473,0.19621,0.13098,0.065225,1.3,650.0,1.365,0.025873,0.066786,0.17867,0.12028,0.058381,1.4,650.0,1.365
36,0.35000000000000003,0.025218,0.066162,0.17618,0.11907,0.057117,1.4,650.0,1.365,0.027437,0.068396,0.18523,0.12362,0.061618,1.3,650.0,1.365,0.024392,0.062877,0.16827,0.11325,0.055023,1.4,650.0,1.365
37,0.36,0.023715,0.062266,0.16577,0.11205,0.053722,1.4,650.0,1.365,0.025932,0.064551,0.1749,0.11667,0.058223,1.3,650.0,1.365,0.023,0.059199,0.1585,0.10663,0.051869,1.4,650.0,1.365
38,0.37,0.0223,0.0586,0.15597,0.10544,0.050526,1.4,650.0,1.365,0.024516,0.060925,0.16516,0.11013,0.05503,1.3,650.0,1.365,0.021694,0.055739,0.14931,0.1004,0.04891,1.4,650.0,1.365
39,0.38,0.020966,0.055148,0.14674,0.099228,0.047514,1.4,650.0,1.365,0.023184,0.057506,0.15599,0.10396,0.052031,1.3,650.0,1.365,0.020468,0.052484,0.14069,0.094549,0.046138,1.4,650.0,1.365
40,0.39,0.01971,0.051898,0.13805,0.093375,0.044678,1.4,650.0,1.365,0.021932,0.054283,0.14737,0.098147,0.049223,1.3,650.0,1.365,0.01932,0.049423,0.1326,0.089049,0.043547,1.4,650.0,1.365
41,0.4,0.018525,0.048839,0.12987,0.087866,0.042006,1.4,650.0,1.365,0.020757,0.051253,0.13933,0.092703,0.046627,1.2,650.0,1.365,0.018245,0.046552,0.12506,0.083906,0.041157,1.3,650.0,1.365
42,0.41000000000000003,0.017409,0.045959,0.12217,0.08268,0.039488,1.4,650.0,1.365,0.019605,0.048474,0.1318,0.08773,0.044067,1.2,650.0,1.365,0.017194,0.043921,0.11803,0.079215,0.038812,1.3,650.0,1.365
43,0.42,0.016357,0.043248,0.11491,0.077796,0.037115,1.4,650.0,1.365,0.018508,0.04584,0.1246,0.08298,0.041624,1.2,650.0,1.365,0.016198,0.041434,0.11133,0.074746,0.03658,1.3,650.0,1.365
44,0.43,0.015364,0.040695,0.10808,0.073198,0.034878,1.4,650.0,1.365,0.017467,0.043345,0.11777,0.078471,0.039304,1.2,650.0,1.365,0.015254,0.039085,0.10498,0.070516,0.034465,1.3,650.0,1.365
45,0.44,0.014428,0.038292,0.10164,0.06887,0.032769,1.4,650.0,1.365,0.016479,0.040982,0.1113,0.074195,0.037102,1.2,650.0,1.365,0.014361,0.036867,0.098979,0.066515,0.032464,1.3,650.0,1.365
46,0.45,0.013545,0.036029,0.095573,0.064793,0.03078,1.4,650.0,1.365,0.015541,0.038746,0.10516,0.070144,0.035012,1.2,650.0,1.365,0.013516,0.034772,0.093306,0.062735,0.030571,1.3,650.0,1.365
47,0.46,0.012712,0.033898,0.089858,0.060954,0.028904,1.4,650.0,1.365,0.014651,0.03663,0.099337,0.066307,0.03303,1.2,650.0,1.365,0.012716,0.032795,0.087943,0.059164,0.028779,1.3,650.0,1.365
48,0.47000000000000003,0.011925,0.031891,0.084473,0.057339,0.027135,1.4,650.0,1.365,0.013806,0.034626,0.093822,0.062674,0.031149,1.2,650.0,1.365,0.011959,0.030928,0.082876,0.055791,0.027085,1.3,650.0,1.365
49,0.48,0.011182,0.030001,0.079398,0.053933,0.025465,1.4,650.0,1.365,0.013004,0.032729,0.088597,0.059233,0.029364,1.2,650.0,1.365,0.011242,0.029165,0.078087,0.052606,0.025481,1.3,650.0,1.365
50,0.49,0.010481,0.028222,0.074615,0.050726,0.023888,1.4,650.0,1.365,0.012242,0.030934,0.083644,0.055975,0.02767,1.2,650.0,1.365,0.010563,0.027501,0.073561,0.049597,0.023964,1.3,650.0,1.365
51,0.5,0.0098171,0.026546,0.070105,0.047705,0.0224,1.4,650.0,1.365,0.011517,0.029235,0.078951,0.05289,0.026061,1.2,650.0,1.365,0.0099201,0.02593,0.069283,0.046756,0.022527,1.3,650.0,1.365
52,0.51,0.0091898,0.024967,0.065853,0.044859,0.020994,1.4,650.0,1.365,0.010829,0.027626,0.074502,0.049968,0.024534,1.2,650.0,1.365,0.0093106,0.024446,0.06524,0.044073,0.021167,1.3,650.0,1.365
53,0.52,0.0085962,0.02348,0.061844,0.042178,0.019666,1.4,650.0,1.365,0.010174,0.026102,0.070285,0.047201,0.023084,1.2,650.0,1.365,0.0087326,0.023045,0.061418,0.041538,0.01988,1.3,650.0,1.365
54,0.53,0.0080344,0.022079,0.058063,0.039652,0.018411,1.4,650.0,1.365,0.0095507,0.02466,0.066287,0.044581,0.021706,1.2,650.0,1.365,0.0081843,0.021722,0.057806,0.039145,0.018661,1.3,650.0,1.365
55,0.54,0.0075023,0.020759,0.054496,0.037272,0.017224,1.4,650.0,1.365,0.0089574,0.023294,0.062496,0.0421,0.020397,1.2,650.0,1.365,0.0076641,0.020473,0.054391,0.036884,0.017506,1.3,650.0,1.365
56,0.55,0.0069982,0.019516,0.051133,0.035029,0.016104,1.4,650.0,1.365,0.0083924,0.022001,0.058904,0.03975,0.019154,1.2,650.0,1.365,0.0071702,0.019293,0.051164,0.03475,0.016414,1.3,650.0,1.365
57,0.56,0.0065204,0.018345,0.047963,0.032917,0.015046,1.4,650.0,1.365,0.0078542,0.020776,0.0555,0.037525,0.017975,1.2,650.0,1.365,0.0067013,0.018179,0.048116,0.032734,0.015382,1.3,650.0,1.365
58,0.5700000000000001,0.0060675,0.017241,0.044977,0.030928,0.014049,1.4,650.0,1.365,0.0073415,0.019617,0.052279,0.035419,0.016859,1.2,650.0,1.365,0.0062564,0.017128,0.045241,0.030832,0.014409,1.3,650.0,1.365
59,0.58,0.0056385,0.016203,0.042171,0.029056,0.013115,1.4,650.0,1.365,0.0068536,0.018521,0.049237,0.033429,0.015809,1.2,650.0,1.365,0.0058347,0.016135,0.042538,0.02904,0.013498,1.3,650.0,1.365
