,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
29,0.28,0.08535,0.095891,0.36704,0.043,1000.0,4.24,0.065676,0.075367,0.28557,0.066613,1000.0,4.24,0.04406,0.052474,0.19534,0.11822,1000.0,4.24
30,0.29,0.083584,0.09397,0.35958,0.043,1000.0,4.24,0.064078,0.073581,0.27871,0.066613,1000.0,4.24,0.042707,0.050894,0.18941,0.11822,1000.0,4.24
31,0.3,0.081844,0.092077,0.35222,0.043,1000.0,4.24,0.062509,0.07183,0.27199,0.066613,1000.0,4.24,0.04139,0.049357,0.18364,0.11822,1000.0,4.24
32,0.31,0.080128,0.090213,0.34497,0.043,1000.0,4.24,0.06097,0.070113,0.2654,0.066613,1000.0,4.24,0.040108,0.047862,0.17802,0.11822,1000.0,4.24
33,0.32,0.078437,0.088376,0.33782,0.043,1000.0,4.24,0.059461,0.068429,0.25894,0.066613,1000.0,4.24,0.03886,0.046407,0.17255,0.11822,1000.0,4.24
34,0.33,0.07677,0.086566,0.33078,0.043,1000.0,4.24,0.057979,0.066778,0.25259,0.066613,1000.0,4.24,0.037645,0.044991,0.16722,0.11822,1000.0,4.24
35,0.34,0.075126,0.084782,0.32384,0.043,1000.0,4.24,0.056525,0.065158,0.24637,0.066613,1000.0,4.24,0.036462,0.043614,0.16204,0.11822,1000.0,4.24
36,0.35000000000000003,0.073506,0.083025,0.317,0.043,1000.0,4.24,0.055097,0.063569,0.24026,0.066613,1000.0,4.24,0.035309,0.042273,0.15699,0.11822,1000.0,4.24
37,0.36,0.071908,0.081292,0.31025,0.043,1000.0,4.24,0.053696,0.062011,0.23427,0.066613,1000.0,4.24,0.034186,0.040967,0.15208,0.11822,1000.0,4.24
38,0.37,0.070332,0.079585,0.30361,0.043,1000.0,4.24,0.05232,0.060481,0.22839,0.066613,1000.0,4.24,0.033092,0.039697,0.14729,0.11822,1000.0,4.24
39,0.38,0.068777,0.077902,0.29705,0.043,1000.0,4.24,0.050969,0.05898,0.22261,0.066613,1000.0,4.24,0.032025,0.038459,0.14263,0.11822,1000.0,4.24
40,0.39,0.067243,0.076242,0.29058,0.043,1000.0,4.24,0.049642,0.057508,0.21694,0.066613,1000.0,4.24,0.030986,0.037254,0.13809,0.11822,1000.0,4.24
41,0.4,0.06573,0.074606,0.2842,0.043,1000.0,4.24,0.048338,0.056062,0.21138,0.066613,1000.0,4.24,0.029973,0.036081,0.13367,0.11822,1000.0,4.24
42,0.41000000000000003,0.064237,0.072993,0.27791,0.043,1000.0,4.24,0.047058,0.054643,0.20591,0.066613,1000.0,4.24,0.028985,0.034938,0.12936,0.11822,1000.0,4.24
43,0.42,0.062763,0.071402,0.27171,0.043,1000.0,4.24,0.045799,0.05325,0.20054,0.066613,1000.0,4.24,0.028022,0.033825,0.12515,0.11822,1000.0,4.24
44,0.43,0.061309,0.069832,0.26558,0.043,1000.0,4.24,0.044563,0.051882,0.19527,0.066613,1000.0,4.24,0.027082,0.03274,0.12106,0.11822,1000.0,4.24
45,0.44,0.059873,0.068285,0.25954,0.043,1000.0,4.24,0.043348,0.050539,0.19009,0.066613,1000.0,4.24,0.026165,0.031682,0.11706,0.11822,1000.0,4.24
46,0.45,0.058456,0.066757,0.25358,0.043,1000.0,4.24,0.042153,0.04922,0.185,0.066613,1000.0,4.24,0.02527,0.030652,0.11316,0.11822,1000.0,4.24
47,0.46,0.057056,0.065251,0.24769,0.043,1000.0,4.24,0.040978,0.047923,0.18,0.066613,1000.0,4.24,0.024397,0.029647,0.10936,0.11822,1000.0,4.24
48,0.47000000000000003,0.055674,0.063764,0.24188,0.043,1000.0,4.24,0.039822,0.04665,0.17508,0.066613,1000.0,4.24,0.023544,0.028667,0.10565,0.11822,1000.0,4.24
49,0.48,0.054309,0.062297,0.23615,0.043,1000.0,4.24,0.038685,0.045399,0.17024,0.066613,1000.0,4.24,0.022711,0.027712,0.10204,0.11822,1000.0,4.24
50,0.49,0.052961,0.060848,0.23048,0.043,1000.0,4.24,0.037567,0.044169,0.16549,0.066613,1000.0,4.24,0.021897,0.02678,0.098502,0.11822,1000.0,4.24
51,0.5,0.051628,0.059418,0.22489,0.043,1000.0,4.24,0.036467,0.04296,0.16081,0.066613,1000.0,4.24,0.021102,0.02587,0.095052,0.11822,1000.0,4.24
52,0.51,0.050312,0.058007,0.21936,0.043,1000.0,4.24,0.035383,0.041772,0.15621,0.066613,1000.0,4.24,0.020324,0.024982,0.091681,0.11822,1000.0,4.24
53,0.52,0.04901,0.056613,0.2139,0.043,1000.0,4.24,0.034317,0.040603,0.15169,0.066613,1000.0,4.24,0.019564,0.024116,0.088389,0.11822,1000.0,4.24
54,0.53,0.047724,0.055236,0.20851,0.043,1000.0,4.24,0.033267,0.039454,0.14724,0.066613,1000.0,4.24,0.01882,0.023269,0.085171,0.11822,1000.0,4.24
55,0.54,0.046452,0.053877,0.20318,0.043,1000.0,4.24,0.032232,0.038323,0.14285,0.066613,1000.0,4.24,0.018092,0.022443,0.082025,0.11822,1000.0,4.24
56,0.55,0.045195,0.052533,0.19791,0.043,1000.0,4.24,0.031213,0.037211,0.13854,0.066613,1000.0,4.24,0.017379,0.021635,0.078947,0.11822,1000.0,4.24
57,0.56,0.043951,0.051206,0.19271,0.043,1000.0,4.24,0.030209,0.036116,0.13429,0.066613,1000.0,4.24,0.016681,0.020845,0.075936,0.11822,1000.0,4.24
58,0.5700000000000001,0.04272,0.049894,0.18756,0.043,1000.0,4.24,0.029218,0.035038,0.1301,0.066613,1000.0,4.24,0.015996,0.020073,0.072989,0.11822,1000.0,4.24
59,0.58,0.041503,0.048597,0.18246,0.043,1000.0,4.24,0.028242,0.033976,0.12597,0.066613,1000.0,4.24,0.015325,0.019318,0.070101,0.11822,1000.0,4.24
60,0.59,0.040297,0.047315,0.17742,0.043,1000.0,4.24,0.027278,0.03293,0.12189,0.066613,1000.0,4.24,0.014667,0.018578,0.067266,0.11822,1000.0,4.24
61,0.6,0.039101,0.046044,0.1724,0.043,1000.0,4.24,0.026324,0.031897,0.11784,0.066613,1000.0,4.24,0.014018,0.017852,0.064458,0.11822,1000.0,4.24
62,0.61,0.038495,0.045364,0.16977,0.043,500.0,2.12,0.025846,0.031341,0.11572,0.066613,500.0,2.12,0.013699,0.017457,0.062987,0.11822,500.0,2.12
63,0.62,0.037927,0.044724,0.16732,0.043,500.0,2.12,0.025401,0.030819,0.11376,0.066613,500.0,2.12,0.013404,0.017089,0.061639,0.11822,500.0,2.12
64,0.63,0.037365,0.044091,0.1649,0.043,500.0,2.12,0.024962,0.030306,0.11183,0.066613,500.0,2.12,0.013116,0.016728,0.060324,0.11822,500.0,2.12
65,0.64,0.03681,0.043465,0.1625,0.043,500.0,2.12,0.024529,0.029799,0.10993,0.066613,500.0,2.12,0.012833,0.016375,0.059037,0.11822,500.0,2.12
66,0.65,0.03626,0.042846,0.16013,0.043,500.0,2.12,0.024103,0.0293,0.10805,0.066613,500.0,2.12,0.012556,0.016029,0.057776,0.11822,500.0,2.12
67,0.66,0.035716,0.042234,0.15779,0.043,500.0,2.12,0.023682,0.028808,0.1062,0.066613,500.0,2.12,0.012285,0.01569,0.056542,0.11822,500.0,2.12
68,0.67,0.035177,0.041628,0.15548,0.043,500.0,2.12,0.023267,0.028323,0.10438,0.066613,500.0,2.12,0.012018,0.015358,0.055331,0.11822,500.0,2.12
