,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
22,0.21,0.012353,0.018991,0.06236,0.036221,0.026138,0.12,148.0,0.95016,0.01005,0.015922,0.051609,0.030266,0.021343,0.15,148.0,0.95016,0.0071129,0.012284,0.038443,0.023153,0.015289,0.22,148.0,0.95016
23,0.22,0.012139,0.018702,0.061354,0.035661,0.025694,0.12,148.0,0.95016,0.0098643,0.01566,0.050713,0.029758,0.020955,0.15,148.0,0.95016,0.0069551,0.012042,0.037641,0.022685,0.014955,0.22,148.0,0.95016
24,0.23,0.011927,0.018417,0.060362,0.035108,0.025254,0.12,148.0,0.95016,0.0096816,0.015402,0.049832,0.029259,0.020574,0.15,148.0,0.95016,0.0068001,0.011805,0.036857,0.022229,0.014628,0.22,148.0,0.95016
25,0.24,0.011718,0.018136,0.059383,0.034563,0.02482,0.12,148.0,0.95016,0.0095013,0.015147,0.048965,0.028768,0.020197,0.15,148.0,0.95016,0.0066476,0.011573,0.036088,0.021782,0.014306,0.22,148.0,0.95016
26,0.25,0.011511,0.017858,0.058415,0.034025,0.02439,0.12,148.0,0.95016,0.0093233,0.014896,0.04811,0.028284,0.019826,0.15,148.0,0.95016,0.0064976,0.011344,0.035334,0.021345,0.01399,0.22,148.0,0.95016
27,0.26,0.011306,0.017583,0.057459,0.033494,0.023966,0.12,148.0,0.95016,0.0091475,0.014649,0.047268,0.027808,0.01946,0.15,148.0,0.95016,0.0063499,0.011119,0.034593,0.020915,0.013678,0.22,148.0,0.95016
28,0.27,0.011103,0.017312,0.056514,0.032969,0.023545,0.12,148.0,0.95016,0.0089739,0.014405,0.046437,0.027339,0.019098,0.15,148.0,0.95016,0.0062045,0.010899,0.033866,0.020493,0.013372,0.22,148.0,0.95016
29,0.28,0.010902,0.017044,0.05558,0.03245,0.023129,0.12,148.0,0.95016,0.0088023,0.014165,0.045616,0.026876,0.01874,0.15,148.0,0.95016,0.0060612,0.010682,0.03315,0.020079,0.013071,0.22,148.0,0.95016
30,0.29,0.010703,0.016779,0.054656,0.031938,0.022718,0.12,148.0,0.95016,0.0086328,0.013927,0.044807,0.02642,0.018387,0.15,148.0,0.95016,0.00592,0.010468,0.032446,0.019672,0.012774,0.22,148.0,0.95016
31,0.3,0.010506,0.016517,0.053741,0.031431,0.02231,0.12,148.0,0.95016,0.0084653,0.013693,0.044008,0.02597,0.018038,0.15,148.0,0.95016,0.0057808,0.010258,0.031753,0.019272,0.012481,0.22,148.0,0.95016
32,0.31,0.010311,0.016258,0.052837,0.030931,0.021906,0.12,148.0,0.95016,0.0082997,0.013462,0.043219,0.025525,0.017693,0.15,148.0,0.95016,0.0056435,0.010052,0.03107,0.018879,0.012192,0.22,148.0,0.95016
33,0.32,0.010118,0.016002,0.051942,0.030436,0.021506,0.12,148.0,0.95016,0.008136,0.013234,0.04244,0.025087,0.017353,0.15,148.0,0.95016,0.0055082,0.0098491,0.030398,0.018491,0.011907,0.22,148.0,0.95016
34,0.33,0.0099262,0.015749,0.051056,0.029946,0.02111,0.12,148.0,0.95016,0.0079742,0.013009,0.04167,0.024655,0.017016,0.15,148.0,0.95016,0.0053746,0.0096494,0.029736,0.018111,0.011626,0.22,148.0,0.95016
35,0.34,0.0097365,0.015498,0.050179,0.029462,0.020717,0.12,148.0,0.95016,0.0078141,0.012787,0.04091,0.024228,0.016682,0.15,148.0,0.95016,0.0052428,0.0094529,0.029084,0.017736,0.011348,0.22,148.0,0.95016
36,0.35000000000000003,0.0095486,0.01525,0.049311,0.028983,0.020328,0.12,148.0,0.95016,0.0076557,0.012568,0.040159,0.023806,0.016352,0.15,148.0,0.95016,0.0051127,0.0092595,0.02844,0.017367,0.011073,0.22,148.0,0.95016
37,0.36,0.0093623,0.015005,0.04845,0.028509,0.019941,0.12,148.0,0.95016,0.007499,0.012352,0.039415,0.02339,0.016025,0.15,148.0,0.95016,0.0049841,0.0090691,0.027804,0.017003,0.010801,0.22,148.0,0.95016
38,0.37,0.0091775,0.014763,0.047597,0.02804,0.019557,0.12,148.0,0.95016,0.0073439,0.012138,0.03868,0.022979,0.015701,0.15,148.0,0.95016,0.004857,0.0088815,0.027176,0.016644,0.010531,0.22,148.0,0.95016
39,0.38,0.0089942,0.014523,0.04675,0.027575,0.019175,0.12,148.0,0.95016,0.0071903,0.011927,0.037952,0.022572,0.01538,0.15,148.0,0.95016,0.0047312,0.0086966,0.026553,0.016291,0.010263,0.22,148.0,0.95016
40,0.39,0.0088121,0.014286,0.045908,0.027114,0.018794,0.12,148.0,0.95016,0.0070382,0.011718,0.037229,0.02217,0.015059,0.15,148.0,0.95016,0.0046066,0.0085142,0.025934,0.01594,0.0099933,0.22,148.0,0.95016
41,0.4,0.0086339,0.014053,0.045072,0.026658,0.018413,0.12,107.0,0.68694,0.0068894,0.011514,0.036515,0.021774,0.014741,0.14,107.0,0.68694,0.0044846,0.0083354,0.025312,0.015593,0.0097192,0.25,107.0,0.68694
42,0.41000000000000003,0.0085102,0.013875,0.04446,0.026308,0.018152,0.12,107.0,0.68694,0.0067859,0.01136,0.035994,0.021472,0.014522,0.14,107.0,0.68694,0.0044049,0.0081929,0.024853,0.01531,0.0095438,0.25,107.0,0.68694
43,0.42,0.0083881,0.0137,0.043863,0.025967,0.017896,0.12,107.0,0.68694,0.0066838,0.011208,0.035484,0.021177,0.014307,0.14,107.0,0.68694,0.0043271,0.0080535,0.024414,0.01504,0.0093744,0.25,107.0,0.68694
44,0.43,0.0082673,0.013527,0.043275,0.025631,0.017643,0.12,107.0,0.68694,0.0065829,0.011058,0.034982,0.020888,0.014095,0.14,107.0,0.68694,0.0042508,0.0079168,0.023987,0.014778,0.0092091,0.25,107.0,0.68694
45,0.44,0.0081478,0.013356,0.042694,0.025301,0.017393,0.12,107.0,0.68694,0.0064832,0.010909,0.034488,0.020602,0.013885,0.14,107.0,0.68694,0.004176,0.0077825,0.02357,0.014522,0.0090473,0.25,107.0,0.68694
46,0.45,0.0080295,0.013187,0.04212,0.024974,0.017146,0.12,107.0,0.68694,0.0063845,0.010763,0.033999,0.020321,0.013678,0.14,107.0,0.68694,0.0041026,0.0076507,0.023161,0.014272,0.0088888,0.25,107.0,0.68694
47,0.46,0.0079124,0.013019,0.041553,0.024652,0.016901,0.12,107.0,0.68694,0.0062869,0.010618,0.033517,0.020044,0.013473,0.14,107.0,0.68694,0.0040305,0.0075212,0.022761,0.014027,0.0087333,0.25,107.0,0.68694
48,0.47000000000000003,0.0077963,0.012854,0.040993,0.024333,0.016659,0.12,107.0,0.68694,0.0061904,0.010475,0.03304,0.019769,0.013271,0.14,107.0,0.68694,0.0039596,0.0073939,0.022368,0.013787,0.0085807,0.25,107.0,0.68694
