,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
18,0.17,0.049066,0.063588,0.22516,0.12354,0.10162,0.06,170.0,6.4243,4.6342,0.042507,0.056158,0.19716,0.10888,0.08828,0.0775,170.0,6.4243,4.9595,0.032221,0.045076,0.15435,0.086876,0.067476,0.145,170.0,6.4243,5.9195,0.85
19,0.18,0.04627,0.060661,0.21371,0.11772,0.095991,0.06,170.0,6.4243,4.8146,0.039892,0.053394,0.1864,0.1034,0.083009,0.0775,170.0,6.4243,5.1571,0.029799,0.042437,0.14423,0.081657,0.062575,0.145,170.0,6.4243,6.1772,0.85
20,0.19,0.043493,0.057759,0.20232,0.11194,0.090382,0.06,170.0,6.4243,5.0177,0.037298,0.05066,0.17572,0.097958,0.077762,0.0775,170.0,6.4243,5.3873,0.027406,0.039842,0.13423,0.076516,0.057712,0.145,170.0,6.4243,6.485,0.85
21,0.2,0.040459,0.054602,0.18969,0.10562,0.084069,0.06,480.0,18.139,1.305,0.034467,0.047691,0.16387,0.092018,0.071849,0.0775,480.0,18.139,1.4272,0.024799,0.03704,0.12313,0.070922,0.052208,0.145,480.0,18.139,1.8528,0.99
22,0.21,0.039894,0.053925,0.18724,0.10432,0.08292,0.06,480.0,1.008,1.2474,0.033946,0.047044,0.16155,0.090768,0.070782,0.0775,480.0,1.008,1.3617,0.024337,0.036401,0.12091,0.06967,0.051238,0.145,480.0,1.008,1.7261,0.99
23,0.22,0.039336,0.053255,0.18479,0.10301,0.08178,0.06,480.0,1.008,1.2518,0.033434,0.046407,0.15925,0.089519,0.069729,0.0775,480.0,1.008,1.3658,0.023888,0.035778,0.11875,0.06845,0.050299,0.145,480.0,1.008,1.7251,0.99
24,0.23,0.038783,0.052591,0.18235,0.1017,0.080648,0.06,480.0,1.008,1.2573,0.032926,0.045777,0.15697,0.088284,0.068686,0.0775,480.0,1.008,1.371,0.023446,0.035166,0.11663,0.067257,0.049376,0.145,480.0,1.008,1.7273,0.99
25,0.24,0.038233,0.051933,0.17994,0.10041,0.079525,0.06,480.0,1.008,1.2597,0.032423,0.045154,0.15472,0.087063,0.067653,0.0775,480.0,1.008,1.3734,0.023011,0.034563,0.11456,0.066087,0.048469,0.145,480.0,1.008,1.7277,0.99
26,0.25,0.037688,0.051281,0.17754,0.099132,0.078412,0.06,480.0,1.008,1.2678,0.031925,0.044536,0.15249,0.085856,0.066631,0.0775,480.0,1.008,1.3793,0.022582,0.03397,0.11251,0.064937,0.047577,0.145,480.0,1.008,1.7335,0.99
27,0.26,0.037147,0.050635,0.17517,0.097864,0.077307,0.06,480.0,1.008,1.2727,0.031431,0.043926,0.15028,0.084662,0.065618,0.0775,480.0,1.008,1.3846,0.02216,0.033386,0.11051,0.063808,0.046698,0.145,480.0,1.008,1.7356,0.99
28,0.27,0.03661,0.049993,0.17282,0.096608,0.07621,0.06,480.0,1.008,1.2771,0.030942,0.043321,0.1481,0.083481,0.064615,0.0775,480.0,1.008,1.39,0.021744,0.032811,0.10853,0.062697,0.045831,0.145,480.0,1.008,1.7384,0.99
29,0.28,0.036077,0.049357,0.17048,0.095362,0.075122,0.06,480.0,1.008,1.2851,0.030457,0.042722,0.14593,0.082312,0.063621,0.0775,480.0,1.008,1.396,0.021333,0.032245,0.10658,0.061603,0.044978,0.145,480.0,1.008,1.7442,0.99
30,0.29,0.035548,0.048727,0.16817,0.094126,0.074042,0.06,480.0,1.008,1.2892,0.029977,0.042129,0.14379,0.081155,0.062636,0.0775,480.0,1.008,1.4006,0.020928,0.031687,0.10466,0.060526,0.044136,0.145,480.0,1.008,1.7475,0.99
31,0.3,0.035023,0.048101,0.16587,0.092901,0.07297,0.06,480.0,1.008,1.2955,0.0295,0.041542,0.14167,0.08001,0.06166,0.0775,480.0,1.008,1.4053,0.020529,0.031138,0.10277,0.059466,0.043306,0.145,480.0,1.008,1.7546,0.99
32,0.31,0.034501,0.047481,0.16359,0.091685,0.071905,0.06,480.0,1.008,1.3045,0.029028,0.040961,0.13957,0.078875,0.060692,0.0775,480.0,1.008,1.4116,0.020135,0.030596,0.10091,0.058422,0.042488,0.145,480.0,1.008,1.76,0.99
33,0.32,0.033983,0.046865,0.16133,0.09048,0.070849,0.06,480.0,1.008,1.3056,0.02856,0.040385,0.13748,0.077752,0.059733,0.0775,480.0,1.008,1.417,0.019746,0.030062,0.099074,0.057393,0.041681,0.145,480.0,1.008,1.7655,0.99
34,0.33,0.033469,0.046255,0.15908,0.089284,0.0698,0.06,480.0,1.008,1.3143,0.028095,0.039815,0.13542,0.076639,0.058782,0.0775,480.0,1.008,1.4245,0.019362,0.029536,0.097264,0.056379,0.040884,0.145,480.0,1.008,1.7681,0.99
35,0.34,0.032958,0.045649,0.15686,0.088098,0.068758,0.06,480.0,1.008,1.3224,0.027635,0.03925,0.13338,0.075537,0.057838,0.0775,480.0,1.008,1.4302,0.018984,0.029018,0.095479,0.05538,0.040098,0.145,480.0,1.008,1.7759,0.99
36,0.35,0.032451,0.045049,0.15464,0.086921,0.067723,0.06,480.0,1.008,1.3279,0.027178,0.038691,0.13135,0.074446,0.056903,0.0775,480.0,1.008,1.4388,0.01861,0.028507,0.093718,0.054396,0.039323,0.145,480.0,1.008,1.7799,0.99
37,0.36,0.031947,0.044453,0.15245,0.085753,0.066696,0.06,480.0,1.008,1.3379,0.026725,0.038137,0.12934,0.073364,0.055976,0.0775,480.0,1.008,1.4492,0.018241,0.028004,0.091983,0.053425,0.038557,0.145,480.0,1.008,1.7847,0.99
38,0.37,0.031446,0.043861,0.15027,0.084594,0.065675,0.06,480.0,1.008,1.3432,0.026275,0.037588,0.12735,0.072293,0.055056,0.0775,480.0,1.008,1.454,0.017877,0.027507,0.09027,0.052468,0.037802,0.145,480.0,1.008,1.7926,0.99
39,0.38,0.030949,0.043275,0.14811,0.083444,0.064662,0.06,480.0,1.008,1.351,0.025829,0.037044,0.12538,0.071231,0.054144,0.0775,480.0,1.008,1.4629,0.017517,0.027018,0.088581,0.051525,0.037056,0.145,480.0,1.008,1.7975,0.99
40,0.39,0.030455,0.042692,0.14596,0.082303,0.063655,0.06,480.0,1.008,1.3584,0.025387,0.036506,0.12342,0.07018,0.053239,0.0775,480.0,1.008,1.4686,0.017162,0.026536,0.086915,0.050595,0.03632,0.145,480.0,1.008,1.8051,0.99
41,0.4,0.029964,0.042115,0.14383,0.081171,0.062655,0.06,480.0,1.008,1.3695,0.024948,0.035972,0.12148,0.069137,0.052341,0.0775,480.0,1.008,1.4781,0.016811,0.02606,0.085271,0.049678,0.035593,0.145,480.0,1.008,1.8134,0.99
42,0.41,0.029476,0.041541,0.14171,0.080047,0.061662,0.06,480.0,1.008,1.3748,0.024512,0.035443,0.11956,0.068105,0.051451,0.0775,480.0,1.008,1.4867,0.016465,0.025591,0.083649,0.048774,0.034876,0.145,480.0,1.008,1.8215,0.99
43,0.42,0.028991,0.040972,0.13961,0.078931,0.060675,0.06,480.0,1.008,1.3868,0.02408,0.034919,0.11765,0.067081,0.050567,0.0775,480.0,1.008,1.4935,0.016122,0.025129,0.082049,0.047882,0.034167,0.145,480.0,1.008,1.8259,0.99
44,0.43,0.02851,0.040408,0.13752,0.077824,0.059694,0.06,480.0,1.008,1.394,0.023651,0.034399,0.11576,0.066067,0.049691,0.0775,480.0,1.008,1.5033,0.015784,0.024673,0.08047,0.047003,0.033467,0.145,480.0,1.008,1.8346,0.99
45,0.44,0.028031,0.039847,0.13545,0.076725,0.05872,0.06,480.0,1.008,1.3999,0.023225,0.033885,0.11388,0.065061,0.048821,0.0775,480.0,1.008,1.5145,0.01545,0.024223,0.078911,0.046135,0.032775,0.145,480.0,1.008,1.8444,0.99
46,0.45,0.027555,0.039291,0.13339,0.075634,0.057752,0.06,480.0,1.008,1.4103,0.022803,0.033375,0.11202,0.064065,0.047958,0.0775,480.0,1.008,1.5227,0.01512,0.02378,0.077372,0.04528,0.032092,0.145,480.0,1.008,1.8537,0.99
47,0.46,0.027083,0.038739,0.13134,0.074551,0.05679,0.06,480.0,1.008,1.4182,0.022383,0.032869,0.11018,0.063077,0.047101,0.0775,480.0,1.008,1.533,0.014794,0.023343,0.075853,0.044436,0.031417,0.145,480.0,1.008,1.8622,0.99
48,0.47,0.026613,0.038191,0.12931,0.073476,0.055833,0.06,480.0,1.008,1.4296,0.021967,0.032368,0.10835,0.062097,0.04625,0.0775,480.0,1.008,1.5415,0.014471,0.022911,0.074354,0.043603,0.030751,0.145,480.0,1.008,1.8728,0.99
49,0.48,0.026146,0.037647,0.12729,0.072409,0.054883,0.06,480.0,1.008,1.4381,0.021553,0.031871,0.10653,0.061126,0.045406,0.0775,480.0,1.008,1.551,0.014152,0.022486,0.072874,0.042782,0.030092,0.145,480.0,1.008,1.8766,0.99
50,0.49,0.025681,0.037107,0.12529,0.071348,0.053939,0.06,480.0,1.008,1.4516,0.021143,0.031379,0.10473,0.060164,0.044568,0.0775,480.0,1.008,1.5643,0.013837,0.022066,0.071412,0.041972,0.02944,0.145,480.0,1.008,1.888,0.99
51,0.5,0.025219,0.03657,0.1233,0.070296,0.053,0.06,480.0,1.008,1.46,0.020735,0.030891,0.10295,0.059209,0.043736,0.0775,480.0,1.008,1.5726,0.013526,0.021652,0.069969,0.041172,0.028797,0.145,480.0,1.008,1.9014,0.99
52,0.51,0.02476,0.036038,0.12132,0.069251,0.052066,0.06,480.0,1.008,1.4729,0.02033,0.030407,0.10117,0.058263,0.042911,0.0775,480.0,1.008,1.5869,0.013217,0.021243,0.068543,0.040383,0.02816,0.145,480.0,1.008,1.9113,0.99
53,0.52,0.024304,0.035509,0.11935,0.068213,0.051138,0.06,480.0,1.008,1.4843,0.019928,0.029927,0.099415,0.057324,0.04209,0.0775,480.0,1.008,1.5972,0.012913,0.02084,0.067135,0.039604,0.027531,0.145,480.0,1.008,1.9217,0.99
54,0.53,0.02385,0.034984,0.1174,0.067182,0.050216,0.06,480.0,1.008,1.4945,0.019529,0.029451,0.09767,0.056394,0.041276,0.0775,480.0,1.008,1.6094,0.012611,0.020443,0.065744,0.038835,0.026909,0.145,480.0,1.008,1.9351,0.99
55,0.54,0.023398,0.034463,0.11546,0.066159,0.049299,0.06,480.0,1.008,1.5092,0.019132,0.028979,0.095938,0.055471,0.040467,0.0775,480.0,1.008,1.6219,0.012313,0.02005,0.06437,0.038076,0.026294,0.145,480.0,1.008,1.9444,0.99
