,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.09945,0.11663,0.4091,480.0,480.0,480.0,0.089155,0.10758,0.37257,540.0,540.0,540.0,0.077864,0.098604,0.33435,600.0,600.0,600.0
1,0.0,0.19874,0.21584,0.86667,0.043,2018.2,8.5571,0.17807,0.19642,0.78076,0.066613,2018.2,8.5571,0.15536,0.17603,0.68769,0.11822,2018.2,8.5571
2,0.01,0.19213,0.20888,0.81072,0.043,2018.2,8.5571,0.17147,0.18933,0.72916,0.066613,2018.2,8.5571,0.14861,0.16852,0.64043,0.11822,2018.2,8.5571
3,0.02,0.18669,0.2031,0.78931,0.043,2018.2,8.5571,0.16573,0.18312,0.7063,0.066613,2018.2,8.5571,0.14233,0.1615,0.61493,0.11822,2018.2,8.5571
4,0.03,0.18112,0.1972,0.76631,0.043,2018.2,8.5571,0.15991,0.17683,0.68199,0.066613,2018.2,8.5571,0.13603,0.15449,0.58823,0.11822,2018.2,8.5571
5,0.04,0.17564,0.19139,0.74346,0.043,2018.2,8.5571,0.1542,0.17068,0.658,0.066613,2018.2,8.5571,0.12993,0.14772,0.56218,0.11822,2018.2,8.5571
6,0.05,0.17025,0.1857,0.72101,0.043,2018.2,8.5571,0.14863,0.16469,0.63459,0.066613,2018.2,8.5571,0.12404,0.14118,0.53704,0.11822,2018.2,8.5571
7,0.06,0.16496,0.18011,0.69899,0.043,2018.2,8.5571,0.14321,0.15885,0.61177,0.066613,2018.2,8.5571,0.11837,0.13489,0.51279,0.11822,2018.2,8.5571
8,0.07,0.15978,0.17464,0.6774,0.043,2018.2,8.5571,0.13792,0.15316,0.58954,0.066613,2018.2,8.5571,0.11289,0.12882,0.48942,0.11822,2018.2,8.5571
9,0.08,0.1547,0.16927,0.65623,0.043,2018.2,8.5571,0.13276,0.14762,0.56787,0.066613,2018.2,8.5571,0.1076,0.12297,0.46687,0.11822,2018.2,8.5571
10,0.09,0.14971,0.164,0.63545,0.043,2018.2,8.5571,0.12773,0.14222,0.54674,0.066613,2018.2,8.5571,0.1025,0.11733,0.44512,0.11822,2018.2,8.5571
11,0.1,0.14481,0.15884,0.61506,0.043,2018.2,8.5571,0.12281,0.13695,0.52613,0.066613,2018.2,8.5571,0.097567,0.11189,0.42412,0.11822,2018.2,8.5571
