Unnamed: 0,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
28,0.27,0.004164912496640842,0.016001800634402447,0.037638321303206976,0.027900121275638068,0.0097382000275689,0.15,70.0,0.147,0.003209641019051099,0.013328715195135038,0.030936376351943486,0.02333205630006312,0.007604320051880371,0.18,70.0,0.147,0.0019725152075071336,0.010640824454578193,0.02292770734350764,0.018129508270460035,0.004798199073047606,0.25,70.0,0.147,0.99
29,0.28,0.004048157661283793,0.015860607374903052,0.037197947326216486,0.02773377240297687,0.009464174923239612,0.15,70.0,0.147,0.0032406197074406617,0.013210146668959045,0.030881782910222453,0.02320080507074209,0.007680977839480363,0.18,70.0,0.147,0.002087668908357584,0.010389567293565412,0.022726212759930194,0.017782822000736012,0.004943390759194174,0.25,70.0,0.147,0.99
30,0.29,0.0038876030236046936,0.016229369814284522,0.037401953530985764,0.028181652884203365,0.009220300646782394,0.15,70.0,0.147,0.00325087366281111,0.013216464628925104,0.030891372168679085,0.023182351129840132,0.007709021038838951,0.18,70.0,0.147,0.0021041377234255216,0.010438325043804698,0.022834054190265057,0.017807723928092246,0.0050263302621728154,0.25,70.0,0.147,0.99
31,0.3,0.0041226608659224164,0.015572259630370646,0.03664598950398426,0.027098897779912888,0.009547091724071368,0.15,70.0,0.147,0.0031971046069401423,0.012898215774184344,0.030175334186521227,0.022590223695583403,0.0075851104909378285,0.18,70.0,0.147,0.001943303047651501,0.010424638810623001,0.02233001413561321,0.01770595802113883,0.004624056114474374,0.25,70.0,0.147,0.99
32,0.31,0.003879226033513613,0.015752828567613064,0.036630370947140854,0.0275424437475788,0.00908792719956205,0.15,70.0,0.147,0.003136169915892416,0.012968231941256968,0.030086974790879628,0.02262608227646969,0.007460892514409936,0.18,70.0,0.147,0.002040145497653814,0.010118526131822026,0.02204818557242008,0.01717955719285431,0.004868628379565772,0.25,70.0,0.147,0.99
33,0.32,0.003701811603439278,0.01571430975798353,0.03599326852233475,0.027251469537159564,0.008741798985175176,0.15,70.0,0.147,0.0029780709936639157,0.013005791232920175,0.02981787665477706,0.0226663762641143,0.007151500390662762,0.18,70.0,0.147,0.0019458810521064945,0.010170405106592064,0.021908545099166923,0.017281697511772755,0.004626847587394167,0.25,70.0,0.147,0.99
34,0.33,0.003916645929902464,0.015464609353936454,0.03601805062811383,0.02680682280152214,0.009211227826591685,0.15,70.0,0.147,0.003170798870773389,0.012614987473611426,0.029445026718779778,0.022034558542685958,0.007410468176093818,0.18,70.0,0.147,0.0018960462153401647,0.01005209306451291,0.021601307632138207,0.017073765358206774,0.004527542273931433,0.25,70.0,0.147,0.99
35,0.34,0.0037797440414967503,0.015430788564205239,0.0356528999798506,0.026856327652403877,0.008796572327446718,0.15,70.0,0.147,0.0031539342187939415,0.012467221190941414,0.029179585457340444,0.021807280180888025,0.007372305276452423,0.18,70.0,0.147,0.001963409377126233,0.009838240415176369,0.021285954080577204,0.01662379877133549,0.004662155309241711,0.25,70.0,0.147,0.99
36,0.35,0.0038388834712908726,0.015115199616321523,0.03516060640415648,0.026155973793209407,0.00900463261094709,0.15,70.0,0.147,0.002821854611301679,0.012619087524972511,0.02864727481691773,0.02191231526573056,0.006734959551187169,0.18,70.0,0.147,0.00178635197992466,0.009894197982480092,0.020985587498526113,0.016678217187044885,0.0043073703114812276,0.25,70.0,0.147,0.99
37,0.36,0.0039316144093053005,0.014875426322910269,0.03501607639469997,0.025846374277906644,0.009169702116793329,0.15,70.0,0.147,0.003006545048375709,0.012430736008779657,0.028777332723856987,0.021614993007553186,0.007162339716303801,0.18,70.0,0.147,0.0017821174211701957,0.00976601405942141,0.02076582367992572,0.01649806182276128,0.0042677618571644385,0.25,70.0,0.147,0.99
