,depths,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0
62,0.61,0.061628,0.082655,0.28759,0.15981,0.12778,0.065,350.0,0.735
63,0.62,0.061049,0.081891,0.28491,0.15833,0.12658,0.065,350.0,0.735
64,0.63,0.060475,0.081133,0.28225,0.15686,0.12539,0.065,350.0,0.735
65,0.64,0.059906,0.080382,0.27962,0.15541,0.12421,0.065,350.0,0.735
66,0.65,0.059343,0.079637,0.27701,0.15397,0.12305,0.065,350.0,0.735
67,0.66,0.058784,0.078899,0.27443,0.15254,0.12189,0.065,350.0,0.735
68,0.67,0.05823,0.078168,0.27187,0.15112,0.12075,0.065,350.0,0.735
69,0.68,0.057681,0.077443,0.26933,0.14972,0.11961,0.065,350.0,0.735
70,0.6900000000000001,0.057137,0.076725,0.26681,0.14833,0.11848,0.065,350.0,0.735
71,0.7000000000000001,0.056597,0.076013,0.26432,0.14695,0.11737,0.065,350.0,0.735
72,0.71,0.056062,0.075307,0.26184,0.14558,0.11626,0.065,350.0,0.735
73,0.72,0.055532,0.074607,0.25939,0.14423,0.11516,0.065,350.0,0.735
74,0.73,0.055006,0.073914,0.25696,0.14288,0.11408,0.065,350.0,0.735
75,0.74,0.054485,0.073227,0.25455,0.14155,0.113,0.065,350.0,0.735
76,0.75,0.053968,0.072545,0.25216,0.14023,0.11193,0.065,350.0,0.735
77,0.76,0.053456,0.07187,0.24979,0.13892,0.11087,0.065,350.0,0.735
78,0.77,0.052948,0.071201,0.24744,0.13763,0.10981,0.065,350.0,0.735
79,0.78,0.052445,0.070537,0.24511,0.13634,0.10877,0.065,350.0,0.735
80,0.79,0.051945,0.069879,0.2428,0.13507,0.10773,0.065,350.0,0.735
81,0.8,0.051457,0.069235,0.24053,0.13382,0.10672,0.05,250.0,0.525
82,0.81,0.051109,0.068768,0.2389,0.13291,0.10599,0.05,250.0,0.525
83,0.8200000000000001,0.050764,0.068304,0.23728,0.13201,0.10528,0.05,250.0,0.525
84,0.8300000000000001,0.050422,0.067843,0.23568,0.13112,0.10457,0.05,250.0,0.525
85,0.84,0.050082,0.067386,0.23409,0.13023,0.10386,0.05,250.0,0.525
86,0.85,0.049744,0.066932,0.23251,0.12935,0.10316,0.05,250.0,0.525
87,0.86,0.049409,0.066481,0.23094,0.12848,0.10246,0.05,250.0,0.525
88,0.87,0.049075,0.066032,0.22938,0.12761,0.10177,0.05,250.0,0.525
89,0.88,0.048745,0.065587,0.22783,0.12675,0.10109,0.05,250.0,0.525
90,0.89,0.048416,0.065145,0.2263,0.12589,0.1004,0.05,250.0,0.525
91,0.9,0.04809,0.064706,0.22477,0.12504,0.099728,0.05,250.0,0.525
92,0.91,0.047766,0.06427,0.22326,0.1242,0.099055,0.05,250.0,0.525
93,0.92,0.047444,0.063837,0.22175,0.12336,0.098388,0.05,250.0,0.525
94,0.93,0.047124,0.063407,0.22026,0.12253,0.097725,0.05,250.0,0.525
95,0.9400000000000001,0.046806,0.06298,0.21877,0.12171,0.097066,0.05,250.0,0.525
96,0.9500000000000001,0.046491,0.062555,0.2173,0.12089,0.096412,0.05,250.0,0.525
97,0.96,0.046178,0.062134,0.21583,0.12007,0.095762,0.05,250.0,0.525
98,0.97,0.045867,0.061715,0.21438,0.11926,0.095117,0.05,250.0,0.525
99,0.98,0.045558,0.061299,0.21293,0.11846,0.094476,0.05,250.0,0.525
100,0.99,0.045251,0.060886,0.2115,0.11766,0.09384,0.05,250.0,0.525
101,1.0,0.044946,0.060476,0.21007,0.11687,0.093207,0.05,250.0,0.525
102,1.01,0.044643,0.060069,0.20866,0.11608,0.092579,0.05,250.0,0.525
103,1.02,0.044342,0.059664,0.20725,0.1153,0.091955,0.05,250.0,0.525
104,1.03,0.044043,0.059262,0.20586,0.11452,0.091336,0.05,250.0,0.525
105,1.04,0.043747,0.058863,0.20447,0.11375,0.09072,0.05,250.0,0.525
106,1.05,0.043452,0.058466,0.20309,0.11298,0.090109,0.05,250.0,0.525
107,1.06,0.043159,0.058072,0.20172,0.11222,0.089502,0.05,250.0,0.525
108,1.07,0.042868,0.057681,0.20036,0.11146,0.088899,0.05,250.0,0.525
109,1.08,0.042579,0.057292,0.19901,0.11071,0.0883,0.05,250.0,0.525
110,1.09,0.042293,0.056906,0.19767,0.10997,0.087705,0.05,250.0,0.525
111,1.1,0.042008,0.056523,0.19634,0.10923,0.087114,0.05,250.0,0.525
112,1.11,0.041725,0.056142,0.19502,0.10849,0.086527,0.05,250.0,0.525
113,1.12,0.041444,0.055764,0.1937,0.10776,0.085944,0.05,250.0,0.525
114,1.1300000000000001,0.041164,0.055388,0.1924,0.10703,0.085365,0.05,250.0,0.525
115,1.1400000000000001,0.040887,0.055015,0.1911,0.10631,0.08479,0.05,250.0,0.525
116,1.1500000000000001,0.040612,0.054645,0.18982,0.1056,0.084219,0.05,250.0,0.525
117,1.16,0.040338,0.054276,0.18854,0.10489,0.083652,0.05,250.0,0.525
118,1.17,0.040066,0.053911,0.18727,0.10418,0.083088,0.05,250.0,0.525
119,1.18,0.039796,0.053547,0.186,0.10348,0.082528,0.05,250.0,0.525
120,1.19,0.039528,0.053187,0.18475,0.10278,0.081972,0.05,250.0,0.525
121,1.2,0.039262,0.052828,0.18351,0.10209,0.08142,0.05,250.0,0.525
