DateTime	DateTimeUTC	Millisecond (ms)	Ed0Roll (°)	Ed0Pitch (°)	Ed0380 (µW/(cm² nm))	Ed0395 (µW/(cm² nm))	Ed0412 (µW/(cm² nm))	Ed0443 (µW/(cm² nm))	Ed0465 (µW/(cm² nm))	Ed0490 (µW/(cm² nm))	Ed0510 (µW/(cm² nm))	Ed0532 (µW/(cm² nm))	Ed0555 (µW/(cm² nm))	Ed0560 (µW/(cm² nm))	Ed0589 (µW/(cm² nm))	Ed0625 (µW/(cm² nm))	Ed0665 (µW/(cm² nm))	Ed0683 (µW/(cm² nm))	Ed0694 (µW/(cm² nm))	Ed0710 (µW/(cm² nm))	Ed0765 (µW/(cm² nm))	Ed0780 (µW/(cm² nm))	Ed0875 (µW/(cm² nm))
3/23/2022 5:16:26 PM	3/23/2022 5:16:26 PM	634	0.1397877	-1.607768	63.41344	65.65453	103.8335	113.4866	128.7875	121.1183	120.0283	119.7043	114.0111	112.6041	107.5087	101.7867	99.49192	92.92389	90.244	91.52704	55.36777	78.55095	59.04094
3/23/2022 5:16:27 PM	3/23/2022 5:16:27 PM	601	0.1397877	-1.607768	63.41986	65.66328	103.845	113.5035	128.8077	121.1381	120.0482	119.7268	114.0343	112.626	107.5299	101.807	99.51349	92.94313	90.26405	91.54744	55.38015	78.56856	59.05415
3/23/2022 5:16:28 PM	3/23/2022 5:16:28 PM	584	0.1397877	-1.46793	63.41845	65.65843	103.8386	113.4951	128.7987	121.1286	120.0386	119.7154	114.0232	112.6161	107.5203	101.7975	99.50295	92.93424	90.25491	91.53811	55.37489	78.56137	59.0475
3/23/2022 5:16:29 PM	3/23/2022 5:16:29 PM	566	0.3494712	-1.46793	63.41259	65.65215	103.8299	113.4826	128.7815	121.1095	120.018	119.6938	114.0016	112.5958	107.5	101.7769	99.48235	92.91458	90.23543	91.51807	55.3619	78.54308	59.03312
3/23/2022 5:16:30 PM	3/23/2022 5:16:30 PM	534	0.2096819	-1.46793	63.4059	65.64555	103.8177	113.4687	128.7643	121.0935	120.0024	119.6759	113.9854	112.5797	107.4842	101.7621	99.46727	92.90043	90.22211	91.50404	55.35382	78.53158	59.0233
3/23/2022 5:16:31 PM	3/23/2022 5:16:31 PM	516	0.1397877	-1.537848	63.40314	65.64302	103.813	113.4678	128.7635	121.0937	120.0042	119.68	113.9893	112.5822	107.4874	101.7671	99.4735	92.90637	90.2273	91.51066	55.35822	78.53767	59.02976
3/23/2022 5:16:32 PM	3/23/2022 5:16:32 PM	499	0.2096819	-1.607768	63.41385	65.65531	103.8342	113.4905	128.7957	121.125	120.0364	119.7126	114.0214	112.6145	107.5199	101.7985	99.50513	92.93654	90.25695	91.54073	55.37658	78.56509	59.05111
3/23/2022 5:16:33 PM	3/23/2022 5:16:33 PM	466	0.2096819	-1.537848	63.42973	65.67515	103.8634	113.5217	128.8322	121.1621	120.0742	119.7505	114.0577	112.6506	107.5546	101.8312	99.53684	92.96583	90.28522	91.56956	55.39416	78.58945	59.06844
3/23/2022 5:16:34 PM	3/23/2022 5:16:34 PM	449	0.2096819	-1.607768	63.4402	65.6867	103.8816	113.5433	128.8544	121.1813	120.0932	119.7688	114.0753	112.6674	107.5698	101.8451	99.54874	92.97672	90.2971	91.58019	55.39988	78.59737	59.07394
3/23/2022 5:16:35 PM	3/23/2022 5:16:35 PM	416	0.2096819	-1.537848	63.41989	65.65945	103.8432	113.4991	128.8012	121.1292	120.0392	119.7146	114.0208	112.614	107.5187	101.794	99.49894	92.92935	90.25143	91.53336	55.37113	78.55654	59.04267
3/23/2022 5:16:36 PM	3/23/2022 5:16:36 PM	399	0.1397877	-1.537848	63.44293	65.68946	103.888	113.5486	128.859	121.1864	120.0966	119.7726	114.0781	112.6695	107.572	101.8454	99.54901	92.97681	90.29905	91.58169	55.39914	78.59696	59.07226
3/23/2022 5:16:37 PM	3/23/2022 5:16:37 PM	382	0.2096819	-1.537848	63.44122	65.6869	103.8826	113.5415	128.8538	121.1827	120.0923	119.7674	114.0727	112.6653	107.5705	101.8419	99.54575	92.97338	90.29739	91.57913	55.39758	78.59482	59.07159
3/23/2022 5:16:38 PM	3/23/2022 5:16:38 PM	349	0.2096819	-1.537848	63.41594	65.66203	103.8339	113.4874	128.7885	121.1155	120.0241	119.6977	114.0056	112.5983	107.506	101.7795	99.48455	92.91552	90.24232	91.52274	55.36243	78.54513	59.03329
3/23/2022 5:16:39 PM	3/23/2022 5:16:39 PM	332	0.2096819	-1.537848	63.41726	65.65775	103.837	113.4914	128.7934	121.1223	120.0313	119.7077	114.014	112.6072	107.5156	101.7899	99.49352	92.92516	90.25159	91.53228	55.36853	78.5543	59.04103
3/23/2022 5:16:40 PM	3/23/2022 5:16:40 PM	299	0.2096819	-1.537848	63.42449	65.66991	103.8577	113.5208	128.8296	121.1614	120.0747	119.754	114.062	112.6541	107.5651	101.8393	99.54419	92.97305	90.30018	91.58103	55.40029	78.59701	59.07546
3/23/2022 5:16:41 PM	3/23/2022 5:16:41 PM	282	0.1397877	-1.537848	63.42368	65.66797	103.8551	113.5146	128.8233	121.1518	120.0617	119.7395	114.0464	112.6389	107.549	101.8226	99.5276	92.95699	90.28406	91.56465	55.38734	78.58017	59.06156
3/23/2022 5:16:42 PM	3/23/2022 5:16:42 PM	249	0.2096819	-1.537848	63.42572	65.66727	103.8569	113.5136	128.821	121.1509	120.0599	119.7354	114.042	112.6357	107.5441	101.8169	99.52265	92.95225	90.27964	91.55979	55.38367	78.57552	59.05743
3/23/2022 5:16:43 PM	3/23/2022 5:16:43 PM	232	0.1397877	-1.537848	63.39439	65.63209	103.7985	113.4457	128.737	121.0685	119.9759	119.6512	113.9592	112.5521	107.4635	101.7389	99.44508	92.87978	90.20971	91.48785	55.33955	78.51369	59.01009
3/23/2022 5:16:44 PM	3/23/2022 5:16:44 PM	215	0.1397877	-1.607768	63.41014	65.65479	103.828	113.4789	128.7762	121.1104	120.0173	119.6927	113.9994	112.5918	107.5041	101.777	99.48278	92.91461	90.24441	91.52367	55.36148	78.5443	59.03288
3/23/2022 5:16:45 PM	3/23/2022 5:16:45 PM	182	0.2096819	-1.537848	63.43378	65.67861	103.8691	113.5301	128.8349	121.1654	120.0721	119.7487	114.0526	112.6445	107.5542	101.8233	99.52733	92.95687	90.28548	91.56523	55.38675	78.58041	59.05981
