DateTime	DateTimeUTC	Millisecond (ms)	Ed0Roll (°)	Ed0Pitch (°)	Ed0380 (µW/(cm² nm))	Ed0395 (µW/(cm² nm))	Ed0412 (µW/(cm² nm))	Ed0443 (µW/(cm² nm))	Ed0465 (µW/(cm² nm))	Ed0490 (µW/(cm² nm))	Ed0510 (µW/(cm² nm))	Ed0532 (µW/(cm² nm))	Ed0555 (µW/(cm² nm))	Ed0560 (µW/(cm² nm))	Ed0589 (µW/(cm² nm))	Ed0625 (µW/(cm² nm))	Ed0665 (µW/(cm² nm))	Ed0683 (µW/(cm² nm))	Ed0694 (µW/(cm² nm))	Ed0710 (µW/(cm² nm))	Ed0765 (µW/(cm² nm))	Ed0780 (µW/(cm² nm))	Ed0875 (µW/(cm² nm))
3/23/2022 4:05:07 PM	3/23/2022 4:05:07 PM	94	-0.06989381	-0.9785607	63.47043	65.579	103.6195	113.2888	128.7082	120.922	119.8897	119.4145	113.8155	112.2684	106.8221	101.2632	99.19474	92.61825	89.89678	90.91652	54.92264	77.85226	58.64078
3/23/2022 4:05:08 PM	3/23/2022 4:05:08 PM	76	-0.06989381	-0.9785607	63.44003	65.54245	103.561	113.2185	128.6272	120.8427	119.808	119.3333	113.7361	112.1894	106.7467	101.1909	99.12255	92.55098	89.83206	90.85089	54.88256	77.79539	58.59757
3/23/2022 4:05:09 PM	3/23/2022 4:05:09 PM	44	-0.06989381	-0.9785607	63.46696	65.57201	103.6108	113.2756	128.6901	120.9029	119.8675	119.3918	113.7931	112.2455	106.8003	101.2401	99.17005	92.59486	89.8755	90.8942	54.90826	77.83112	58.62379
3/23/2022 4:05:10 PM	3/23/2022 4:05:10 PM	26	-0.06989381	-0.9785607	63.50137	65.61296	103.6759	113.3522	128.7779	120.9841	119.9522	119.4767	113.873	112.3253	106.8765	101.3127	99.24008	92.6599	89.93913	90.95777	54.94633	77.88519	58.66334
3/23/2022 4:05:10 PM	3/23/2022 4:05:10 PM	994	-0.06989381	-0.9785607	63.50319	65.61886	103.681	113.3609	128.7931	121.0027	119.9724	119.4981	113.8971	112.3477	106.9013	101.3375	99.26601	92.68494	89.96348	90.98323	54.96313	77.9087	58.68259
3/23/2022 4:05:11 PM	3/23/2022 4:05:11 PM	976	-0.06989381	-0.9785607	63.5004	65.61637	103.6778	113.3613	128.7915	121.0022	119.973	119.5004	113.8985	112.3511	106.9052	101.3422	99.27128	92.68987	89.96886	90.98826	54.9671	77.91334	58.68631
3/23/2022 4:05:12 PM	3/23/2022 4:05:12 PM	959	-0.06989381	-0.9785607	63.51054	65.62788	103.694	113.3777	128.815	121.0218	119.9925	119.5178	113.9159	112.3683	106.9202	101.3553	99.284	92.70173	89.98034	90.99991	54.9732	77.92287	58.69347
3/23/2022 4:05:13 PM	3/23/2022 4:05:13 PM	926	-0.1397877	-0.9785607	63.51573	65.63091	103.7004	113.3849	128.8213	121.0316	120.0006	119.5279	113.9243	112.3767	106.9291	101.3635	99.29173	92.70877	89.98763	91.00687	54.97755	77.92878	58.69835
3/23/2022 4:05:14 PM	3/23/2022 4:05:14 PM	909	-0.06989381	-0.9785607	63.48038	65.59134	103.6368	113.3073	128.7262	120.9355	119.9026	119.429	113.8281	112.2798	106.8354	101.2732	99.2019	92.62459	89.90555	90.92316	54.92647	77.85623	58.6427
3/23/2022 4:05:15 PM	3/23/2022 4:05:15 PM	876	-0.1397877	-0.9785607	63.47436	65.5819	103.6234	113.2945	128.7104	120.9202	119.8873	119.4129	113.8128	112.2661	106.822	101.2607	99.18886	92.61244	89.89328	90.91143	54.91944	77.84595	58.63477
3/23/2022 4:05:16 PM	3/23/2022 4:05:16 PM	859	-0.06989381	-0.9785607	63.52348	65.6377	103.7123	113.4016	128.8371	121.0452	120.0154	119.5418	113.9376	112.3902	106.9416	101.3753	99.30177	92.7178	89.99604	91.01494	54.98269	77.93564	58.70309
3/23/2022 4:05:17 PM	3/23/2022 4:05:17 PM	842	-0.1397877	-0.9785607	63.52414	65.63791	103.7119	113.3995	128.8368	121.0437	120.0135	119.541	113.9362	112.3891	106.9398	101.3738	99.29941	92.71573	89.99403	91.0128	54.98113	77.9333	58.70113
3/23/2022 4:05:18 PM	3/23/2022 4:05:18 PM	809	-0.06989381	-0.9086576	63.50235	65.61673	103.6774	113.3561	128.7868	120.9947	119.9633	119.4898	113.8876	112.3406	106.8944	101.33	99.25607	92.67535	89.95434	90.9733	54.95742	77.89945	58.67609
3/23/2022 4:05:19 PM	3/23/2022 4:05:19 PM	792	-0.06989381	-0.9785607	63.48313	65.59411	103.6396	113.3106	128.7286	120.941	119.9072	119.4335	113.8344	112.2878	106.8427	101.281	99.20729	92.62944	89.91004	90.92839	54.93022	77.86116	58.64635
3/23/2022 4:05:20 PM	3/23/2022 4:05:20 PM	759	-0.06989381	-0.9785607	63.49172	65.60313	103.6591	113.3324	128.7577	120.9668	119.9357	119.4624	113.8616	112.3148	106.8685	101.3053	99.23195	92.65188	89.93215	90.95089	54.94432	77.88058	58.66108
3/23/2022 4:05:21 PM	3/23/2022 4:05:21 PM	742	-0.06989381	-0.9785607	63.5101	65.62462	103.6932	113.3749	128.8097	121.0166	119.9896	119.5168	113.9156	112.3668	106.9208	101.357	99.28307	92.70027	89.97865	90.99849	54.97396	77.92284	58.69337
3/23/2022 4:05:22 PM	3/23/2022 4:05:22 PM	725	0	-0.9785607	63.50165	65.61659	103.6767	113.3559	128.7836	120.9952	119.9647	119.4923	113.8906	112.3439	106.8987	101.335	99.26176	92.68089	89.95971	90.97881	54.96162	77.90595	58.68018
3/23/2022 4:05:23 PM	3/23/2022 4:05:23 PM	692	-0.06989381	-0.9785607	63.51696	65.63257	103.7042	113.3906	128.8278	121.0371	120.008	119.5363	113.9335	112.3855	106.9385	101.3747	99.30143	92.71806	89.99498	91.01554	54.98474	77.93828	58.7052
3/23/2022 4:05:24 PM	3/23/2022 4:05:24 PM	675	-0.1397877	-0.9785607	63.50446	65.61923	103.6818	113.3611	128.7956	121.0038	119.9753	119.5034	113.9019	112.3556	106.9084	101.3459	99.27286	92.69109	89.96876	90.9895	54.96835	77.91512	58.68806
3/23/2022 4:05:25 PM	3/23/2022 4:05:25 PM	642	-0.06989381	-0.9785607	63.501	65.61699	103.6772	113.3561	128.7877	120.9993	119.9699	119.4983	113.8971	112.3494	106.9046	101.3415	99.26867	92.68762	89.96541	90.98611	54.96656	77.91326	58.68655
3/23/2022 4:05:26 PM	3/23/2022 4:05:26 PM	625	-0.06989381	-0.9785607	63.51091	65.6294	103.692	113.3736	128.8112	121.0214	119.9931	119.5207	113.9193	112.3721	106.9259	101.3625	99.28944	92.70637	89.98312	91.00529	54.97825	77.92919	58.69845
3/23/2022 4:05:27 PM	3/23/2022 4:05:27 PM	608	-0.06989381	-0.9785607	63.50032	65.61259	103.6751	113.3506	128.785	120.9932	119.9639	119.4913	113.891	112.3433	106.8981	101.3355	99.26157	92.6807	89.95895	90.97939	54.96284	77.90739	58.68206
3/23/2022 4:05:28 PM	3/23/2022 4:05:28 PM	575	-0.06989381	-0.9785607	63.47686	65.58709	103.6351	113.3035	128.7251	120.9382	119.9068	119.4351	113.8358	112.2908	106.848	101.2867	99.21429	92.6362	89.91531	90.93584	54.93691	77.87012	58.65429
3/23/2022 4:05:29 PM	3/23/2022 4:05:29 PM	558	-0.06989381	-0.9785607	63.47188	65.58321	103.6239	113.2906	128.7071	120.9215	119.8901	119.4182	113.8198	112.2756	106.8326	101.272	99.19927	92.62167	89.9016	90.92178	54.92846	77.85799	58.64494
3/23/2022 4:05:30 PM	3/23/2022 4:05:30 PM	525	-0.06989381	-0.9785607	63.48404	65.59735	103.6446	113.3181	128.7459	120.9563	119.9266	119.4573	113.858	112.3128	106.8679	101.3077	99.23462	92.65566	89.93304	90.95385	54.94868	77.8866	58.66653
3/23/2022 4:05:31 PM	3/23/2022 4:05:31 PM	508	-0.06989381	-0.9785607	63.4852	65.59861	103.6478	113.3205	128.7459	120.9579	119.9293	119.4603	113.8606	112.3151	106.8709	101.3104	99.23775	92.65789	89.93492	90.95691	54.95069	77.88939	58.66919
3/23/2022 4:05:32 PM	3/23/2022 4:05:32 PM	490	-0.1397877	-0.9785607	63.4948	65.60513	103.6645	113.341	128.771	120.9833	119.9547	119.4863	113.8875	112.3413	106.8961	101.3349	99.26144	92.67986	89.95584	90.97768	54.9633	77.9076	58.68298
3/23/2022 4:05:33 PM	3/23/2022 4:05:33 PM	458	-0.1397877	-1.048466	63.49429	65.60513	103.6646	113.3381	128.7678	120.9782	119.9514	119.4819	113.8828	112.3362	106.8915	101.33	99.25545	92.67453	89.95102	90.97227	54.95948	77.90279	58.67881
3/23/2022 4:05:34 PM	3/23/2022 4:05:34 PM	440	-0.06989381	-1.048466	63.4849	65.59694	103.6451	113.3174	128.7408	120.9537	119.9253	119.4568	113.858	112.3118	106.8672	101.3064	99.23178	92.65302	89.92884	90.9502	54.94646	77.88438	58.66462
3/23/2022 4:05:35 PM	3/23/2022 4:05:35 PM	408	-0.06989381	-0.9785607	63.47547	65.58572	103.6265	113.2924	128.7142	120.9288	119.8992	119.4295	113.8326	112.288	106.8446	101.2852	99.21106	92.63332	89.90957	90.93145	54.93569	77.86786	58.65278
3/23/2022 4:05:36 PM	3/23/2022 4:05:36 PM	390	-0.06989381	-0.9086576	63.48223	65.59412	103.6404	113.311	128.734	120.9463	119.9167	119.4483	113.8497	112.3041	106.8597	101.2995	99.22534	92.64606	89.92247	90.94411	54.94334	77.87885	58.66053
3/23/2022 4:05:37 PM	3/23/2022 4:05:37 PM	373	-0.1397877	-1.048466	63.47247	65.57668	103.6203	113.286	128.7028	120.9194	119.8891	119.4187	113.8226	112.2776	106.8339	101.2753	99.20146	92.62383	89.89947	90.9228	54.93037	77.86057	58.64739
3/23/2022 4:05:38 PM	3/23/2022 4:05:38 PM	340	-0.1397877	-0.9785607	63.47808	65.58789	103.6316	113.2993	128.7195	120.9332	119.9021	119.4333	113.835	112.2898	106.8452	101.2859	99.21159	92.63351	89.9093	90.93108	54.93595	77.86864	58.65254
3/23/2022 4:05:39 PM	3/23/2022 4:05:39 PM	323	-0.06989381	-1.048466	63.50489	65.61732	103.6819	113.3594	128.7909	121.0036	119.9749	119.5069	113.9052	112.3593	106.9122	101.3505	99.27554	92.69337	89.96733	90.99018	54.9719	77.91924	58.69124
3/23/2022 4:05:40 PM	3/23/2022 4:05:40 PM	290	0	-0.9785607	63.50508	65.62079	103.6816	113.3606	128.792	121.0036	119.9757	119.5069	113.9078	112.3614	106.9142	101.3528	99.27684	92.69392	89.96855	90.99181	54.97278	77.92062	58.6921
3/23/2022 4:05:41 PM	3/23/2022 4:05:41 PM	273	-0.06989381	-0.9785607	63.5056	65.62299	103.6836	113.3604	128.7895	121.003	119.9721	119.504	113.9038	112.358	106.9101	101.3485	99.27338	92.69078	89.96448	90.98768	54.97033	77.91703	58.68912
3/23/2022 4:05:42 PM	3/23/2022 4:05:42 PM	256	-0.06989381	-0.9785607	63.50216	65.61574	103.6774	113.3502	128.7802	120.993	119.9631	119.4945	113.8942	112.3486	106.9008	101.3401	99.26476	92.68209	89.95667	90.97917	54.96518	77.91014	58.68374
3/23/2022 4:05:43 PM	3/23/2022 4:05:43 PM	223	-0.06989381	-0.9785607	63.49413	65.60806	103.6614	113.3362	128.7616	120.9757	119.9463	119.4801	113.8807	112.3353	106.8888	101.3293	99.25546	92.67416	89.94834	90.97138	54.96156	77.90487	58.68055
3/23/2022 4:05:44 PM	3/23/2022 4:05:44 PM	206	-0.06989381	-0.9785607	63.48384	65.59728	103.6433	113.3145	128.7364	120.9494	119.9202	119.4506	113.8529	112.3079	106.8627	101.3039	99.23	92.65068	89.92548	90.94841	54.94772	77.8848	58.66591
3/23/2022 4:05:45 PM	3/23/2022 4:05:45 PM	173	-0.06989381	-0.9785607	63.49366	65.6071	103.6616	113.3361	128.7672	120.9779	119.9506	119.4814	113.8828	112.3373	106.8916	101.3319	99.25888	92.67809	89.95148	90.97518	54.96437	77.90807	58.68369
3/23/2022 4:05:46 PM	3/23/2022 4:05:46 PM	156	-0.06989381	-0.9785607	63.4754	65.58424	103.6271	113.2939	128.7156	120.9302	119.9011	119.4321	113.8346	112.2897	106.8463	101.2891	99.21671	92.63855	89.91297	90.93637	54.94124	77.87508	58.65904
