,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eu_600.0,Ed_600.0,Eo_600.0
87,2.61,0.00041898,0.013095,0.02337,0.00030261,0.0094766,0.016888,0.00017197,0.0054099,0.0096088
88,2.64,0.00041864,0.013088,0.023352,0.00030237,0.0094713,0.016875,0.00017183,0.0054069,0.0096015
89,2.67,0.00041829,0.013081,0.023334,0.00030212,0.009466,0.016862,0.00017169,0.0054039,0.0095942
90,2.7,0.00041795,0.013074,0.023316,0.00030187,0.0094607,0.016849,0.00017155,0.0054009,0.009587
91,2.73,0.00041761,0.013066,0.023298,0.00030162,0.0094554,0.016836,0.00017141,0.0053979,0.0095797
92,2.7600000000000002,0.00041727,0.013059,0.02328,0.00030138,0.0094502,0.016824,0.00017127,0.0053949,0.0095725
93,2.79,0.00041693,0.013052,0.023263,0.00030113,0.0094448,0.016811,0.00017113,0.0053918,0.0095653
94,2.82,0.00041658,0.013044,0.023245,0.00030089,0.0094396,0.016798,0.00017099,0.0053888,0.009558
95,2.85,0.00041624,0.013037,0.023227,0.00030064,0.0094343,0.016785,0.00017085,0.0053859,0.0095508
96,2.88,0.0004159,0.01303,0.02321,0.0003004,0.009429,0.016772,0.00017072,0.0053829,0.0095436
97,2.91,0.00041556,0.013022,0.023192,0.00030015,0.0094237,0.01676,0.00017058,0.0053798,0.0095364
98,2.94,0.00041523,0.013015,0.023174,0.00029991,0.0094185,0.016747,0.00017044,0.0053769,0.0095293
99,2.97,0.00041489,0.013008,0.023157,0.00029966,0.0094132,0.016734,0.0001703,0.0053739,0.0095221
100,3.0,0.00041455,0.013001,0.023139,0.00029942,0.009408,0.016722,0.00017017,0.0053709,0.009515
