DateTime	DateTimeUTC	Millisecond (ms)	Ed0Roll (°)	Ed0Pitch (°)	Ed0380 (µW/(cm² nm))	Ed0395 (µW/(cm² nm))	Ed0412 (µW/(cm² nm))	Ed0443 (µW/(cm² nm))	Ed0465 (µW/(cm² nm))	Ed0490 (µW/(cm² nm))	Ed0510 (µW/(cm² nm))	Ed0532 (µW/(cm² nm))	Ed0555 (µW/(cm² nm))	Ed0560 (µW/(cm² nm))	Ed0589 (µW/(cm² nm))	Ed0625 (µW/(cm² nm))	Ed0665 (µW/(cm² nm))	Ed0683 (µW/(cm² nm))	Ed0694 (µW/(cm² nm))	Ed0710 (µW/(cm² nm))	Ed0765 (µW/(cm² nm))	Ed0780 (µW/(cm² nm))	Ed0875 (µW/(cm² nm))
3/23/2022 4:56:56 PM	3/23/2022 4:56:56 PM	975	-0.06989381	-1.328101	64.13639	66.33238	104.8417	114.5242	129.9567	122.1435	121.0392	120.6702	114.9322	113.4841	108.2572	102.4906	100.1741	93.55474	90.87724	92.04977	55.74794	78.9259	59.35061
3/23/2022 4:56:57 PM	3/23/2022 4:56:57 PM	957	-0.06989381	-1.25819	64.13955	66.33731	104.8486	114.5336	129.9658	122.1527	121.0479	120.6791	114.9413	113.4948	108.2663	102.4998	100.1834	93.56367	90.88603	92.05763	55.75309	78.93351	59.3566
3/23/2022 4:56:58 PM	3/23/2022 4:56:58 PM	925	-0.06989381	-1.328101	64.13479	66.32809	104.8379	114.5206	129.9546	122.1404	121.0354	120.6647	114.9287	113.4813	108.2534	102.4878	100.1714	93.55222	90.87428	92.04689	55.74663	78.9239	59.34902
3/23/2022 4:56:59 PM	3/23/2022 4:56:59 PM	907	-0.06989381	-1.328101	64.10342	66.29371	104.7836	114.4526	129.8724	122.062	120.9547	120.5846	114.8491	113.4026	108.1782	102.4156	100.1004	93.48568	90.81035	91.98151	55.70649	78.86731	59.30671
3/23/2022 4:57:00 PM	3/23/2022 4:57:00 PM	875	-0.06989381	-1.25819	64.11653	66.30917	104.8065	114.4806	129.9023	122.0915	120.9853	120.615	114.8774	113.4312	108.2052	102.441	100.1264	93.50919	90.83276	92.00502	55.72078	78.88777	59.32158
3/23/2022 4:57:01 PM	3/23/2022 4:57:01 PM	857	-0.06989381	-1.328101	64.13268	66.3283	104.8367	114.5185	129.9508	122.1395	121.0341	120.665	114.9283	113.4811	108.2536	102.4887	100.1746	93.55507	90.8788	92.05143	55.74955	78.92864	59.35324
3/23/2022 4:57:02 PM	3/23/2022 4:57:02 PM	840	0	-1.25819	64.12708	66.32022	104.827	114.5062	129.9338	122.1209	121.0142	120.6441	114.9065	113.4594	108.2325	102.4676	100.1531	93.53482	90.85884	92.03151	55.73664	78.91061	59.33932
3/23/2022 4:57:03 PM	3/23/2022 4:57:03 PM	807	-0.06989381	-1.328101	64.1301	66.32358	104.8329	114.5136	129.9376	122.1261	121.0197	120.6498	114.9109	113.4636	108.2358	102.4697	100.155	93.53633	90.86097	92.03292	55.73705	78.91107	59.33858
3/23/2022 4:57:04 PM	3/23/2022 4:57:04 PM	790	-0.06989381	-1.328101	64.12297	66.31476	104.8152	114.4943	129.9186	122.1077	120.9996	120.6293	114.8928	113.4458	108.2209	102.4551	100.141	93.52395	90.84905	92.02126	55.73055	78.90131	59.33186
3/23/2022 4:57:05 PM	3/23/2022 4:57:05 PM	757	-0.06989381	-1.328101	64.11883	66.31083	104.8087	114.4827	129.906	122.0943	120.9859	120.6144	114.8758	113.4308	108.2046	102.4401	100.1256	93.50817	90.83449	92.0059	55.72071	78.88734	59.32102
