,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
21,0.2,0.032469,0.046691,0.15779,0.089781,0.068013,0.043,350.0,12.681,0.026878,0.040065,0.13328,0.076763,0.056518,0.065,350.0,12.681,0.0186,0.030579,0.097566,0.058042,0.039524,0.133,350.0,12.681,999.0
22,0.21,0.032106,0.046261,0.1562,0.088929,0.067269,0.043,350.0,1.2985,0.026548,0.039649,0.13176,0.075924,0.055832,0.065,350.0,1.2985,0.018315,0.030166,0.096086,0.057176,0.03891,0.133,350.0,1.2985,999.0
23,0.22,0.031747,0.045835,0.15462,0.088083,0.066536,0.043,350.0,1.2985,0.026225,0.039241,0.13027,0.075104,0.055161,0.065,350.0,1.2985,0.018039,0.029763,0.094678,0.056356,0.038321,0.133,350.0,1.2985,999.0
24,0.23,0.03139,0.045413,0.15305,0.087242,0.065806,0.043,350.0,1.2985,0.025903,0.038835,0.12879,0.074296,0.054497,0.065,350.0,1.2985,0.017766,0.029365,0.093303,0.055559,0.037744,0.133,350.0,1.2985,999.0
25,0.24,0.031035,0.044992,0.15149,0.086407,0.06508,0.043,350.0,1.2985,0.025585,0.038433,0.12734,0.073497,0.053839,0.065,350.0,1.2985,0.017497,0.028973,0.091955,0.054779,0.037176,0.133,350.0,1.2985,999.0
26,0.25,0.030682,0.044574,0.14994,0.085579,0.064359,0.043,350.0,1.2985,0.025268,0.038034,0.12589,0.072707,0.053187,0.065,350.0,1.2985,0.017232,0.028586,0.090632,0.054014,0.036618,0.133,350.0,1.2985,999.0
27,0.26,0.030331,0.044159,0.1484,0.084756,0.063641,0.043,350.0,1.2985,0.024954,0.037639,0.12447,0.071926,0.05254,0.065,350.0,1.2985,0.01697,0.028205,0.08933,0.053263,0.036067,0.133,350.0,1.2985,999.0
28,0.27,0.029981,0.043745,0.14687,0.08394,0.062928,0.043,350.0,1.2985,0.024642,0.037246,0.12305,0.071152,0.051898,0.065,350.0,1.2985,0.016711,0.027828,0.088049,0.052525,0.035523,0.133,350.0,1.2985,999.0
29,0.28,0.029633,0.043334,0.14535,0.083129,0.062217,0.043,350.0,1.2985,0.024332,0.036857,0.12165,0.070386,0.05126,0.065,350.0,1.2985,0.016455,0.027456,0.086786,0.051799,0.034987,0.133,350.0,1.2985,999.0
30,0.29,0.029286,0.042925,0.14383,0.082322,0.061511,0.043,350.0,1.2985,0.024023,0.03647,0.12025,0.069626,0.050627,0.065,350.0,1.2985,0.016202,0.027088,0.085541,0.051084,0.034457,0.133,350.0,1.2985,999.0
31,0.3,0.028941,0.042519,0.14233,0.081521,0.060807,0.043,350.0,1.2985,0.023717,0.036086,0.11887,0.068873,0.049999,0.065,350.0,1.2985,0.015951,0.026724,0.084313,0.050378,0.033934,0.133,350.0,1.2985,999.0
32,0.31,0.028597,0.042115,0.14083,0.080725,0.060108,0.043,350.0,1.2985,0.023413,0.035705,0.1175,0.068127,0.049375,0.065,350.0,1.2985,0.015704,0.026366,0.0831,0.049683,0.033417,0.133,350.0,1.2985,999.0
33,0.32,0.028255,0.041712,0.13934,0.079933,0.059411,0.043,350.0,1.2985,0.023111,0.035327,0.11614,0.067386,0.048755,0.065,350.0,1.2985,0.015459,0.026011,0.081903,0.048997,0.032906,0.133,350.0,1.2985,999.0
