,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
29,0.28,0.066202,0.094886,0.33068,0.043,400.0,0.304,0.051103,0.078023,0.26477,0.066613,400.0,0.304,0.036884,0.060907,0.20002,0.11822,400.0,0.304
30,0.29,0.065388,0.093932,0.32705,0.043,400.0,0.304,0.050357,0.077102,0.26134,0.066613,400.0,0.304,0.036249,0.060038,0.19693,0.11822,400.0,0.304
31,0.3,0.064578,0.092982,0.32343,0.043,400.0,0.304,0.049615,0.076187,0.25794,0.066613,400.0,0.304,0.03562,0.059178,0.19388,0.11822,400.0,0.304
32,0.31,0.063772,0.092038,0.31983,0.043,400.0,0.304,0.048878,0.075279,0.25456,0.066613,400.0,0.304,0.034997,0.058328,0.19086,0.11822,400.0,0.304
33,0.32,0.062969,0.091099,0.31625,0.043,400.0,0.304,0.048144,0.074378,0.2512,0.066613,400.0,0.304,0.034379,0.057486,0.18787,0.11822,400.0,0.304
34,0.33,0.06217,0.090164,0.31269,0.043,400.0,0.304,0.047416,0.073483,0.24787,0.066613,400.0,0.304,0.033767,0.056654,0.18491,0.11822,400.0,0.304
35,0.34,0.061374,0.089235,0.30915,0.043,400.0,0.304,0.046691,0.072595,0.24456,0.066613,400.0,0.304,0.03316,0.05583,0.18198,0.11822,400.0,0.304
36,0.35000000000000003,0.060582,0.088311,0.30562,0.043,400.0,0.304,0.04597,0.071712,0.24127,0.066613,400.0,0.304,0.032559,0.055016,0.17908,0.11822,400.0,0.304
37,0.36,0.059793,0.087392,0.30212,0.043,400.0,0.304,0.045254,0.070836,0.238,0.066613,400.0,0.304,0.031962,0.054209,0.17621,0.11822,400.0,0.304
38,0.37,0.059008,0.086478,0.29863,0.043,400.0,0.304,0.044541,0.069966,0.23476,0.066613,400.0,0.304,0.03137,0.053411,0.17336,0.11822,400.0,0.304
39,0.38,0.058225,0.085568,0.29515,0.043,400.0,0.304,0.043832,0.069102,0.23153,0.066613,400.0,0.304,0.030783,0.052621,0.17055,0.11822,400.0,0.304
40,0.39,0.057446,0.084663,0.29169,0.043,400.0,0.304,0.043127,0.068244,0.22833,0.066613,400.0,0.304,0.030201,0.051839,0.16776,0.11822,400.0,0.304
41,0.4,0.05667,0.083763,0.28825,0.043,400.0,0.304,0.042425,0.067392,0.22514,0.066613,400.0,0.304,0.029624,0.051065,0.16499,0.11822,400.0,0.304
42,0.41000000000000003,0.055898,0.082867,0.28483,0.043,400.0,0.304,0.041727,0.066545,0.22197,0.066613,400.0,0.304,0.029051,0.050299,0.16225,0.11822,400.0,0.304
43,0.42,0.055128,0.081976,0.28142,0.043,400.0,0.304,0.041033,0.065704,0.21882,0.066613,400.0,0.304,0.028482,0.04954,0.15954,0.11822,400.0,0.304
44,0.43,0.054361,0.081089,0.27802,0.043,400.0,0.304,0.040342,0.064869,0.21569,0.066613,400.0,0.304,0.027918,0.048789,0.15685,0.11822,400.0,0.304
45,0.44,0.053597,0.080207,0.27464,0.043,400.0,0.304,0.039655,0.064039,0.21258,0.066613,400.0,0.304,0.027358,0.048045,0.15418,0.11822,400.0,0.304
46,0.45,0.052836,0.079329,0.27128,0.043,400.0,0.304,0.038971,0.063214,0.20949,0.066613,400.0,0.304,0.026802,0.047309,0.15154,0.11822,400.0,0.304
47,0.46,0.052078,0.078455,0.26793,0.043,400.0,0.304,0.03829,0.062395,0.20642,0.066613,400.0,0.304,0.026251,0.04658,0.14892,0.11822,400.0,0.304
48,0.47000000000000003,0.051323,0.077585,0.2646,0.043,400.0,0.304,0.037613,0.061581,0.20336,0.066613,400.0,0.304,0.025703,0.045858,0.14632,0.11822,400.0,0.304
49,0.48,0.050571,0.07672,0.26128,0.043,400.0,0.304,0.036938,0.060773,0.20032,0.066613,400.0,0.304,0.025159,0.045143,0.14375,0.11822,400.0,0.304
50,0.49,0.049821,0.075859,0.25797,0.043,400.0,0.304,0.036267,0.059969,0.19729,0.066613,400.0,0.304,0.024619,0.044434,0.1412,0.11822,400.0,0.304
51,0.5,0.049074,0.075002,0.25468,0.043,400.0,0.304,0.035599,0.059171,0.19429,0.066613,400.0,0.304,0.024083,0.043733,0.13867,0.11822,400.0,0.304
52,0.51,0.04833,0.074149,0.2514,0.043,400.0,0.304,0.034934,0.058378,0.1913,0.066613,400.0,0.304,0.02355,0.043038,0.13616,0.11822,400.0,0.304
53,0.52,0.047588,0.073301,0.24813,0.043,400.0,0.304,0.034272,0.057589,0.18832,0.066613,400.0,0.304,0.023021,0.042349,0.13367,0.11822,400.0,0.304
54,0.53,0.046849,0.072456,0.24488,0.043,400.0,0.304,0.033613,0.056805,0.18537,0.066613,400.0,0.304,0.022495,0.041667,0.1312,0.11822,400.0,0.304
55,0.54,0.046113,0.071615,0.24164,0.043,400.0,0.304,0.032956,0.056027,0.18242,0.066613,400.0,0.304,0.021973,0.040992,0.12875,0.11822,400.0,0.304
56,0.55,0.045379,0.070778,0.23842,0.043,400.0,0.304,0.032302,0.055253,0.1795,0.066613,400.0,0.304,0.021454,0.040322,0.12632,0.11822,400.0,0.304
57,0.56,0.044647,0.069945,0.23521,0.043,400.0,0.304,0.031652,0.054483,0.17658,0.066613,400.0,0.304,0.020939,0.039658,0.1239,0.11822,400.0,0.304
58,0.5700000000000001,0.043918,0.069115,0.23201,0.043,400.0,0.304,0.031003,0.053719,0.17369,0.066613,400.0,0.304,0.020426,0.039001,0.12151,0.11822,400.0,0.304
59,0.58,0.043191,0.06829,0.22882,0.043,400.0,0.304,0.030358,0.052958,0.1708,0.066613,400.0,0.304,0.019917,0.038349,0.11914,0.11822,400.0,0.304
60,0.59,0.042467,0.067468,0.22565,0.043,400.0,0.304,0.029715,0.052203,0.16794,0.066613,400.0,0.304,0.01941,0.037704,0.11678,0.11822,400.0,0.304
61,0.6,0.041745,0.066649,0.22248,0.043,400.0,0.304,0.029074,0.051451,0.16508,0.066613,400.0,0.304,0.018907,0.037064,0.11444,0.11822,400.0,0.304
62,0.61,0.041025,0.065835,0.21933,0.043,400.0,0.304,0.028436,0.050704,0.16224,0.066613,400.0,0.304,0.018406,0.036429,0.11212,0.11822,400.0,0.304
63,0.62,0.040307,0.065024,0.21619,0.043,400.0,0.304,0.0278,0.049961,0.15941,0.066613,400.0,0.304,0.017908,0.0358,0.10981,0.11822,400.0,0.304
64,0.63,0.039591,0.064216,0.21306,0.043,400.0,0.304,0.027167,0.049223,0.1566,0.066613,400.0,0.304,0.017413,0.035177,0.10752,0.11822,400.0,0.304
65,0.64,0.038878,0.063412,0.20995,0.043,400.0,0.304,0.026535,0.048488,0.15379,0.066613,400.0,0.304,0.01692,0.034558,0.10525,0.11822,400.0,0.304
66,0.65,0.038166,0.062611,0.20684,0.043,400.0,0.304,0.025906,0.047757,0.151,0.066613,400.0,0.304,0.01643,0.033945,0.10299,0.11822,400.0,0.304
67,0.66,0.037456,0.061813,0.20374,0.043,400.0,0.304,0.025279,0.047031,0.14823,0.066613,400.0,0.304,0.015942,0.033337,0.10075,0.11822,400.0,0.304
68,0.67,0.036749,0.061019,0.20066,0.043,400.0,0.304,0.024654,0.046308,0.14546,0.066613,400.0,0.304,0.015456,0.032733,0.098514,0.11822,400.0,0.304
69,0.68,0.036043,0.060227,0.19758,0.043,400.0,0.304,0.02403,0.045589,0.1427,0.066613,400.0,0.304,0.014973,0.032135,0.096296,0.11822,400.0,0.304
70,0.6900000000000001,0.035339,0.059439,0.19451,0.043,400.0,0.304,0.023409,0.044873,0.13995,0.066613,400.0,0.304,0.014491,0.031541,0.094091,0.11822,400.0,0.304
71,0.7000000000000001,0.034636,0.058654,0.19145,0.043,400.0,0.304,0.022789,0.044161,0.13722,0.066613,400.0,0.304,0.014012,0.030951,0.091896,0.11822,400.0,0.304
72,0.71,0.033935,0.057871,0.18839,0.043,400.0,0.304,0.022171,0.043453,0.13449,0.066613,400.0,0.304,0.013534,0.030366,0.089712,0.11822,400.0,0.304
73,0.72,0.033236,0.057091,0.18534,0.043,400.0,0.304,0.021554,0.042747,0.13176,0.066613,400.0,0.304,0.013057,0.029785,0.087537,0.11822,400.0,0.304
74,0.73,0.032537,0.056314,0.1823,0.043,400.0,0.304,0.020939,0.042045,0.12905,0.066613,400.0,0.304,0.012582,0.029208,0.085368,0.11822,400.0,0.304
75,0.74,0.03184,0.055539,0.17925,0.043,400.0,0.304,0.020324,0.041346,0.12633,0.066613,400.0,0.304,0.012108,0.028634,0.083205,0.11822,400.0,0.304
76,0.75,0.031143,0.054766,0.17621,0.043,400.0,0.304,0.019711,0.040649,0.12362,0.066613,400.0,0.304,0.011635,0.028064,0.081043,0.11822,400.0,0.304
77,0.76,0.030447,0.053995,0.17316,0.043,400.0,0.304,0.019097,0.039954,0.1209,0.066613,400.0,0.304,0.011162,0.027497,0.078878,0.11822,400.0,0.304
78,0.77,0.02975,0.053225,0.17011,0.043,400.0,0.304,0.018483,0.03926,0.11817,0.066613,400.0,0.304,0.010689,0.026932,0.076705,0.11822,400.0,0.304
79,0.78,0.029053,0.052455,0.16703,0.043,400.0,0.304,0.017868,0.038568,0.11543,0.066613,400.0,0.304,0.010215,0.026368,0.074511,0.11822,400.0,0.304
80,0.79,0.028353,0.051684,0.16391,0.043,400.0,0.304,0.017251,0.037874,0.11264,0.066613,400.0,0.304,0.0097371,0.025803,0.072272,0.11822,400.0,0.304
81,0.8,0.027676,0.050933,0.16077,0.043,90.0,0.0684,0.016652,0.037198,0.10981,0.066613,90.0,0.0684,0.0092724,0.025251,0.069956,0.11822,90.0,0.0684
82,0.81,0.027536,0.050726,0.15999,0.043,90.0,0.0684,0.016531,0.037004,0.10909,0.066613,90.0,0.0684,0.0091828,0.025079,0.069345,0.11822,90.0,0.0684
83,0.8200000000000001,0.027399,0.050519,0.15924,0.043,90.0,0.0684,0.016411,0.036812,0.1084,0.066613,90.0,0.0684,0.0090948,0.024909,0.068766,0.11822,90.0,0.0684
84,0.8300000000000001,0.027262,0.050315,0.15851,0.043,90.0,0.0684,0.016292,0.036621,0.10773,0.066613,90.0,0.0684,0.009008,0.024741,0.068206,0.11822,90.0,0.0684
85,0.84,0.027127,0.050111,0.15778,0.043,90.0,0.0684,0.016174,0.036431,0.10707,0.066613,90.0,0.0684,0.0089221,0.024575,0.067658,0.11822,90.0,0.0684
86,0.85,0.026992,0.049908,0.15706,0.043,90.0,0.0684,0.016057,0.036243,0.10642,0.066613,90.0,0.0684,0.008837,0.02441,0.06712,0.11822,90.0,0.0684
87,0.86,0.026857,0.049707,0.15635,0.043,90.0,0.0684,0.015941,0.036056,0.10578,0.066613,90.0,0.0684,0.0087527,0.024247,0.06659,0.11822,90.0,0.0684
88,0.87,0.026724,0.049506,0.15564,0.043,90.0,0.0684,0.015825,0.03587,0.10514,0.066613,90.0,0.0684,0.008669,0.024085,0.066068,0.11822,90.0,0.0684
89,0.88,0.026591,0.049306,0.15494,0.043,90.0,0.0684,0.01571,0.035685,0.10451,0.066613,90.0,0.0684,0.0085859,0.023924,0.065553,0.11822,90.0,0.0684
90,0.89,0.026458,0.049107,0.15425,0.043,90.0,0.0684,0.015595,0.035501,0.10388,0.066613,90.0,0.0684,0.0085035,0.023765,0.065043,0.11822,90.0,0.0684
91,0.9,0.026326,0.048909,0.15356,0.043,90.0,0.0684,0.015481,0.035318,0.10326,0.066613,90.0,0.0684,0.0084216,0.023606,0.064539,0.11822,90.0,0.0684
92,0.91,0.026195,0.048712,0.15287,0.043,90.0,0.0684,0.015367,0.035135,0.10264,0.066613,90.0,0.0684,0.0083402,0.023449,0.06404,0.11822,90.0,0.0684
93,0.92,0.026064,0.048515,0.15219,0.043,90.0,0.0684,0.015254,0.034954,0.10202,0.066613,90.0,0.0684,0.0082593,0.023292,0.063545,0.11822,90.0,0.0684
94,0.93,0.025934,0.04832,0.15151,0.043,90.0,0.0684,0.015141,0.034774,0.10141,0.066613,90.0,0.0684,0.0081788,0.023137,0.063055,0.11822,90.0,0.0684
95,0.9400000000000001,0.025804,0.048125,0.15083,0.043,90.0,0.0684,0.015029,0.034594,0.10081,0.066613,90.0,0.0684,0.0080989,0.022983,0.06257,0.11822,90.0,0.0684
96,0.9500000000000001,0.025674,0.047931,0.15016,0.043,90.0,0.0684,0.014917,0.034415,0.1002,0.066613,90.0,0.0684,0.0080194,0.02283,0.062088,0.11822,90.0,0.0684
97,0.96,0.025545,0.047737,0.14949,0.043,90.0,0.0684,0.014805,0.034237,0.099605,0.066613,90.0,0.0684,0.0079403,0.022678,0.06161,0.11822,90.0,0.0684
98,0.97,0.025416,0.047544,0.14883,0.043,90.0,0.0684,0.014694,0.03406,0.099009,0.066613,90.0,0.0684,0.0078617,0.022526,0.061136,0.11822,90.0,0.0684
99,0.98,0.025288,0.047352,0.14816,0.043,90.0,0.0684,0.014584,0.033884,0.098417,0.066613,90.0,0.0684,0.0077834,0.022376,0.060666,0.11822,90.0,0.0684
100,0.99,0.02516,0.047161,0.1475,0.043,90.0,0.0684,0.014474,0.033708,0.097827,0.066613,90.0,0.0684,0.0077055,0.022227,0.060199,0.11822,90.0,0.0684
101,1.0,0.025033,0.04697,0.14685,0.043,90.0,0.0684,0.014364,0.033533,0.09724,0.066613,90.0,0.0684,0.007628,0.022078,0.059735,0.11822,90.0,0.0684
102,1.01,0.024906,0.04678,0.14619,0.043,90.0,0.0684,0.014254,0.033359,0.096656,0.066613,90.0,0.0684,0.0075509,0.021931,0.059275,0.11822,90.0,0.0684
103,1.02,0.024779,0.046591,0.14554,0.043,90.0,0.0684,0.014145,0.033186,0.096075,0.066613,90.0,0.0684,0.0074741,0.021785,0.058817,0.11822,90.0,0.0684
104,1.03,0.024653,0.046402,0.14489,0.043,90.0,0.0684,0.014036,0.033013,0.095497,0.066613,90.0,0.0684,0.0073977,0.021639,0.058363,0.11822,90.0,0.0684
105,1.04,0.024527,0.046214,0.14424,0.043,90.0,0.0684,0.013928,0.032842,0.094921,0.066613,90.0,0.0684,0.0073217,0.021494,0.057912,0.11822,90.0,0.0684
106,1.05,0.024402,0.046027,0.1436,0.043,90.0,0.0684,0.01382,0.03267,0.094347,0.066613,90.0,0.0684,0.0072459,0.02135,0.057463,0.11822,90.0,0.0684
107,1.06,0.024277,0.04584,0.14296,0.043,90.0,0.0684,0.013712,0.0325,0.093777,0.066613,90.0,0.0684,0.0071705,0.021207,0.057018,0.11822,90.0,0.0684
108,1.07,0.024152,0.045654,0.14232,0.043,90.0,0.0684,0.013605,0.03233,0.093208,0.066613,90.0,0.0684,0.0070954,0.021065,0.056575,0.11822,90.0,0.0684
109,1.08,0.024027,0.045469,0.14168,0.043,90.0,0.0684,0.013497,0.032161,0.092642,0.066613,90.0,0.0684,0.0070207,0.020924,0.056135,0.11822,90.0,0.0684
110,1.09,0.023903,0.045284,0.14104,0.043,90.0,0.0684,0.013391,0.031993,0.092079,0.066613,90.0,0.0684,0.0069462,0.020783,0.055697,0.11822,90.0,0.0684
111,1.1,0.02378,0.0451,0.14041,0.043,90.0,0.0684,0.013284,0.031825,0.091517,0.066613,90.0,0.0684,0.0068721,0.020643,0.055262,0.11822,90.0,0.0684
112,1.11,0.023656,0.044916,0.13978,0.043,90.0,0.0684,0.013178,0.031659,0.090958,0.066613,90.0,0.0684,0.0067982,0.020504,0.054829,0.11822,90.0,0.0684
113,1.12,0.023533,0.044733,0.13915,0.043,90.0,0.0684,0.013072,0.031492,0.090402,0.066613,90.0,0.0684,0.0067247,0.020366,0.054399,0.11822,90.0,0.0684
114,1.1300000000000001,0.02341,0.044551,0.13853,0.043,90.0,0.0684,0.012967,0.031327,0.089847,0.066613,90.0,0.0684,0.0066514,0.020229,0.053972,0.11822,90.0,0.0684
115,1.1400000000000001,0.023288,0.044369,0.1379,0.043,90.0,0.0684,0.012861,0.031162,0.089294,0.066613,90.0,0.0684,0.0065783,0.020092,0.053546,0.11822,90.0,0.0684
116,1.1500000000000001,0.023166,0.044188,0.13728,0.043,90.0,0.0684,0.012756,0.030997,0.088744,0.066613,90.0,0.0684,0.0065056,0.019957,0.053124,0.11822,90.0,0.0684
117,1.16,0.023044,0.044007,0.13666,0.043,90.0,0.0684,0.012651,0.030834,0.088195,0.066613,90.0,0.0684,0.0064332,0.019822,0.052703,0.11822,90.0,0.0684
118,1.17,0.022923,0.043827,0.13604,0.043,90.0,0.0684,0.012547,0.030671,0.087649,0.066613,90.0,0.0684,0.006361,0.019687,0.052284,0.11822,90.0,0.0684
119,1.18,0.022802,0.043648,0.13542,0.043,90.0,0.0684,0.012443,0.030508,0.087104,0.066613,90.0,0.0684,0.006289,0.019554,0.051868,0.11822,90.0,0.0684
120,1.19,0.022681,0.043469,0.13481,0.043,90.0,0.0684,0.012339,0.030347,0.086562,0.066613,90.0,0.0684,0.0062173,0.019421,0.051454,0.11822,90.0,0.0684
121,1.2,0.02256,0.04329,0.1342,0.043,90.0,0.0684,0.012235,0.030185,0.086022,0.066613,90.0,0.0684,0.0061459,0.019289,0.051042,0.11822,90.0,0.0684
122,1.21,0.02244,0.043113,0.13359,0.043,90.0,0.0684,0.012132,0.030025,0.085483,0.066613,90.0,0.0684,0.0060747,0.019158,0.050632,0.11822,90.0,0.0684
123,1.22,0.02232,0.042935,0.13298,0.043,90.0,0.0684,0.012029,0.029865,0.084946,0.066613,90.0,0.0684,0.0060037,0.019027,0.050225,0.11822,90.0,0.0684
124,1.23,0.0222,0.042759,0.13237,0.043,90.0,0.0684,0.011926,0.029706,0.084411,0.066613,90.0,0.0684,0.005933,0.018897,0.049819,0.11822,90.0,0.0684
125,1.24,0.022081,0.042583,0.13177,0.043,90.0,0.0684,0.011823,0.029547,0.083878,0.066613,90.0,0.0684,0.0058625,0.018768,0.049415,0.11822,90.0,0.0684
126,1.25,0.021962,0.042407,0.13116,0.043,90.0,0.0684,0.011721,0.029389,0.083347,0.066613,90.0,0.0684,0.0057923,0.01864,0.049013,0.11822,90.0,0.0684
127,1.26,0.021843,0.042232,0.13056,0.043,90.0,0.0684,0.011619,0.029232,0.082817,0.066613,90.0,0.0684,0.0057222,0.018512,0.048613,0.11822,90.0,0.0684
128,1.27,0.021725,0.042058,0.12996,0.043,90.0,0.0684,0.011517,0.029075,0.08229,0.066613,90.0,0.0684,0.0056524,0.018385,0.048216,0.11822,90.0,0.0684
129,1.28,0.021607,0.041884,0.12936,0.043,90.0,0.0684,0.011415,0.028919,0.081764,0.066613,90.0,0.0684,0.0055828,0.018259,0.047819,0.11822,90.0,0.0684
130,1.29,0.021489,0.04171,0.12877,0.043,90.0,0.0684,0.011314,0.028763,0.081239,0.066613,90.0,0.0684,0.0055134,0.018133,0.047425,0.11822,90.0,0.0684
131,1.3,0.021371,0.041537,0.12817,0.043,90.0,0.0684,0.011212,0.028608,0.080717,0.066613,90.0,0.0684,0.0054442,0.018008,0.047033,0.11822,90.0,0.0684
132,1.31,0.021254,0.041365,0.12758,0.043,90.0,0.0684,0.011111,0.028453,0.080196,0.066613,90.0,0.0684,0.0053752,0.017884,0.046642,0.11822,90.0,0.0684
133,1.32,0.021137,0.041193,0.12699,0.043,90.0,0.0684,0.011011,0.028299,0.079676,0.066613,90.0,0.0684,0.0053064,0.01776,0.046253,0.11822,90.0,0.0684
134,1.33,0.02102,0.041022,0.1264,0.043,90.0,0.0684,0.01091,0.028146,0.079158,0.066613,90.0,0.0684,0.0052378,0.017637,0.045866,0.11822,90.0,0.0684
135,1.34,0.020903,0.040851,0.12581,0.043,90.0,0.0684,0.01081,0.027993,0.078642,0.066613,90.0,0.0684,0.0051694,0.017514,0.04548,0.11822,90.0,0.0684
136,1.35,0.020787,0.040681,0.12522,0.043,90.0,0.0684,0.01071,0.02784,0.078127,0.066613,90.0,0.0684,0.0051012,0.017393,0.045096,0.11822,90.0,0.0684
137,1.36,0.020671,0.040511,0.12464,0.043,90.0,0.0684,0.01061,0.027689,0.077614,0.066613,90.0,0.0684,0.0050331,0.017272,0.044714,0.11822,90.0,0.0684
138,1.37,0.020555,0.040342,0.12405,0.043,90.0,0.0684,0.01051,0.027537,0.077102,0.066613,90.0,0.0684,0.0049653,0.017151,0.044333,0.11822,90.0,0.0684
139,1.3800000000000001,0.020439,0.040173,0.12347,0.043,90.0,0.0684,0.01041,0.027387,0.076591,0.066613,90.0,0.0684,0.0048976,0.017031,0.043954,0.11822,90.0,0.0684
140,1.3900000000000001,0.020324,0.040005,0.12289,0.043,90.0,0.0684,0.010311,0.027236,0.076083,0.066613,90.0,0.0684,0.00483,0.016912,0.043577,0.11822,90.0,0.0684
141,1.4000000000000001,0.020209,0.039837,0.12231,0.043,90.0,0.0684,0.010212,0.027087,0.075575,0.066613,90.0,0.0684,0.0047627,0.016793,0.043201,0.11822,90.0,0.0684
142,1.41,0.020094,0.03967,0.12173,0.043,90.0,0.0684,0.010113,0.026938,0.075069,0.066613,90.0,0.0684,0.0046955,0.016675,0.042826,0.11822,90.0,0.0684
143,1.42,0.019979,0.039503,0.12116,0.043,90.0,0.0684,0.010014,0.026789,0.074564,0.066613,90.0,0.0684,0.0046284,0.016558,0.042453,0.11822,90.0,0.0684
144,1.43,0.019865,0.039337,0.12058,0.043,90.0,0.0684,0.0099157,0.026641,0.074061,0.066613,90.0,0.0684,0.0045615,0.016441,0.042081,0.11822,90.0,0.0684
145,1.44,0.019751,0.039171,0.12001,0.043,90.0,0.0684,0.0098173,0.026494,0.073559,0.066613,90.0,0.0684,0.0044948,0.016325,0.041711,0.11822,90.0,0.0684
146,1.45,0.019637,0.039006,0.11944,0.043,90.0,0.0684,0.009719,0.026346,0.073058,0.066613,90.0,0.0684,0.0044282,0.016209,0.041342,0.11822,90.0,0.0684
147,1.46,0.019523,0.038841,0.11886,0.043,90.0,0.0684,0.009621,0.0262,0.072558,0.066613,90.0,0.0684,0.0043617,0.016094,0.040975,0.11822,90.0,0.0684
148,1.47,0.01941,0.038676,0.11829,0.043,90.0,0.0684,0.0095231,0.026054,0.07206,0.066613,90.0,0.0684,0.0042954,0.015979,0.040608,0.11822,90.0,0.0684
