,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
18,0.17,0.056067,0.073678,0.25926,0.14291,0.11635,0.06,170.0,1.3175,3.2972,0.048813,0.065529,0.22843,0.12682,0.10161,0.0775,170.0,1.3175,3.5445,0.037507,0.053701,0.18204,0.10323,0.078812,0.145,170.0,1.3175,4.2915,0.99
19,0.18,0.053804,0.071262,0.2499,0.13812,0.11178,0.06,170.0,1.3175,3.3804,0.046679,0.063221,0.21953,0.12225,0.097288,0.0775,170.0,1.3175,3.6371,0.035482,0.051418,0.17342,0.098732,0.074687,0.145,170.0,1.3175,4.4102,0.99
20,0.19,0.051553,0.068864,0.24056,0.13335,0.1072,0.06,170.0,1.3175,3.4785,0.044558,0.060935,0.21068,0.11771,0.09297,0.0775,170.0,1.3175,3.7457,0.033479,0.04917,0.16487,0.094294,0.070579,0.145,170.0,1.3175,4.5532,0.99
21,0.2,0.049091,0.066254,0.23015,0.12815,0.102,0.06,480.0,3.72,1.2781,0.042239,0.058447,0.2008,0.11275,0.088046,0.0775,480.0,3.72,1.3951,0.031291,0.046738,0.15534,0.089469,0.065872,0.145,480.0,3.72,1.849,0.99
22,0.21,0.048409,0.065435,0.22718,0.12657,0.10061,0.06,480.0,1.008,1.2457,0.041604,0.057658,0.19798,0.11123,0.086746,0.0775,480.0,1.008,1.3586,0.030709,0.045935,0.15254,0.087895,0.064649,0.145,480.0,1.008,1.7226,0.99
23,0.22,0.047733,0.064623,0.22422,0.12498,0.099233,0.06,480.0,1.008,1.2513,0.040977,0.056879,0.19516,0.10971,0.085458,0.0775,480.0,1.008,1.3644,0.030144,0.04515,0.14983,0.086365,0.063468,0.145,480.0,1.008,1.7245,0.99
24,0.23,0.047062,0.063819,0.22127,0.12341,0.097862,0.06,480.0,1.008,1.2557,0.040355,0.056107,0.19238,0.1082,0.084182,0.0775,480.0,1.008,1.3689,0.029587,0.044378,0.14717,0.084864,0.062307,0.145,480.0,1.008,1.7252,0.99
25,0.24,0.046395,0.063021,0.21834,0.12184,0.096501,0.06,480.0,1.008,1.2611,0.039739,0.055343,0.18962,0.1067,0.082918,0.0775,480.0,1.008,1.3733,0.029038,0.043618,0.14456,0.083392,0.061164,0.145,480.0,1.008,1.7286,0.99
26,0.25,0.045734,0.062229,0.21544,0.12029,0.09515,0.06,480.0,1.008,1.2667,0.039129,0.054587,0.18689,0.10523,0.081666,0.0775,480.0,1.008,1.3781,0.028498,0.04287,0.14198,0.081944,0.060039,0.145,480.0,1.008,1.7314,0.99
27,0.26,0.045078,0.061445,0.21257,0.11875,0.09381,0.06,480.0,1.008,1.2718,0.038524,0.053839,0.18419,0.10376,0.080426,0.0775,480.0,1.008,1.3842,0.027965,0.042134,0.13945,0.080521,0.058931,0.145,480.0,1.008,1.7348,0.99
28,0.27,0.044427,0.060667,0.20971,0.11723,0.09248,0.06,480.0,1.008,1.2776,0.037925,0.053097,0.18152,0.10232,0.079196,0.0775,480.0,1.008,1.3884,0.02744,0.041408,0.13696,0.07912,0.057838,0.145,480.0,1.008,1.7394,0.99
