,depths,Eu_484.0,Ed_484.0,Eo_484.0,Eod_484.0,Eou_484.0,a_484.0,b_484.0,bb_484.0
63,0.62,0.73388,0.82142,3.1525,1.6455,1.507,0.01,100.0,0.21
64,0.63,0.73314,0.82037,3.1485,1.6434,1.5051,0.01,100.0,0.21
65,0.64,0.73241,0.81931,3.1444,1.6412,1.5032,0.01,100.0,0.21
66,0.65,0.73167,0.81826,3.1402,1.639,1.5012,0.01,100.0,0.21
67,0.66,0.73092,0.8172,3.136,1.6368,1.4992,0.01,100.0,0.21
68,0.67,0.73017,0.81614,3.1317,1.6345,1.4972,0.01,100.0,0.21
69,0.68,0.72942,0.81508,3.1273,1.6323,1.495,0.01,100.0,0.21
70,0.6900000000000001,0.72866,0.814,3.1228,1.63,1.4928,0.01,100.0,0.21
71,0.7000000000000001,0.72784,0.81286,3.1178,1.6275,1.4903,0.01,60.0,0.126
72,0.71,0.72744,0.81215,3.1149,1.6259,1.489,0.01,60.0,0.126
73,0.72,0.72703,0.81143,3.112,1.6243,1.4877,0.01,60.0,0.126
74,0.73,0.72662,0.81071,3.109,1.6227,1.4863,0.01,60.0,0.126
75,0.74,0.72621,0.80999,3.1059,1.6211,1.4848,0.01,60.0,0.126
76,0.75,0.72579,0.80926,3.1027,1.6194,1.4833,0.01,60.0,0.126
77,0.76,0.72537,0.80853,3.0994,1.6178,1.4816,0.01,60.0,0.126
78,0.77,0.72494,0.80778,3.0959,1.6161,1.4798,0.01,60.0,0.126
79,0.78,0.72449,0.80703,3.0921,1.6143,1.4778,0.01,60.0,0.126
80,0.79,0.72403,0.80626,3.0876,1.6123,1.4753,0.01,60.0,0.126
81,0.8,0.72357,0.80544,3.0791,1.6094,1.4697,0.0136,60.0,0.126
82,0.81,0.71888,0.80034,3.0463,1.5884,1.4578,0.0136,60.0,1.3764
83,0.8200000000000001,0.71472,0.79577,3.025,1.5763,1.4487,0.0136,60.0,1.3764
84,0.8300000000000001,0.71075,0.79138,3.0061,1.5659,1.4402,0.0136,60.0,1.3764
85,0.84,0.7069,0.78713,2.9884,1.5562,1.4321,0.0136,60.0,1.3764
86,0.85,0.70313,0.78296,2.9715,1.5471,1.4243,0.0136,60.0,1.3764
87,0.86,0.69943,0.77885,2.9551,1.5384,1.4167,0.0136,60.0,1.3764
88,0.87,0.69579,0.77481,2.9391,1.5299,1.4092,0.0136,60.0,1.3764
89,0.88,0.69219,0.77081,2.9235,1.5216,1.4018,0.0136,60.0,1.3764
90,0.89,0.68862,0.76685,2.9081,1.5135,1.3945,0.0136,60.0,1.3764
91,0.9,0.68509,0.76292,2.8929,1.5055,1.3873,0.0136,60.0,1.3764
92,0.91,0.68159,0.75903,2.8779,1.4977,1.3802,0.0136,60.0,1.3764
93,0.92,0.67812,0.75517,2.8631,1.4899,1.3731,0.0136,60.0,1.3764
94,0.93,0.67467,0.75133,2.8484,1.4822,1.3661,0.0136,60.0,1.3764
95,0.9400000000000001,0.67125,0.74752,2.8338,1.4746,1.3592,0.0136,60.0,1.3764
96,0.9500000000000001,0.66785,0.74374,2.8194,1.4671,1.3523,0.0136,60.0,1.3764
97,0.96,0.66447,0.73997,2.805,1.4596,1.3454,0.0136,60.0,1.3764
98,0.97,0.66111,0.73623,2.7908,1.4522,1.3386,0.0136,60.0,1.3764
99,0.98,0.65776,0.73251,2.7766,1.4448,1.3318,0.0136,60.0,1.3764
100,0.99,0.65444,0.72881,2.7626,1.4375,1.3251,0.0136,60.0,1.3764
101,1.0,0.65114,0.72513,2.7486,1.4302,1.3184,0.0136,60.0,1.3764
102,1.01,0.64785,0.72147,2.7347,1.423,1.3117,0.0136,60.0,1.3764
103,1.02,0.64458,0.71783,2.7209,1.4158,1.3051,0.0136,60.0,1.3764
104,1.03,0.64133,0.71421,2.7072,1.4086,1.2985,0.0136,60.0,1.3764
105,1.04,0.63809,0.71061,2.6935,1.4015,1.292,0.0136,60.0,1.3764
106,1.05,0.63488,0.70703,2.6799,1.3944,1.2855,0.0136,60.0,1.3764
107,1.06,0.63168,0.70346,2.6664,1.3874,1.279,0.0136,60.0,1.3764
108,1.07,0.62849,0.69991,2.6529,1.3804,1.2725,0.0136,60.0,1.3764
109,1.08,0.62532,0.69639,2.6396,1.3734,1.2661,0.0136,60.0,1.3764
110,1.09,0.62217,0.69288,2.6262,1.3665,1.2597,0.0136,60.0,1.3764
111,1.1,0.61903,0.68938,2.613,1.3596,1.2534,0.0136,60.0,1.3764
112,1.11,0.61591,0.68591,2.5998,1.3528,1.2471,0.0136,60.0,1.3764
113,1.12,0.61281,0.68245,2.5867,1.3459,1.2408,0.0136,60.0,1.3764
114,1.1300000000000001,0.60972,0.67901,2.5737,1.3392,1.2345,0.0136,60.0,1.3764
115,1.1400000000000001,0.60665,0.67559,2.5607,1.3324,1.2283,0.0136,60.0,1.3764
116,1.1500000000000001,0.60359,0.67218,2.5478,1.3257,1.2221,0.0136,60.0,1.3764
117,1.16,0.60055,0.66879,2.535,1.319,1.216,0.0136,60.0,1.3764
118,1.17,0.59752,0.66542,2.5222,1.3124,1.2098,0.0136,60.0,1.3764
119,1.18,0.59451,0.66207,2.5095,1.3057,1.2037,0.0136,60.0,1.3764
120,1.19,0.59151,0.65873,2.4968,1.2992,1.1977,0.0136,60.0,1.3764
121,1.2,0.58853,0.65541,2.4842,1.2926,1.1916,0.0136,60.0,1.3764
122,1.21,0.58556,0.65211,2.4717,1.2861,1.1856,0.0136,60.0,1.3764
123,1.22,0.58261,0.64882,2.4593,1.2796,1.1796,0.0136,60.0,1.3764
124,1.23,0.57968,0.64555,2.4469,1.2732,1.1737,0.0136,60.0,1.3764
125,1.24,0.57675,0.6423,2.4345,1.2667,1.1678,0.0136,60.0,1.3764
126,1.25,0.57385,0.63906,2.4223,1.2604,1.1619,0.0136,60.0,1.3764
127,1.26,0.57096,0.63584,2.4101,1.254,1.156,0.0136,60.0,1.3764
128,1.27,0.56808,0.63264,2.3979,1.2477,1.1502,0.0136,60.0,1.3764
129,1.28,0.56521,0.62945,2.3858,1.2414,1.1444,0.0136,60.0,1.3764
130,1.29,0.56237,0.62628,2.3738,1.2351,1.1386,0.0136,60.0,1.3764
131,1.3,0.55953,0.62312,2.3618,1.2289,1.1329,0.0136,60.0,1.3764
132,1.31,0.55671,0.61998,2.3499,1.2227,1.1272,0.0136,60.0,1.3764
133,1.32,0.55391,0.61686,2.3381,1.2166,1.1215,0.0136,60.0,1.3764
134,1.33,0.55111,0.61374,2.3263,1.2104,1.1159,0.0136,60.0,1.3764
135,1.34,0.54834,0.61065,2.3146,1.2043,1.1102,0.0136,60.0,1.3764
136,1.35,0.54557,0.60758,2.3029,1.1983,1.1046,0.0136,60.0,1.3764
137,1.36,0.54282,0.60451,2.2913,1.1922,1.0991,0.0136,60.0,1.3764
138,1.37,0.54009,0.60147,2.2798,1.1862,1.0935,0.0136,60.0,1.3764
139,1.3800000000000001,0.53737,0.59843,2.2683,1.1802,1.088,0.0136,60.0,1.3764
140,1.3900000000000001,0.53466,0.59542,2.2568,1.1743,1.0825,0.0136,60.0,1.3764
141,1.4000000000000001,0.53196,0.59242,2.2455,1.1684,1.0771,0.0136,60.0,1.3764
142,1.41,0.52928,0.58943,2.2341,1.1625,1.0717,0.0136,60.0,1.3764
143,1.42,0.52661,0.58646,2.2229,1.1566,1.0663,0.0136,60.0,1.3764
144,1.43,0.52396,0.5835,2.2117,1.1508,1.0609,0.0136,60.0,1.3764
145,1.44,0.52132,0.58056,2.2005,1.145,1.0555,0.0136,60.0,1.3764
146,1.45,0.51869,0.57764,2.1894,1.1392,1.0502,0.0136,60.0,1.3764
147,1.46,0.51608,0.57473,2.1784,1.1335,1.0449,0.0136,60.0,1.3764
148,1.47,0.51348,0.57183,2.1674,1.1278,1.0397,0.0136,60.0,1.3764
149,1.48,0.51089,0.56895,2.1565,1.1221,1.0344,0.0136,60.0,1.3764
150,1.49,0.50831,0.56608,2.1456,1.1164,1.0292,0.0136,60.0,1.3764
151,1.5,0.50575,0.56323,2.1348,1.1108,1.024,0.0136,60.0,1.3764
152,1.51,0.5032,0.56039,2.1241,1.1052,1.0189,0.0136,60.0,1.3764
153,1.52,0.50067,0.55756,2.1134,1.0996,1.0137,0.0136,60.0,1.3764
154,1.53,0.49814,0.55476,2.1027,1.0941,1.0086,0.0136,60.0,1.3764
155,1.54,0.49563,0.55196,2.0921,1.0886,1.0035,0.0136,60.0,1.3764
156,1.55,0.49313,0.54918,2.0816,1.0831,0.99847,0.0136,60.0,1.3764
157,1.56,0.49065,0.54641,2.0711,1.0776,0.99344,0.0136,60.0,1.3764
158,1.57,0.48818,0.54366,2.0606,1.0722,0.98843,0.0136,60.0,1.3764
159,1.58,0.48572,0.54092,2.0502,1.0668,0.98345,0.0136,60.0,1.3764
160,1.59,0.48327,0.53819,2.0399,1.0614,0.9785,0.0136,60.0,1.3764
161,1.6,0.48083,0.53548,2.0296,1.0561,0.97356,0.0136,60.0,1.3764
162,1.61,0.47841,0.53278,2.0194,1.0507,0.96866,0.0136,60.0,1.3764
163,1.62,0.476,0.53009,2.0092,1.0455,0.96378,0.0136,60.0,1.3764
164,1.6300000000000001,0.4736,0.52742,1.9991,1.0402,0.95892,0.0136,60.0,1.3764
165,1.6400000000000001,0.47121,0.52476,1.989,1.0349,0.95409,0.0136,60.0,1.3764
166,1.6500000000000001,0.46884,0.52212,1.979,1.0297,0.94928,0.0136,60.0,1.3764
167,1.6600000000000001,0.46647,0.51949,1.969,1.0245,0.94449,0.0136,60.0,1.3764
168,1.67,0.46412,0.51687,1.9591,1.0194,0.93973,0.0136,60.0,1.3764
169,1.68,0.46178,0.51426,1.9492,1.0142,0.935,0.0136,60.0,1.3764
170,1.69,0.45946,0.51167,1.9394,1.0091,0.93028,0.0136,60.0,1.3764
171,1.7,0.45714,0.50909,1.9296,1.004,0.92559,0.0136,60.0,1.3764
172,1.71,0.45484,0.50653,1.9199,0.99898,0.92093,0.0136,60.0,1.3764
173,1.72,0.45255,0.50397,1.9102,0.99394,0.91629,0.0136,60.0,1.3764
174,1.73,0.45026,0.50143,1.9006,0.98893,0.91167,0.0136,60.0,1.3764
175,1.74,0.44799,0.49891,1.891,0.98395,0.90708,0.0136,60.0,1.3764
176,1.75,0.44574,0.49639,1.8815,0.97899,0.90251,0.0136,60.0,1.3764
177,1.76,0.44349,0.49389,1.872,0.97405,0.89796,0.0136,60.0,1.3764
178,1.77,0.44125,0.4914,1.8626,0.96915,0.89343,0.0136,60.0,1.3764
179,1.78,0.43903,0.48892,1.8532,0.96426,0.88893,0.0136,60.0,1.3764
180,1.79,0.43682,0.48646,1.8438,0.9594,0.88445,0.0136,60.0,1.3764
181,1.8,0.43462,0.48401,1.8346,0.95456,0.87999,0.0136,60.0,1.3764
182,1.81,0.43243,0.48157,1.8253,0.94975,0.87556,0.0136,60.0,1.3764
183,1.82,0.43025,0.47914,1.8161,0.94497,0.87114,0.0136,60.0,1.3764
184,1.83,0.42808,0.47673,1.807,0.9402,0.86675,0.0136,60.0,1.3764
185,1.84,0.42592,0.47433,1.7978,0.93547,0.86238,0.0136,60.0,1.3764
186,1.85,0.42377,0.47193,1.7888,0.93075,0.85804,0.0136,60.0,1.3764
187,1.86,0.42164,0.46956,1.7798,0.92606,0.85371,0.0136,60.0,1.3764
188,1.87,0.41951,0.46719,1.7708,0.92139,0.84941,0.0136,60.0,1.3764
189,1.8800000000000001,0.4174,0.46483,1.7619,0.91675,0.84513,0.0136,60.0,1.3764
190,1.8900000000000001,0.4153,0.46249,1.753,0.91213,0.84087,0.0136,60.0,1.3764
191,1.9000000000000001,0.4132,0.46016,1.7442,0.90753,0.83663,0.0136,60.0,1.3764
192,1.9100000000000001,0.41112,0.45784,1.7354,0.90296,0.83241,0.0136,60.0,1.3764
193,1.92,0.40905,0.45553,1.7266,0.89841,0.82822,0.0136,60.0,1.3764
194,1.93,0.40699,0.45324,1.7179,0.89388,0.82404,0.0136,60.0,1.3764
195,1.94,0.40493,0.45095,1.7093,0.88938,0.81989,0.0136,60.0,1.3764
196,1.95,0.40289,0.44868,1.7006,0.88489,0.81576,0.0136,60.0,1.3764
197,1.96,0.40086,0.44642,1.6921,0.88043,0.81165,0.0136,60.0,1.3764
198,1.97,0.39884,0.44417,1.6835,0.87599,0.80756,0.0136,60.0,1.3764
199,1.98,0.39683,0.44193,1.6751,0.87158,0.80349,0.0136,60.0,1.3764
200,1.99,0.39483,0.4397,1.6666,0.86719,0.79944,0.0136,60.0,1.3764
201,2.0,0.39284,0.43749,1.6582,0.86282,0.79541,0.0136,60.0,1.3764
202,2.0100000000000002,0.39086,0.43528,1.6499,0.85847,0.7914,0.0136,60.0,1.3764
203,2.02,0.38889,0.43309,1.6416,0.85414,0.78741,0.0136,60.0,1.3764
204,2.0300000000000002,0.38693,0.43091,1.6333,0.84984,0.78344,0.0136,60.0,1.3764
205,2.04,0.38498,0.42873,1.625,0.84555,0.77949,0.0136,60.0,1.3764
206,2.05,0.38304,0.42657,1.6169,0.84129,0.77556,0.0136,60.0,1.3764
207,2.06,0.38111,0.42442,1.6087,0.83705,0.77165,0.0136,60.0,1.3764
208,2.07,0.37919,0.42229,1.6006,0.83283,0.76777,0.0136,60.0,1.3764
209,2.08,0.37728,0.42016,1.5925,0.82864,0.7639,0.0136,60.0,1.3764
210,2.09,0.37538,0.41804,1.5845,0.82446,0.76005,0.0136,60.0,1.3764
211,2.1,0.37349,0.41593,1.5765,0.8203,0.75622,0.0136,60.0,1.3764
212,2.11,0.3716,0.41383,1.5686,0.81617,0.7524,0.0136,60.0,1.3764
213,2.12,0.36973,0.41175,1.5607,0.81206,0.74861,0.0136,60.0,1.3764
214,2.13,0.36787,0.40967,1.5528,0.80796,0.74484,0.0136,60.0,1.3764
215,2.14,0.36601,0.40761,1.545,0.80389,0.74108,0.0136,60.0,1.3764
216,2.15,0.36417,0.40555,1.5372,0.79984,0.73735,0.0136,60.0,1.3764
217,2.16,0.36233,0.40351,1.5294,0.7958,0.73363,0.0136,60.0,1.3764
218,2.17,0.36051,0.40148,1.5217,0.7918,0.72993,0.0136,60.0,1.3764
219,2.18,0.35869,0.39945,1.5141,0.7878,0.72626,0.0136,60.0,1.3764
220,2.19,0.35688,0.39744,1.5064,0.78383,0.72259,0.0136,60.0,1.3764
221,2.2,0.35508,0.39544,1.4988,0.77988,0.71896,0.0136,60.0,1.3764
222,2.21,0.35329,0.39344,1.4913,0.77595,0.71533,0.0136,60.0,1.3764
223,2.22,0.35151,0.39146,1.4838,0.77204,0.71173,0.0136,60.0,1.3764
224,2.23,0.34974,0.38949,1.4763,0.76815,0.70814,0.0136,60.0,1.3764
225,2.24,0.34798,0.38753,1.4688,0.76428,0.70457,0.0136,60.0,1.3764
226,2.25,0.34622,0.38557,1.4614,0.76043,0.70102,0.0136,60.0,1.3764
227,2.2600000000000002,0.34448,0.38363,1.4541,0.7566,0.69748,0.0136,60.0,1.3764
228,2.27,0.34274,0.38169,1.4468,0.75278,0.69397,0.0136,60.0,1.3764
229,2.2800000000000002,0.34102,0.37977,1.4395,0.74899,0.69047,0.0136,60.0,1.3764
230,2.29,0.3393,0.37786,1.4322,0.74521,0.68699,0.0136,60.0,1.3764
231,2.3000000000000003,0.33759,0.37595,1.425,0.74146,0.68353,0.0136,60.0,1.3764
232,2.31,0.33589,0.37406,1.4178,0.73772,0.68008,0.0136,60.0,1.3764
233,2.32,0.33419,0.37217,1.4107,0.734,0.67666,0.0136,60.0,1.3764
234,2.33,0.33251,0.3703,1.4035,0.7303,0.67324,0.0136,60.0,1.3764
235,2.34,0.33083,0.36843,1.3965,0.72662,0.66985,0.0136,60.0,1.3764
236,2.35,0.32916,0.36657,1.3894,0.72296,0.66648,0.0136,60.0,1.3764
237,2.36,0.32751,0.36473,1.3824,0.71931,0.66312,0.0136,60.0,1.3764
238,2.37,0.32585,0.36289,1.3755,0.71569,0.65977,0.0136,60.0,1.3764
239,2.38,0.32421,0.36106,1.3685,0.71208,0.65645,0.0136,60.0,1.3764
240,2.39,0.32258,0.35924,1.3616,0.70849,0.65314,0.0136,60.0,1.3764
241,2.4,0.32095,0.35743,1.3548,0.70492,0.64985,0.0136,60.0,1.3764
242,2.41,0.31933,0.35563,1.3479,0.70137,0.64657,0.0136,60.0,1.3764
243,2.42,0.31773,0.35383,1.3411,0.69783,0.64331,0.0136,60.0,1.3764
244,2.43,0.31612,0.35205,1.3344,0.69432,0.64007,0.0136,60.0,1.3764
245,2.44,0.31453,0.35028,1.3277,0.69082,0.63685,0.0136,60.0,1.3764
246,2.45,0.31295,0.34851,1.321,0.68734,0.63364,0.0136,60.0,1.3764
247,2.46,0.31137,0.34675,1.3143,0.68387,0.63044,0.0136,60.0,1.3764
248,2.47,0.3098,0.34501,1.3077,0.68042,0.62726,0.0136,60.0,1.3764
249,2.48,0.30824,0.34327,1.3011,0.677,0.6241,0.0136,60.0,1.3764
250,2.49,0.30668,0.34154,1.2945,0.67358,0.62096,0.0136,60.0,1.3764
251,2.5,0.30514,0.33982,1.288,0.67019,0.61783,0.0136,60.0,1.3764
252,2.5100000000000002,0.3036,0.3381,1.2815,0.66681,0.61471,0.0136,60.0,1.3764
253,2.52,0.30207,0.3364,1.2751,0.66345,0.61162,0.0136,60.0,1.3764
254,2.5300000000000002,0.30055,0.33471,1.2686,0.66011,0.60853,0.0136,60.0,1.3764
255,2.54,0.29903,0.33302,1.2622,0.65678,0.60547,0.0136,60.0,1.3764
256,2.5500000000000003,0.29753,0.33134,1.2559,0.65347,0.60241,0.0136,60.0,1.3764
257,2.56,0.29603,0.32967,1.2496,0.65018,0.59938,0.0136,60.0,1.3764
258,2.57,0.29453,0.32801,1.2433,0.6469,0.59636,0.0136,60.0,1.3764
259,2.58,0.29305,0.32636,1.237,0.64364,0.59335,0.0136,60.0,1.3764
260,2.59,0.29157,0.32471,1.2308,0.64039,0.59036,0.0136,60.0,1.3764
261,2.6,0.2901,0.32307,1.2246,0.63717,0.58738,0.0136,60.0,1.3764
262,2.61,0.28864,0.32144,1.2184,0.63395,0.58442,0.0136,60.0,1.3764
263,2.62,0.28719,0.31983,1.2122,0.63076,0.58148,0.0136,60.0,1.3764
264,2.63,0.28574,0.31821,1.2061,0.62758,0.57855,0.0136,60.0,1.3764
265,2.64,0.2843,0.31661,1.2001,0.62442,0.57563,0.0136,60.0,1.3764
